"","X","workerid","item","slide_number","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","pref7","response7","pref8","response8","pref9","response9","numFeatures","target","obj1","obj2","obj3","utterance","itemCode","condition","ambiguous","trial_type","uttFeat","q1Feat","q2Feat","targetOC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post1_1","Post1_2","Post1_3","Post1_4","Post1_5","Post1_6","Post1_7","Post1_8","Post1_9","Post2_1","Post2_2","Post2_3","Post2_4","Post2_5","Post2_6","Post2_7","Post2_8","Post2_9","CCode","logLik"
"43",43,2,1301,8,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,NA,NA,NA,NA,NA,NA,NA,221,NA,213,123,"blue",122122,NA,"False","prior_inference",3,2,1,5,20,22,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0.66667,0.33333,0,0.66667,0.33333,0.66667,0.33333,0,122122,0
"44",44,2,1906,9,"English","solid things",0.6,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.6,NA,NA,NA,NA,NA,NA,NA,312,NA,123,121,"red",111212,NA,"False","prior_inference",3,2,1,12,22,4,0.3125,0.3125,0.375,0.375,0.3125,0.3125,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0.33333,0.66667,0.66667,0,0.33333,0,1,0,111212,0
"45",45,2,575,10,"English","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",0.5,"circles",0.85,"squares",0.1,NA,NA,NA,NA,NA,NA,NA,232,NA,332,322,"polka-dotted",213212,NA,"True","prior_inference",2,3,1,17,18,15,0.34483,0.58621,0.06897,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.53959,0.12708,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0,0.33333,0,0.66667,0.33333,0.33333,0.33333,213212,0
"46",46,2,101,11,"English","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",0.1,"circles",0.5,"squares",0.9,NA,NA,NA,NA,NA,NA,NA,323,NA,123,231,"striped",212111,NA,"True","prior_inference",2,3,1,24,22,8,0.06667,0.33333,0.6,NA,NA,NA,0.33333,0.33333,0.33333,0.08602,0.33333,0.58065,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0,1,0.33333,0.66667,0,0,0.33333,0.66667,212111,0
"47",47,2,390,12,"English","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,NA,NA,NA,NA,NA,NA,NA,332,NA,322,222,"polka-dotted",122132,NA,"False","prior_inference",2,1,3,18,15,14,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0.66667,0.33333,0,0.66667,0.33333,0.33333,0.33333,123221,0
"48",48,2,419,13,"English","blue things",0.5,"red things",0.15,"green things",0.9,"solid things",0.2,"striped things",0.85,"polka-dotted things",0.1,NA,NA,NA,NA,NA,NA,NA,123,NA,132,112,"cloud",321112,NA,"True","prior_inference",1,3,2,22,16,10,NA,NA,NA,0.17391,0.73913,0.08696,0.32258,0.09677,0.58065,0.33333,0.33333,0.33333,0.11428,0.77143,0.11428,0.33333,0.08602,0.58065,0.33333,0.33333,0.33333,0,1,0,0.33333,0,0.66667,321211,0
"49",49,2,1183,14,"English","clouds",0.1,"circles",0.5,"squares",0.85,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.7,NA,NA,NA,NA,NA,NA,NA,332,NA,132,331,"red",212232,NA,"True","prior_inference",3,1,2,18,16,9,0.06897,0.34483,0.58621,0.29412,0.29412,0.41176,NA,NA,NA,0.09311,0.33333,0.57356,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0.33333,0.66667,0.33333,0.33333,0.33333,0,0.66667,0.33333,213222,0
"50",50,2,1173,15,"English","solid things",0.5,"striped things",0.65,"polka-dotted things",0.5,"clouds",0.5,"circles",0.9,"squares",0.1,NA,NA,NA,NA,NA,NA,NA,223,NA,323,221,"green",212232,NA,"True","prior_inference",3,2,1,23,24,5,0.33333,0.6,0.06667,0.30303,0.39394,0.30303,NA,NA,NA,0.33333,0.57356,0.09311,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0,0.33333,0.33333,0.33333,0,0.33333,0.66667,213222,0
"61",61,3,1376,6,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,NA,NA,NA,NA,NA,NA,NA,322,NA,132,212,"square",113211,NA,"False","prior_inference",1,2,3,15,16,11,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0,1,0,1,0,0.33333,0.33333,0.33333,113211,0
"62",62,3,213,7,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,NA,NA,NA,NA,NA,NA,NA,112,NA,112,311,"red",212132,NA,"False","prior_inference",3,2,1,10,10,3,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0.33333,0,0.33333,0.33333,0.33333,0,0.66667,0.33333,213221,0
"63",63,3,300,8,"English","clouds",0.8,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.7,NA,NA,NA,NA,NA,NA,NA,132,NA,312,131,"red",212222,NA,"True","prior_inference",3,1,2,16,12,7,0.44444,0.27778,0.27778,0.29412,0.29412,0.41176,NA,NA,NA,0.41556,0.33333,0.25111,0.25111,0.33333,0.41556,0.33333,0.33333,0.33333,0.66667,0.33333,0,0,0.33333,0.66667,0,0.66667,0.33333,212222,0
"64",64,3,494,9,"English","blue things",0.5,"red things",0.5,"green things",0.8,"clouds",0.75,"circles",0.5,"squares",0.5,NA,NA,NA,NA,NA,NA,NA,133,NA,232,311,"polka-dotted",211111,NA,"True","prior_inference",2,3,1,25,17,3,0.42857,0.28571,0.28571,NA,NA,NA,0.27778,0.27778,0.44444,0.43077,0.2359,0.33333,0.33333,0.33333,0.33333,0.33333,0.2359,0.43077,1,0,0,0,0.33333,0.66667,0,0,1,211111,0
"65",65,3,2350,10,"English","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,NA,NA,NA,NA,NA,NA,NA,131,NA,121,121,"polka-dotted",123232,NA,"False","prior_inference",2,3,1,7,4,4,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0.66667,0.33333,0.33333,0.33333,123232,0
"66",66,3,727,11,"English","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.8,"green things",0.5,NA,NA,NA,NA,NA,NA,NA,332,NA,331,112,"polka-dotted",212122,NA,"True","prior_inference",2,1,3,18,9,10,0.33333,0.33333,0.33333,NA,NA,NA,0.27778,0.44444,0.27778,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.25111,0.41556,0.33333,0,0.33333,0.66667,0,0.33333,0.66667,0,0.66667,0.33333,212122,0
"67",67,3,126,12,"English","blue things",0.5,"red things",0.5,"green things",0.7,"clouds",0.8,"circles",0.5,"squares",0.5,NA,NA,NA,NA,NA,NA,NA,113,NA,313,222,"solid",212111,NA,"True","prior_inference",2,3,1,19,21,14,0.44444,0.27778,0.27778,NA,NA,NA,0.29412,0.29412,0.41176,0.43077,0.33333,0.2359,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,1,0,0,0.66667,0,0.33333,0.33333,0,0.66667,212111,0
"68",68,3,592,13,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.85,"striped things",0.5,"polka-dotted things",0.5,NA,NA,NA,NA,NA,NA,NA,211,NA,231,233,"blue",213212,NA,"True","prior_inference",3,1,2,2,8,26,0.33333,0.33333,0.33333,0.45946,0.27027,0.27027,NA,NA,NA,0.33333,0.33333,0.33333,0.40617,0.33333,0.2605,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0.33333,0,0.66667,0.33333,0,213212,0
"69",69,3,419,14,"English","solid things",0.25,"striped things",0.65,"polka-dotted things",0.5,"blue things",0.5,"red things",0.25,"green things",0.85,NA,NA,NA,NA,NA,NA,NA,123,NA,132,112,"cloud",321112,NA,"True","prior_inference",1,2,3,22,16,10,NA,NA,NA,0.17857,0.46429,0.35714,0.3125,0.15625,0.53125,0.33333,0.33333,0.33333,0.26136,0.47727,0.26136,0.33333,0.2359,0.43077,0.33333,0.33333,0.33333,0,1,0,0.33333,0,0.66667,321211,0
"70",70,3,936,15,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,NA,NA,NA,NA,NA,NA,NA,332,NA,332,221,"red",212121,NA,"False","prior_inference",3,2,1,18,18,5,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0.66667,0.33333,0,0.66667,0,0.66667,0.33333,212121,0
"81",81,4,228,6,"English","clouds",0,"circles",0,"squares",0,"blue things",0,"red things",0,"green things",0,NA,NA,NA,NA,NA,NA,NA,212,NA,212,122,"solid",212132,NA,"False","prior_inference",2,1,3,11,11,13,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0.66667,0.33333,0.66667,0,0.33333,0.33333,0.33333,0.33333,213221,0
"82",82,4,1086,7,"English","blue things",0,"red things",0,"green things",0,"solid things",0,"striped things",0,"polka-dotted things",0,NA,NA,NA,NA,NA,NA,NA,332,NA,112,212,"square",113212,NA,"False","prior_inference",1,3,2,18,10,11,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0,1,0,0.33333,0.66667,0.33333,0.33333,0.33333,113212,0
"83",83,4,1617,8,"English","solid things",0,"striped things",0,"polka-dotted things",0.5,"blue things",0.5,"red things",0,"green things",0,NA,NA,NA,NA,NA,NA,NA,231,NA,212,113,"circle",211112,NA,"True","prior_inference",1,2,3,8,11,19,NA,NA,NA,0,0,1,1,0,0,0.33333,0.33333,0.33333,8e-05,0.33333,0.66659,0.66663,4e-05,0.33333,0,0.66667,0.33333,0,0.33333,0.66667,1,0,0,211211,0
"84",84,4,2008,9,"English","blue things",0.5,"red things",0,"green things",0,"solid things",0,"striped things",0,"polka-dotted things",0.5,NA,NA,NA,NA,NA,NA,NA,131,NA,132,111,"cloud",322122,NA,"True","prior_inference",1,3,2,7,16,1,NA,NA,NA,0,0,1,1,0,0,0.33333,0.33333,0.33333,8e-05,0.33333,0.66659,0.66659,8e-05,0.33333,0.33333,0.33333,0.33333,0,0.33333,0.66667,0.66667,0,0.33333,322122,0
"85",85,4,52,10,"English","clouds",0,"circles",0,"squares",0,"solid things",0,"striped things",0,"polka-dotted things",0,NA,NA,NA,NA,NA,NA,NA,331,NA,233,123,"blue",122111,NA,"False","prior_inference",3,1,2,9,26,22,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0,1,0.33333,0,0.66667,0.66667,0.33333,0,122111,0
"86",86,4,1163,11,"English","solid things",0,"striped things",0,"polka-dotted things",0,"blue things",0,"red things",0,"green things",0.5,NA,NA,NA,NA,NA,NA,NA,313,NA,312,113,"square",212232,NA,"True","prior_inference",1,2,3,21,12,19,NA,NA,NA,0.33333,0.33333,0.33333,0,0,1,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,4e-05,0.66663,0,0.33333,0.66667,0.33333,0.33333,0.33333,0.33333,0,0.66667,213222,0
"87",87,4,1612,12,"English","solid things",0,"striped things",0.5,"polka-dotted things",0,"clouds",0,"circles",0,"squares",0.5,NA,NA,NA,NA,NA,NA,NA,323,NA,113,132,"green",211112,NA,"True","prior_inference",3,2,1,24,19,16,0,0,1,0,1,0,NA,NA,NA,8e-05,0.33333,0.66659,4e-05,0.66663,0.33333,0.33333,0.33333,0.33333,0,0.33333,0.66667,0,1,0,0.33333,0,0.66667,211211,0
"88",88,4,579,13,"English","solid things",0.5,"striped things",0,"polka-dotted things",0,"blue things",0,"red things",0,"green things",0,NA,NA,NA,NA,NA,NA,NA,213,NA,223,123,"circle",213212,NA,"True","prior_inference",1,2,3,20,23,22,NA,NA,NA,1,0,0,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66659,8e-05,0.33333,0.33333,0.33333,0.33333,0,0.66667,0.33333,0.66667,0,0.33333,0.33333,0.33333,0.33333,213212,0
"89",89,4,1582,14,"English","blue things",0,"red things",0.5,"green things",0,"solid things",0,"striped things",0,"polka-dotted things",0.5,NA,NA,NA,NA,NA,NA,NA,332,NA,332,311,"square",322121,NA,"True","prior_inference",1,3,2,18,18,3,NA,NA,NA,0,0,1,0,1,0,0.33333,0.33333,0.33333,8e-05,0.33333,0.66659,8e-05,0.66659,0.33333,0.33333,0.33333,0.33333,0,0.33333,0.66667,0,0.66667,0.33333,322121,0
"90",90,4,628,15,"English","clouds",0,"circles",0,"squares",0,"blue things",0,"red things",0,"green things",0,NA,NA,NA,NA,NA,NA,NA,212,NA,222,131,"solid",112121,NA,"False","prior_inference",2,1,3,11,14,7,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0.66667,0.33333,1,0,0,0,0.66667,0.33333,112121,0
"101",101,5,1885,6,"English","solid things",1,"striped things",0.05,"polka-dotted things",0,"clouds",0.95,"circles",0.3,"squares",0,NA,NA,NA,NA,NA,NA,NA,111,NA,132,132,"blue",123212,NA,"False","prior_inference",3,2,1,1,16,16,0.76,0.24,0,0.95238,0.04762,0,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0.33333,0,0.66667,0,0.33333,123212,0
"102",102,5,1455,7,"English","clouds",0,"circles",0,"squares",1,"solid things",0.95,"striped things",0,"polka-dotted things",0,NA,NA,NA,NA,NA,NA,NA,313,NA,322,332,"green",123211,NA,"False","prior_inference",3,1,2,21,15,18,0,0,1,1,0,0,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,1,0,0,0.33333,0,0.66667,123211,0
"103",103,5,1173,8,"English","clouds",0.05,"circles",1,"squares",0.2,"solid things",0,"striped things",1,"polka-dotted things",0,NA,NA,NA,NA,NA,NA,NA,223,NA,323,221,"green",212232,NA,"True","prior_inference",3,1,2,23,24,5,0.04,0.8,0.16,0,1,0,NA,NA,NA,0.33333,0.65761,0.00906,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0,0.33333,0.33333,0.33333,0,0.33333,0.66667,213222,0
"104",104,5,1556,9,"English","solid things",0,"striped things",1,"polka-dotted things",0,"blue things",0,"red things",0,"green things",0.85,NA,NA,NA,NA,NA,NA,NA,323,NA,323,311,"square",322121,NA,"True","prior_inference",1,2,3,24,24,3,NA,NA,NA,0,1,0,0,0,1,0.33333,0.33333,0.33333,0.01742,0.64925,0.33333,0.01742,0.33333,0.64925,0.33333,0.33333,0.33333,0,0.66667,0.33333,0,0.33333,0.66667,322121,0
"105",105,5,1708,10,"English","solid things",1,"striped things",0,"polka-dotted things",0,"clouds",0,"circles",1,"squares",0,NA,NA,NA,NA,NA,NA,NA,212,NA,232,333,"red",212112,NA,"True","prior_inference",3,2,1,11,17,27,0,1,0,1,0,0,NA,NA,NA,0.33333,0.33333,0.33333,0.64946,0.33333,0.0172,0.33333,0.33333,0.33333,0.33333,0.66667,0,0.66667,0.33333,0,0.33333,0.66667,0,212112,0
