"","X","workerid","item","slide_number","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","pref7","response7","pref8","response8","pref9","response9","numFeatures","target","obj1","obj2","obj3","utterance","itemCode","condition","ambiguous","trial_type","uttFeat","q1Feat","q2Feat","targetOC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post1_1","Post1_2","Post1_3","Post1_4","Post1_5","Post1_6","Post1_7","Post1_8","Post1_9","Post2_1","Post2_2","Post2_3","Post2_4","Post2_5","Post2_6","Post2_7","Post2_8","Post2_9","CCode","logLik"
"21",21,1,1396,6,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,NA,NA,NA,NA,NA,NA,NA,331,NA,211,121,"square",113211,NA,"False","prior_inference",1,3,2,9,2,4,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.32615,0.32615,0.3477,0.32615,0.32615,0.3477,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,113211,0
"22",22,1,1924,7,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,NA,NA,NA,NA,NA,NA,NA,131,NA,313,312,"blue",111212,NA,"False","prior_inference",3,2,1,7,21,12,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.344,0.33333,0.32267,0.32267,0.33333,0.344,0.3477,0.32615,0.32615,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,111212,0
"23",23,1,170,8,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",1,"striped things",0,"polka-dotted things",0.5,NA,NA,NA,NA,NA,NA,NA,212,NA,222,222,"circle",323212,NA,"True","prior_inference",1,3,2,11,14,14,NA,NA,NA,0.66667,0,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.57143,0.09524,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.64094,0.02573,0.33333,0.33333,0.33333,0.33333,323212,0
"24",24,1,257,9,"English","solid things",0,"striped things",1,"polka-dotted things",0.5,"blue things",0.75,"red things",0.5,"green things",0,NA,NA,NA,NA,NA,NA,NA,121,NA,113,321,"cloud",212222,NA,"True","prior_inference",1,2,3,4,19,6,NA,NA,NA,0,0.66667,0.33333,0.6,0.4,0,0.338,0.33333,0.32867,0.104,0.56267,0.33333,0.56267,0.33333,0.104,0.33333,0.33333,0.33333,0.02661,0.64006,0.33333,0.64006,0.33333,0.02661,212222,0
"25",25,1,2091,10,"English","solid things",1,"striped things",0,"polka-dotted things",0,"blue things",1,"red things",0,"green things",0,NA,NA,NA,NA,NA,NA,NA,311,NA,323,332,"square",321111,NA,"True","prior_inference",1,2,3,3,24,18,NA,NA,NA,1,0,0,1,0,0,0.33333,0.33333,0.33333,0.75,0.125,0.125,0.75,0.125,0.125,0.33333,0.33333,0.33333,0.92568,0.03716,0.03716,0.92568,0.03716,0.03716,321111,0
"26",26,1,482,11,"English","solid things",0.5,"striped things",0.75,"polka-dotted things",0,"clouds",0.75,"circles",0.5,"squares",0,NA,NA,NA,NA,NA,NA,NA,121,NA,331,213,"blue",211111,NA,"True","prior_inference",3,2,1,4,9,20,0.6,0.4,0,0.4,0.6,0,NA,NA,NA,0.57673,0.32714,0.09612,0.32714,0.57673,0.09612,0.338,0.33333,0.32867,0.64094,0.33333,0.02573,0.33333,0.64094,0.02573,0.33333,0.33333,0.33333,211111,0
"27",27,1,1095,12,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,NA,NA,NA,NA,NA,NA,NA,123,NA,321,221,"cloud",113212,NA,"False","prior_inference",1,3,2,22,6,5,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.3477,0.32615,0.32615,0.33333,0.33333,0.33333,0.32267,0.33333,0.344,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,113212,0
"28",28,1,962,13,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,NA,NA,NA,NA,NA,NA,NA,232,NA,321,323,"circle",121112,NA,"False","prior_inference",1,2,3,17,6,24,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.344,0.32267,0.33333,0.32267,0.344,0.32615,0.3477,0.32615,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,121211,0
"29",29,1,1513,14,"English","solid things",0,"striped things",0.5,"polka-dotted things",0.2,"clouds",1,"circles",0.2,"squares",0.5,NA,NA,NA,NA,NA,NA,NA,133,NA,233,213,"green",322112,NA,"True","prior_inference",3,2,1,25,26,20,0.58824,0.11765,0.29412,0,0.71429,0.28571,NA,NA,NA,0.57143,0.09524,0.33333,0.14815,0.33333,0.51852,0.33333,0.33333,0.33333,0.64094,0.02573,0.33333,0.04777,0.33333,0.6189,0.33333,0.33333,0.33333,322112,0
"30",30,1,578,15,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.95,"blue things",0.5,"red things",0.5,"green things",0.5,NA,NA,NA,NA,NA,NA,NA,132,NA,112,212,"cloud",213212,NA,"True","prior_inference",1,2,3,16,10,11,NA,NA,NA,0.25641,0.25641,0.48718,0.33333,0.33333,0.33333,0.338,0.32867,0.33333,0.13657,0.33333,0.5301,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.04624,0.33333,0.62043,0.33333,0.33333,0.33333,213212,0
"41",41,2,198,6,"English","clouds",0.9,"circles",0.3,"squares",0.5,"solid things",0.3,"striped things",0.9,"polka-dotted things",0.5,NA,NA,NA,NA,NA,NA,NA,123,NA,223,223,"green",323212,NA,"True","prior_inference",3,1,2,22,23,23,0.52941,0.17647,0.29412,0.17647,0.52941,0.29412,NA,NA,NA,0.57143,0.09524,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.58068,0.08599,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323212,0
"42",42,2,70,7,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,NA,NA,NA,NA,NA,NA,NA,233,NA,113,122,"circle",122111,NA,"False","prior_inference",1,2,3,26,19,13,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.32267,0.344,0.33333,0.32615,0.32615,0.3477,0.33333,0.32424,0.34243,0.32358,0.34309,0.33333,0.32676,0.32676,0.34647,0.33333,0.32487,0.3418,122111,0
"43",43,2,1301,8,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,NA,NA,NA,NA,NA,NA,NA,221,NA,213,123,"blue",122122,NA,"False","prior_inference",3,2,1,5,20,22,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.32424,0.34243,0.33333,0.32424,0.34243,0.33333,0.344,0.33333,0.32267,0.32487,0.3418,0.33333,0.32487,0.3418,0.33333,0.34309,0.33333,0.32358,122122,0
"44",44,2,1906,9,"English","solid things",0.6,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.6,NA,NA,NA,NA,NA,NA,NA,312,NA,123,121,"red",111212,NA,"False","prior_inference",3,2,1,12,22,4,0.3125,0.3125,0.375,0.375,0.3125,0.3125,NA,NA,NA,0.32267,0.33333,0.344,0.344,0.32267,0.33333,0.32615,0.3477,0.32615,0.32358,0.33333,0.34309,0.34309,0.32358,0.33333,0.32676,0.34647,0.32676,111212,0
"45",45,2,575,10,"English","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",0.5,"circles",0.85,"squares",0.1,NA,NA,NA,NA,NA,NA,NA,232,NA,332,322,"polka-dotted",213212,NA,"True","prior_inference",2,3,1,17,18,15,0.34483,0.58621,0.06897,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.5301,0.13657,0.33333,0.32867,0.338,0.33333,0.33333,0.33333,0.33333,0.54017,0.12649,0.33333,0.32901,0.33766,0.33333,0.33333,0.33333,213212,0
"46",46,2,101,11,"English","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",0.1,"circles",0.5,"squares",0.9,NA,NA,NA,NA,NA,NA,NA,323,NA,123,231,"striped",212111,NA,"True","prior_inference",2,3,1,24,22,8,0.06667,0.33333,0.6,NA,NA,NA,0.33333,0.33333,0.33333,0.09612,0.32714,0.57673,0.33333,0.338,0.32867,0.32867,0.33333,0.338,0.08673,0.32759,0.58568,0.33333,0.33766,0.32901,0.32901,0.33333,0.33766,212111,0
"47",47,2,390,12,"English","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,NA,NA,NA,NA,NA,NA,NA,332,NA,322,222,"polka-dotted",122132,NA,"False","prior_inference",2,1,3,18,15,14,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.32424,0.34243,0.33333,0.32267,0.344,0.33333,0.33333,0.33333,0.33333,0.32487,0.3418,0.33333,0.32358,0.34309,0.33333,0.33333,0.33333,123221,0
"48",48,2,419,13,"English","blue things",0.5,"red things",0.15,"green things",0.9,"solid things",0.2,"striped things",0.85,"polka-dotted things",0.1,NA,NA,NA,NA,NA,NA,NA,123,NA,132,112,"cloud",321112,NA,"True","prior_inference",1,3,2,22,16,10,NA,NA,NA,0.17391,0.73913,0.08696,0.32258,0.09677,0.58065,0.33333,0.33333,0.33333,0.125,0.75,0.125,0.33333,0.09524,0.57143,0.33333,0.33333,0.33333,0.11425,0.7715,0.11425,0.33333,0.08599,0.58068,321211,0
"49",49,2,1183,14,"English","clouds",0.1,"circles",0.5,"squares",0.85,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.7,NA,NA,NA,NA,NA,NA,NA,332,NA,132,331,"red",212232,NA,"True","prior_inference",3,1,2,18,16,9,0.06897,0.34483,0.58621,0.29412,0.29412,0.41176,NA,NA,NA,0.104,0.33333,0.56267,0.33333,0.33333,0.33333,0.32867,0.338,0.33333,0.0935,0.33333,0.57316,0.33333,0.33333,0.33333,0.32901,0.33766,0.33333,213222,0
"50",50,2,1173,15,"English","solid things",0.5,"striped things",0.65,"polka-dotted things",0.5,"clouds",0.5,"circles",0.9,"squares",0.1,NA,NA,NA,NA,NA,NA,NA,223,NA,323,221,"green",212232,NA,"True","prior_inference",3,2,1,23,24,5,0.33333,0.6,0.06667,0.30303,0.39394,0.30303,NA,NA,NA,0.33333,0.56267,0.104,0.33333,0.33333,0.33333,0.32867,0.33333,0.338,0.33333,0.57316,0.0935,0.33333,0.33333,0.33333,0.32901,0.33333,0.33766,213222,0
"61",61,3,1376,6,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,NA,NA,NA,NA,NA,NA,NA,322,NA,132,212,"square",113211,NA,"False","prior_inference",1,2,3,15,16,11,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.30111,0.30111,0.39778,0.30111,0.39778,0.30111,0.33333,0.33333,0.33333,0.30896,0.30896,0.38208,0.30896,0.38208,0.30896,0.33333,0.33333,0.33333,113211,0
"62",62,3,213,7,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,NA,NA,NA,NA,NA,NA,NA,112,NA,112,311,"red",212132,NA,"False","prior_inference",3,2,1,10,10,3,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.35498,0.33333,0.31169,0.33333,0.33333,0.33333,0.31169,0.35498,0.33333,0.34694,0.33333,0.31973,0.33333,0.33333,0.33333,0.31973,0.34694,0.33333,213221,0
"63",63,3,300,8,"English","clouds",0.8,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.7,NA,NA,NA,NA,NA,NA,NA,132,NA,312,131,"red",212222,NA,"True","prior_inference",3,1,2,16,12,7,0.44444,0.27778,0.27778,0.29412,0.29412,0.41176,NA,NA,NA,0.56053,0.33333,0.10613,0.10613,0.33333,0.56053,0.31169,0.35498,0.33333,0.41149,0.33333,0.25517,0.25517,0.33333,0.41149,0.31973,0.34694,0.33333,212222,0
"64",64,3,494,9,"English","blue things",0.5,"red things",0.5,"green things",0.8,"clouds",0.75,"circles",0.5,"squares",0.5,NA,NA,NA,NA,NA,NA,NA,133,NA,232,311,"polka-dotted",211111,NA,"True","prior_inference",2,3,1,25,17,3,0.42857,0.28571,0.28571,NA,NA,NA,0.27778,0.27778,0.44444,0.59564,0.09927,0.30509,0.31169,0.33333,0.35498,0.30509,0.09927,0.59564,0.44381,0.24075,0.31544,0.31973,0.33333,0.34694,0.31544,0.24075,0.44381,211111,0
"65",65,3,2350,10,"English","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,NA,NA,NA,NA,NA,NA,NA,131,NA,121,121,"polka-dotted",123232,NA,"False","prior_inference",2,3,1,7,4,4,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.28722,0.37944,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.29807,0.3686,0.33333,0.33333,0.33333,123232,0
"66",66,3,727,11,"English","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.8,"green things",0.5,NA,NA,NA,NA,NA,NA,NA,332,NA,331,112,"polka-dotted",212122,NA,"True","prior_inference",2,1,3,18,9,10,0.33333,0.33333,0.33333,NA,NA,NA,0.27778,0.44444,0.27778,0.31169,0.33333,0.35498,0.31169,0.33333,0.35498,0.10613,0.56053,0.33333,0.31973,0.33333,0.34694,0.31973,0.33333,0.34694,0.25517,0.41149,0.33333,212122,0
"67",67,3,126,12,"English","blue things",0.5,"red things",0.5,"green things",0.7,"clouds",0.8,"circles",0.5,"squares",0.5,NA,NA,NA,NA,NA,NA,NA,113,NA,313,222,"solid",212111,NA,"True","prior_inference",2,3,1,19,21,14,0.44444,0.27778,0.27778,NA,NA,NA,0.29412,0.29412,0.41176,0.59564,0.30509,0.09927,0.35498,0.31169,0.33333,0.33333,0.31169,0.35498,0.44381,0.31544,0.24075,0.34694,0.31973,0.33333,0.33333,0.31973,0.34694,212111,0
"68",68,3,592,13,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.85,"striped things",0.5,"polka-dotted things",0.5,NA,NA,NA,NA,NA,NA,NA,211,NA,231,233,"blue",213212,NA,"True","prior_inference",3,1,2,2,8,26,0.33333,0.33333,0.33333,0.45946,0.27027,0.27027,NA,NA,NA,0.33333,0.33333,0.33333,0.53269,0.33333,0.13397,0.35498,0.33333,0.31169,0.33333,0.33333,0.33333,0.41272,0.33333,0.25395,0.34694,0.33333,0.31973,213212,0
"69",69,3,419,14,"English","solid things",0.25,"striped things",0.65,"polka-dotted things",0.5,"blue things",0.5,"red things",0.25,"green things",0.85,NA,NA,NA,NA,NA,NA,NA,123,NA,132,112,"cloud",321112,NA,"True","prior_inference",1,2,3,22,16,10,NA,NA,NA,0.17857,0.46429,0.35714,0.3125,0.15625,0.53125,0.33333,0.33333,0.33333,0.125,0.75,0.125,0.33333,0.09524,0.57143,0.33333,0.33333,0.33333,0.26018,0.47963,0.26018,0.33333,0.23446,0.43221,321211,0
"70",70,3,936,15,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,NA,NA,NA,NA,NA,NA,NA,332,NA,332,221,"red",212121,NA,"False","prior_inference",3,2,1,18,18,5,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.31169,0.35498,0.33333,0.31169,0.35498,0.31169,0.35498,0.33333,0.33333,0.31973,0.34694,0.33333,0.31973,0.34694,0.31973,0.34694,0.33333,212121,0
"81",81,4,228,6,"English","clouds",0,"circles",0,"squares",0,"blue things",0,"red things",0,"green things",0,NA,NA,NA,NA,NA,NA,NA,212,NA,212,122,"solid",212132,NA,"False","prior_inference",2,1,3,11,11,13,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.30502,0.36165,0.33333,0.36165,0.30502,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,213221,0
"82",82,4,1086,7,"English","blue things",0,"red things",0,"green things",0,"solid things",0,"striped things",0,"polka-dotted things",0,NA,NA,NA,NA,NA,NA,NA,332,NA,112,212,"square",113212,NA,"False","prior_inference",1,3,2,18,10,11,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.29172,0.29172,0.41656,0.27458,0.33333,0.39209,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,113212,0
"83",83,4,1617,8,"English","solid things",0,"striped things",0,"polka-dotted things",0.5,"blue things",0.5,"red things",0,"green things",0,NA,NA,NA,NA,NA,NA,NA,231,NA,212,113,"circle",211112,NA,"True","prior_inference",1,2,3,8,11,19,NA,NA,NA,0,0,1,1,0,0,0.30502,0.36165,0.33333,0.1329,0.33333,0.53377,0.6029,0.10048,0.29662,0.33333,0.33333,0.33333,0,0.33333,0.66667,0.66667,0,0.33333,211211,0
"84",84,4,2008,9,"English","blue things",0.5,"red things",0,"green things",0,"solid things",0,"striped things",0,"polka-dotted things",0.5,NA,NA,NA,NA,NA,NA,NA,131,NA,132,111,"cloud",322122,NA,"True","prior_inference",1,3,2,7,16,1,NA,NA,NA,0,0,1,1,0,0,0.33333,0.33333,0.33333,0.14815,0.33333,0.51852,0.51852,0.14815,0.33333,0.33333,0.33333,0.33333,0,0.33333,0.66667,0.66667,0,0.33333,322122,0
"85",85,4,52,10,"English","clouds",0,"circles",0,"squares",0,"solid things",0,"striped things",0,"polka-dotted things",0,NA,NA,NA,NA,NA,NA,NA,331,NA,233,123,"blue",122111,NA,"False","prior_inference",3,1,2,9,26,22,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.29172,0.29172,0.41656,0.33333,0.28421,0.38246,0.39209,0.33333,0.27458,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,122111,0
"86",86,4,1163,11,"English","solid things",0,"striped things",0,"polka-dotted things",0,"blue things",0,"red things",0,"green things",0.5,NA,NA,NA,NA,NA,NA,NA,313,NA,312,113,"square",212232,NA,"True","prior_inference",1,2,3,21,12,19,NA,NA,NA,0.33333,0.33333,0.33333,0,0,1,0.30502,0.33333,0.36165,0.33333,0.33333,0.33333,0.33333,0.10703,0.55964,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0.66667,213222,0
"87",87,4,1612,12,"English","solid things",0,"striped things",0.5,"polka-dotted things",0,"clouds",0,"circles",0,"squares",0.5,NA,NA,NA,NA,NA,NA,NA,323,NA,113,132,"green",211112,NA,"True","prior_inference",3,2,1,24,19,16,0,0,1,0,1,0,NA,NA,NA,0.1329,0.33333,0.53377,0.10048,0.6029,0.29662,0.33333,0.30502,0.36165,0,0.33333,0.66667,0,0.66667,0.33333,0.33333,0.33333,0.33333,211211,0
"88",88,4,579,13,"English","solid things",0.5,"striped things",0,"polka-dotted things",0,"blue things",0,"red things",0,"green things",0,NA,NA,NA,NA,NA,NA,NA,213,NA,223,123,"circle",213212,NA,"True","prior_inference",1,2,3,20,23,22,NA,NA,NA,1,0,0,0.33333,0.33333,0.33333,0.30502,0.36165,0.33333,0.53377,0.1329,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0,0.33333,0.33333,0.33333,0.33333,213212,0
"89",89,4,1582,14,"English","blue things",0,"red things",0.5,"green things",0,"solid things",0,"striped things",0,"polka-dotted things",0.5,NA,NA,NA,NA,NA,NA,NA,332,NA,332,311,"square",322121,NA,"True","prior_inference",1,3,2,18,18,3,NA,NA,NA,0,0,1,0,1,0,0.33333,0.33333,0.33333,0.14815,0.33333,0.51852,0.14815,0.51852,0.33333,0.33333,0.33333,0.33333,0,0.33333,0.66667,0,0.66667,0.33333,322121,0
"90",90,4,628,15,"English","clouds",0,"circles",0,"squares",0,"blue things",0,"red things",0,"green things",0,NA,NA,NA,NA,NA,NA,NA,212,NA,222,131,"solid",112121,NA,"False","prior_inference",2,1,3,11,14,7,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.28421,0.38246,0.33333,0.41656,0.29172,0.29172,0.28421,0.38246,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,112121,0
"101",101,5,1885,6,"English","solid things",1,"striped things",0.05,"polka-dotted things",0,"clouds",0.95,"circles",0.3,"squares",0,NA,NA,NA,NA,NA,NA,NA,111,NA,132,132,"blue",123212,NA,"False","prior_inference",3,2,1,1,16,16,0.76,0.24,0,0.95238,0.04762,0,NA,NA,NA,0.33333,0.33333,0.33333,0.57092,0.33333,0.09575,0.57092,0.09575,0.33333,0.33333,0.33333,0.33333,0.66234,0.33333,0.00433,0.66234,0.00433,0.33333,123212,0
"102",102,5,1455,7,"English","clouds",0,"circles",0,"squares",1,"solid things",0.95,"striped things",0,"polka-dotted things",0,NA,NA,NA,NA,NA,NA,NA,313,NA,322,332,"green",123211,NA,"False","prior_inference",3,1,2,21,15,18,0,0,1,1,0,0,NA,NA,NA,0.33333,0.33333,0.33333,0.74883,0.12558,0.12558,0.33333,0.09575,0.57092,0.33333,0.33333,0.33333,0.9871,0.00645,0.00645,0.33333,0.00433,0.66234,123211,0
