"","X","workerid","item","slide_number","condition","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","property1","property2","target","obj2","obj3","utterance","uttFeat","q1Feat","q2Feat","targetOC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post1_1","Post1_2","Post1_3","Post1_4","Post1_5","Post1_6","Post1_7","Post1_8","Post1_9","Post2_1","Post2_2","Post2_3","Post2_4","Post2_5","Post2_6","Post2_7","Post2_8","Post2_9","CCode","logLik"
"11",11,0,273,13,"3/3","english","blue things",0,"red things",0,"green things",0,"clouds",0,"circles",0,"squares",0,"shape","color",122,122,122,"red",3,3,1,13,13,13,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323232,2.19722457733622
"12",12,0,288,14,"3/3","english","clouds",0,"circles",0,"squares",0.5,"solid things",0.5,"striped things",0,"polka-dotted things",0,"shape","texture",321,321,321,"striped",2,1,2,6,6,6,0,0,1,1,0,0,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323232,2.19722457733622
"13",13,0,259,15,"3/3","english","clouds",0,"circles",0,"squares",0.5,"blue things",0,"red things",0.35,"green things",0,"shape","color",322,322,322,"square",1,1,3,15,15,15,0,0,1,NA,NA,NA,0,1,0,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323232,2.19722457733622
"14",14,0,139,16,"2/2","english","blue things",0,"red things",0.5,"green things",0,"solid things",0,"striped things",0.5,"polka-dotted things",0,"texture","color",122,122,113,"cloud",1,3,2,13,13,19,NA,NA,NA,0,1,0,0,1,0,0.33333,0.33333,0.33333,0.14806,0.51861,0.33333,0.33333,0.51861,0.14806,0.33333,0.33333,0.33333,0.15918,0.50749,0.33333,0.33333,0.50749,0.15918,322121,1.3132117062501
"15",15,0,137,17,"2/2","english","blue things",0,"red things",0,"green things",0.5,"clouds",0,"circles",0,"squares",0.5,"shape","color",313,211,313,"solid",2,3,1,21,2,21,0,0,1,NA,NA,NA,0,0,1,0.33333,0.14806,0.51861,0.33333,0.33333,0.33333,0.14806,0.33333,0.51861,0.33333,0.15918,0.50749,0.33333,0.33333,0.33333,0.15918,0.33333,0.50749,322121,1.3132117062501
"16",16,1,247,3,"1/1","English","blue things",0,"red things",0.95,"green things",0,"solid things",0.95,"striped things",0,"polka-dotted things",0,"texture","color",112,123,123,"solid",2,3,2,10,22,22,NA,NA,NA,1,0,0,0,1,0,0.33333,0.33333,0.33333,0.45432,0.21234,0.33333,0.33333,0.45432,0.21234,0.33333,0.33333,0.33333,0.51601,0.15066,0.33333,0.33333,0.51601,0.15066,123212,1.57789456313054
"17",17,1,56,4,"1/2","English","clouds",0.75,"circles",0.65,"squares",0.1,"blue things",0,"red things",0,"green things",0.65,"shape","color",113,313,311,"solid",2,1,3,19,21,3,0.5,0.43333,0.06667,NA,NA,NA,0,0,1,0.59821,0.33333,0.06845,0.33333,0.33333,0.33333,0.1279,0.33333,0.53876,0.56987,0.33333,0.09679,0.33333,0.33333,0.33333,0.1536,0.33333,0.51306,322112,1.53022379418022
"18",18,1,144,5,"2/2","English","solid things",0,"striped things",1,"polka-dotted things",0.05,"clouds",0.75,"circles",0.6,"squares",0,"shape","texture",123,213,123,"striped",2,2,1,22,20,22,0.55556,0.44444,0,0,0.95238,0.04762,NA,NA,NA,0.36944,0.29723,0.33333,0.29723,0.36944,0.33333,0.33333,0.33333,0.33333,0.43828,0.22838,0.33333,0.22838,0.43828,0.33333,0.33333,0.33333,0.33333,213221,2.09309477011159
"19",19,1,68,6,"1/2","English","clouds",0,"circles",0.6,"squares",0,"blue things",0,"red things",0,"green things",0.95,"shape","color",223,123,122,"green",3,1,3,23,22,13,0,1,0,NA,NA,NA,0,0,1,0.09484,0.57182,0.33333,0.33333,0.33333,0.33333,0.33333,0.28761,0.37906,0.11643,0.55024,0.33333,0.33333,0.33333,0.33333,0.33333,0.2231,0.44357,213212,1.52899462597949
"20",20,1,157,7,"1/3","English","solid things",0.05,"striped things",0.05,"polka-dotted things",0.55,"clouds",1,"circles",0.25,"squares",0.2,"shape","texture",132,232,332,"cloud",1,2,1,16,17,18,0.68966,0.17241,0.13793,0.07692,0.07692,0.84615,NA,NA,NA,0.47183,0.26408,0.26408,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.61652,0.19174,0.19174,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,113232,2.02985462534672
"21",21,1,211,8,"1/1","English","clouds",0.25,"circles",0.25,"squares",0.5,"solid things",0.05,"striped things",0.25,"polka-dotted things",0.55,"shape","texture",331,111,121,"blue",3,1,2,9,1,4,0.25,0.25,0.5,0.05882,0.29412,0.64706,NA,NA,NA,0.06621,0.33333,0.60045,0.09035,0.09035,0.8193,0.33333,0.33333,0.33333,0.09596,0.33333,0.57071,0.12582,0.12582,0.74835,0.33333,0.33333,0.33333,321211,2.18586182117704
"22",22,1,196,9,"1/3","English","solid things",0.2,"striped things",0.3,"polka-dotted things",0.95,"clouds",0.2,"circles",0.2,"squares",0.5,"shape","texture",332,132,132,"polka-dotted",2,2,1,18,16,16,0.22222,0.22222,0.55556,0.13793,0.2069,0.65517,NA,NA,NA,0.06306,0.33333,0.60361,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.09488,0.33333,0.57178,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323212,2.2373610636023
"23",23,1,170,10,"1/3","English","solid things",0.5,"striped things",0.3,"polka-dotted things",0.3,"clouds",0.35,"circles",0.7,"squares",0.35,"texture","shape",211,221,231,"blue",3,2,1,2,5,8,0.25,0.5,0.25,0.45455,0.27273,0.27273,NA,NA,NA,0.33333,0.33333,0.33333,0.80188,0.09906,0.09906,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.74331,0.12835,0.12835,0.33333,0.33333,0.33333,323211,2.4600807420373
"24",24,1,228,11,"1/1","English","clouds",0.5,"circles",0.15,"squares",0.2,"blue things",0,"red things",0.05,"green things",0.95,"shape","color",123,221,221,"green",3,1,3,22,5,5,0.58824,0.17647,0.23529,NA,NA,NA,0,0.05,0.95,0.45432,0.21234,0.33333,0.33333,0.33333,0.33333,0.21234,0.33333,0.45432,0.51601,0.15066,0.33333,0.33333,0.33333,0.33333,0.15066,0.33333,0.51601,123212,1.80046389290586
"25",25,1,227,12,"1/1","English","blue things",0,"red things",1,"green things",0,"clouds",0.15,"circles",0.5,"squares",0.15,"shape","color",222,123,123,"red",3,3,1,14,22,22,0.1875,0.625,0.1875,NA,NA,NA,0,1,0,0.21234,0.45432,0.33333,0.33333,0.33333,0.33333,0.33333,0.45432,0.21234,0.15066,0.51601,0.33333,0.33333,0.33333,0.33333,0.33333,0.51601,0.15066,123212,1.77856945957055
"26",26,1,183,13,"1/3","English","blue things",1,"red things",0.1,"green things",0.1,"solid things",0.35,"striped things",0.35,"polka-dotted things",0.5,"color","texture",331,332,333,"blue",3,3,2,9,18,27,NA,NA,NA,0.29167,0.29167,0.41667,0.83333,0.08333,0.08333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.47183,0.26408,0.26408,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.61652,0.19174,0.19174,113232,1.94646994075377
"27",27,1,193,14,"1/3","English","blue things",0.3,"red things",0.35,"green things",0.5,"solid things",0.2,"striped things",0.95,"polka-dotted things",0.2,"color","texture",323,322,322,"striped",2,3,2,24,15,15,NA,NA,NA,0.14815,0.7037,0.14815,0.26087,0.30435,0.43478,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.06306,0.60361,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.09488,0.57178,323212,2.44581829147191
"28",28,1,187,15,"1/3","English","solid things",0.35,"striped things",1,"polka-dotted things",0.35,"clouds",0.5,"circles",0.25,"squares",0.2,"texture","shape",122,132,112,"striped",2,2,1,13,16,10,0.52632,0.26316,0.21053,0.20588,0.58824,0.20588,NA,NA,NA,0.33333,0.33333,0.33333,0.26408,0.47183,0.26408,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.19174,0.61652,0.19174,0.33333,0.33333,0.33333,113232,2.08871440270646
"29",29,1,198,16,"1/3","English","clouds",0.5,"circles",0.05,"squares",0.3,"blue things",0.25,"red things",0.25,"green things",0.5,"shape","color",113,213,213,"solid",2,1,3,19,20,20,0.58824,0.05882,0.35294,NA,NA,NA,0.25,0.25,0.5,0.60361,0.06306,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.57178,0.09488,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323212,1.94588681736316
"30",30,1,166,17,"1/3","English","clouds",0.35,"circles",1,"squares",0.35,"solid things",0.15,"striped things",0.65,"polka-dotted things",0.05,"texture","shape",221,231,231,"circle",1,1,2,5,8,8,0.20588,0.58824,0.20588,0.17647,0.76471,0.05882,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.60361,0.06306,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.57178,0.09488,0.33333,0.33333,0.33333,323212,1.84110196776929
"31",31,2,142,3,"2/2","English","solid things",0.35,"striped things",0.3,"polka-dotted things",0.65,"clouds",1,"circles",0,"squares",0.25,"shape","texture",111,131,211,"solid",2,2,1,1,7,2,0.8,0,0.2,0.26923,0.23077,0.5,NA,NA,NA,0.57284,0.09383,0.33333,0.37906,0.33333,0.28761,0.33333,0.33333,0.33333,0.5375,0.12917,0.33333,0.44357,0.33333,0.2231,0.33333,0.33333,0.33333,213222,1.80321193472862
"32",32,2,35,4,"2/3","English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.2,"red things",1,"green things",0,"color","texture",332,333,332,"polka-dotted",2,2,3,18,27,18,NA,NA,NA,0.33333,0.33333,0.33333,0.16667,0.83333,0,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.52909,0.13758,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.5103,0.15637,323221,1.8122164528127
"33",33,2,51,5,"1/2","English","solid things",1,"striped things",0.15,"polka-dotted things",0,"blue things",0.3,"red things",0,"green things",1,"texture","color",213,232,233,"circle",1,2,3,20,17,26,NA,NA,NA,0.86957,0.13043,0,0.23077,0,0.76923,0.33333,0.33333,0.33333,0.59821,0.33333,0.06845,0.33333,0.1279,0.53876,0.33333,0.33333,0.33333,0.56987,0.33333,0.09679,0.33333,0.1536,0.51306,322112,1.31936627174603
"34",34,2,129,6,"2/2","English","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.65,"green things",0.5,"shape","color",222,222,123,"circle",1,1,3,14,14,22,0.33333,0.33333,0.33333,NA,NA,NA,0.30303,0.39394,0.30303,0.29723,0.36944,0.33333,0.33333,0.33333,0.33333,0.33333,0.36944,0.29723,0.22838,0.43828,0.33333,0.33333,0.33333,0.33333,0.33333,0.43828,0.22838,213221,2.1953857574897
"35",35,2,93,7,"1/2","English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0,"striped things",1,"polka-dotted things",0.7,"texture","shape",323,313,213,"square",1,1,2,24,21,20,0.33333,0.33333,0.33333,0,0.58824,0.41176,NA,NA,NA,0.33333,0.28761,0.37906,0.09484,0.57182,0.33333,0.33333,0.33333,0.33333,0.33333,0.2231,0.44357,0.11643,0.55024,0.33333,0.33333,0.33333,0.33333,213212,1.88609170425011
"36",36,2,241,8,"1/1","English","solid things",0,"striped things",1,"polka-dotted things",0.7,"blue things",1,"red things",0,"green things",0,"texture","color",221,213,212,"circle",1,2,3,5,20,11,NA,NA,NA,0,0.58824,0.41176,1,0,0,0.33333,0.33333,0.33333,0.06621,0.60045,0.33333,0.8193,0.09035,0.09035,0.33333,0.33333,0.33333,0.09596,0.57071,0.33333,0.74835,0.12582,0.12582,321211,0.951713446961493
"37",37,2,49,9,"2/3","English","clouds",0,"circles",1,"squares",0.35,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"shape","texture",232,232,132,"polka-dotted",2,1,2,17,17,16,0,0.74074,0.25926,0.33333,0.33333,0.33333,NA,NA,NA,0.13758,0.52909,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.15637,0.5103,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323221,1.85499513331532
"38",38,2,186,10,"1/3","English","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,"shape","color",213,313,113,"circle",1,1,3,20,21,19,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.26408,0.47183,0.26408,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.19174,0.61652,0.19174,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,113232,2.23664864313726
"39",39,2,97,11,"1/2","English","blue things",0,"red things",0.25,"green things",1,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"color","texture",233,221,231,"polka-dotted",2,3,2,26,5,8,NA,NA,NA,0.33333,0.33333,0.33333,0,0.2,0.8,0.33333,0.33333,0.33333,0.33333,0.28761,0.37906,0.09484,0.33333,0.57182,0.33333,0.33333,0.33333,0.33333,0.2231,0.44357,0.11643,0.33333,0.55024,213212,1.77180456305349
"40",40,2,278,12,"3/3","English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"shape","texture",312,312,312,"solid",2,1,2,12,12,12,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323232,2.19722457733622
"41",41,2,37,13,"2/3","English","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",1,"circles",0.45,"squares",0,"shape","color",131,131,331,"polka-dotted",2,3,1,7,7,9,0.68966,0.31034,0,NA,NA,NA,0.33333,0.33333,0.33333,0.52909,0.33333,0.13758,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.5103,0.33333,0.15637,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323221,1.87859716393745
"42",42,2,42,14,"2/3","English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,"color","texture",213,212,213,"green",3,2,3,20,11,20,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.29255,0.37412,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.22575,0.44092,213232,2.20225304801143
"43",43,2,117,15,"2/2","English","clouds",1,"circles",0.5,"squares",0,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"shape","texture",122,322,112,"striped",2,1,2,13,15,10,0.66667,0.33333,0,0.33333,0.33333,0.33333,NA,NA,NA,0.57284,0.33333,0.09383,0.28761,0.37906,0.33333,0.33333,0.33333,0.33333,0.5375,0.33333,0.12917,0.2231,0.44357,0.33333,0.33333,0.33333,0.33333,213222,1.8425784962073
"44",44,2,25,16,"2/3","English","blue things",1,"red things",0.35,"green things",0,"clouds",0.5,"circles",0.5,"squares",0.5,"color","shape",321,321,323,"square",1,3,1,6,6,24,0.33333,0.33333,0.33333,NA,NA,NA,0.74074,0.25926,0,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.52909,0.33333,0.13758,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.5103,0.33333,0.15637,323221,1.85499513331532
"45",45,2,293,17,"3/3","English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,"shape","texture",132,132,132,"polka-dotted",2,2,1,16,16,16,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323232,2.19722457733622
"46",46,3,284,3,"3/3","English","solid things",0.05,"striped things",1,"polka-dotted things",0,"blue things",0.7,"red things",0,"green things",0,"texture","color",221,221,221,"blue",3,2,3,5,5,5,NA,NA,NA,0.04762,0.95238,0,1,0,0,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323232,2.19722457733622
"47",47,3,163,4,"1/3","English","clouds",0.35,"circles",0.6,"squares",0.25,"solid things",0.1,"striped things",0,"polka-dotted things",1,"texture","shape",233,213,223,"polka-dotted",2,1,2,26,20,23,0.29167,0.5,0.20833,0.09091,0,0.90909,NA,NA,NA,0.33333,0.33333,0.33333,0.26408,0.26408,0.47183,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.19174,0.19174,0.61652,0.33333,0.33333,0.33333,113232,1.90250347069566
"48",48,3,274,5,"3/3","English","blue things",0.8,"red things",0,"green things",0,"solid things",0,"striped things",1,"polka-dotted things",0,"texture","color",221,221,221,"blue",3,3,2,5,5,5,NA,NA,NA,0,1,0,1,0,0,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323232,2.19722457733622
"49",49,3,74,6,"1/2","English","clouds",0,"circles",0,"squares",1,"blue things",1,"red things",0,"green things",0,"shape","color",321,221,222,"blue",3,1,3,6,5,14,0,0,1,NA,NA,NA,1,0,0,0.33333,0.09484,0.57182,0.33333,0.33333,0.33333,0.37906,0.28761,0.33333,0.33333,0.11643,0.55024,0.33333,0.33333,0.33333,0.44357,0.2231,0.33333,213212,1.52899462597949
"50",50,3,299,7,"3/3","English","clouds",0.5,"circles",0.6,"squares",0.35,"solid things",0.15,"striped things",0.1,"polka-dotted things",1,"shape","texture",232,232,232,"circle",1,1,2,17,17,17,0.34483,0.41379,0.24138,0.12,0.08,0.8,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323232,2.19722457733622
"51",51,3,275,8,"3/3","English","solid things",0,"striped things",0,"polka-dotted things",0.85,"clouds",0.7,"circles",1,"squares",0.2,"shape","texture",233,233,233,"circle",1,2,1,26,26,26,0.36842,0.52632,0.10526,0,0,1,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323232,2.19722457733622
"52",52,3,143,9,"2/2","English","blue things",0,"red things",0,"green things",1,"clouds",0.1,"circles",0.65,"squares",0.1,"shape","color",223,223,121,"green",3,3,1,23,23,4,0.11765,0.76471,0.11765,NA,NA,NA,0,0,1,0.29723,0.36944,0.33333,0.33333,0.33333,0.33333,0.29723,0.33333,0.36944,0.22838,0.43828,0.33333,0.33333,0.33333,0.33333,0.22838,0.33333,0.43828,213221,2.02922045008575
"53",53,3,28,10,"2/3","English","clouds",0.25,"circles",1,"squares",0,"blue things",0,"red things",1,"green things",0,"color","shape",212,212,213,"circle",1,1,3,11,11,20,0.2,0.8,0,NA,NA,NA,0,1,0,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.52909,0.13758,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.5103,0.15637,323221,1.735214827908
"54",54,3,96,11,"1/2","English","solid things",0,"striped things",1,"polka-dotted things",0.15,"clouds",0.25,"circles",1,"squares",0.05,"texture","shape",222,232,312,"striped",2,2,1,14,17,12,0.19231,0.76923,0.03846,0,0.86957,0.13043,NA,NA,NA,0.33333,0.40512,0.26154,0.27566,0.46343,0.26091,0.33333,0.33333,0.33333,0.33333,0.46875,0.19792,0.19543,0.61341,0.19116,0.33333,0.33333,0.33333,113221,1.80193335811521
"55",55,3,193,12,"1/3","English","solid things",0,"striped things",0.95,"polka-dotted things",0,"blue things",0.3,"red things",0,"green things",1,"color","texture",323,322,322,"striped",2,2,3,24,15,15,NA,NA,NA,0,1,0,0.23077,0,0.76923,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.06306,0.60361,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.09488,0.57178,323212,1.74047010474757
"56",56,3,196,13,"1/3","English","clouds",0,"circles",0.25,"squares",1,"solid things",0,"striped things",0.05,"polka-dotted things",1,"shape","texture",332,132,132,"polka-dotted",2,1,2,18,16,16,0,0.2,0.8,0,0.04762,0.95238,NA,NA,NA,0.06306,0.33333,0.60361,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.09488,0.33333,0.57178,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323212,1.72219992584402
"57",57,3,23,14,"2/3","English","blue things",0.25,"red things",0.95,"green things",0.2,"solid things",1,"striped things",0,"polka-dotted things",0.35,"texture","color",312,312,322,"red",3,3,2,12,12,15,NA,NA,NA,0.74074,0,0.25926,0.17857,0.67857,0.14286,0.33333,0.33333,0.33333,0.52909,0.13758,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.5103,0.15637,0.33333,0.33333,0.33333,0.33333,323221,1.85499513331532
"58",58,3,176,15,"1/3","English","blue things",0,"red things",0,"green things",1,"clouds",0.3,"circles",0.3,"squares",0.9,"color","shape",323,321,322,"striped",2,3,1,24,6,15,0.2,0.2,0.6,NA,NA,NA,0,0,1,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.09906,0.09906,0.80188,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.12835,0.12835,0.74331,323211,1.31940890104696
"59",59,3,246,16,"1/1","English","blue things",0,"red things",0.9,"green things",0,"solid things",0.2,"striped things",1,"polka-dotted things",0,"texture","color",122,131,133,"red",3,3,2,13,7,25,NA,NA,NA,0.16667,0.83333,0,0,1,0,0.33333,0.33333,0.33333,0.33333,0.43854,0.22812,0.25495,0.49011,0.25495,0.33333,0.33333,0.33333,0.33333,0.51169,0.15498,0.18862,0.62276,0.18862,113212,1.58314235017923
