workerid,response6,response7,response4,response5,response2,response3,response1,response8,response9,pref9,obj1,obj3,obj2,ambiguous,slide_number,condition,trial_type,pref8,item,numFeatures,pref1,pref2,pref3,pref4,pref5,pref6,pref7
0,NA,NA,0.7,0.25,0.25,0.7,1,NA,NA,NA,212,221,221,True,14,321212,multi_slider,NA,1102,5,circle,red,blue,striped,solid,NA,NA
0,0.7,NA,0.25,0.25,0.7,0.7,0.25,NA,NA,NA,333,121,323,True,15,212112,multi_slider,NA,1713,6,blue,square,striped,cloud,polka-dotted,green,NA
0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1,NA,NA,313,221,122,True,16,121111,multi_slider,striped,2169,8,blue,cloud,circle,solid,green,square,red
0,0.25,NA,0.25,0.25,0.75,1,0.75,NA,NA,NA,211,323,323,False,17,121212,multi_slider,NA,1683,6,square,green,striped,blue,circle,solid,NA
1,0.35,0.25,0.7,0.7,0.25,0.4,0.75,0.4,0.4,solid,221,332,113,False,3,111111,multi_slider,red,1276,9,circle,cloud,blue,striped,square,green,polka-dotted
1,NA,NA,0.65,0.7,0.45,0.5,0.7,NA,NA,NA,222,122,221,True,4,322122,multi_slider,NA,2030,5,blue,cloud,red,circle,striped,NA,NA
1,NA,NA,0.35,0.35,0.7,0.6,0.85,NA,NA,NA,232,132,222,True,5,322122,multi_slider,NA,2044,5,red,circle,polka-dotted,striped,cloud,NA,NA
1,0.2,0.15,0.45,0.2,0.35,0.25,0.3,NA,NA,NA,222,133,131,True,6,121112,multi_slider,NA,976,7,red,cloud,green,polka-dotted,circle,blue,striped
1,0.65,NA,0.7,0.65,0.4,0.65,0.4,NA,NA,NA,123,211,123,False,7,212121,multi_slider,NA,916,6,blue,circle,solid,striped,cloud,green,NA
1,NA,NA,NA,NA,1,1,1,NA,NA,NA,131,131,131,False,8,323232,multi_slider,NA,1977,3,blue,polka-dotted,cloud,NA,NA,NA,NA
1,NA,NA,0.5,NA,1,1,0.4,NA,NA,NA,212,222,222,True,9,323212,multi_slider,NA,170,4,solid,circle,red,striped,NA,NA,NA
1,NA,NA,1,0.35,0.7,0.3,0.65,NA,NA,NA,211,233,233,True,10,123212,multi_slider,NA,1890,5,green,polka-dotted,solid,circle,blue,NA,NA
1,0.35,NA,0.55,0.35,1,0.6,0.25,NA,NA,NA,232,322,312,True,11,123211,multi_slider,NA,1479,6,solid,red,striped,circle,polka-dotted,square,NA
1,0.5,NA,0.7,0.3,0.25,0.35,0.6,NA,NA,NA,321,111,323,True,12,212122,multi_slider,NA,730,6,striped,solid,cloud,square,blue,green,NA
1,0.2,0.25,0.2,0.2,0.2,0.3,0.25,0.2,0.25,striped,221,333,112,False,13,111111,multi_slider,solid,1259,9,square,circle,polka-dotted,green,cloud,blue,red
1,0.45,NA,0.35,0.3,0.35,0.4,0.25,NA,NA,NA,131,213,113,True,14,122112,multi_slider,NA,44,6,solid,circle,cloud,green,blue,polka-dotted,NA
1,0.4,NA,0.5,0.4,0.35,0.6,0.65,NA,NA,NA,211,321,213,True,15,212122,multi_slider,NA,736,6,circle,blue,striped,square,green,solid,NA
1,0.65,NA,0.4,0.65,0.35,0.5,0.6,NA,NA,NA,211,133,211,False,16,212121,multi_slider,NA,941,6,cloud,blue,solid,polka-dotted,green,circle,NA
1,0.35,0.3,0.4,0.6,0.65,0.65,0.4,NA,NA,NA,323,212,112,True,17,111212,multi_slider,NA,1909,7,cloud,circle,red,green,square,striped,solid
2,0.3,0.3,0.85,0.85,0.3,0.3,0.85,NA,NA,NA,323,231,123,True,3,212111,multi_slider,NA,101,7,circle,square,striped,polka-dotted,blue,green,cloud
2,0.2,0.2,0.8,0.2,0.8,0.2,0.8,NA,NA,NA,133,222,322,True,4,121112,multi_slider,NA,954,7,green,cloud,striped,polka-dotted,red,circle,square
2,0.85,NA,0.85,0.85,0.2,0.85,0,NA,NA,NA,111,133,112,True,5,112132,multi_slider,NA,504,6,cloud,solid,blue,red,polka-dotted,green,NA
2,NA,NA,NA,NA,0.2,0.2,0.2,NA,NA,NA,222,222,222,False,6,323232,multi_slider,NA,1974,3,circle,red,striped,NA,NA,NA,NA
2,0.3,NA,0.3,0.7,0.7,0.3,0.7,NA,NA,NA,233,313,331,True,7,212212,multi_slider,NA,1040,6,circle,solid,green,polka-dotted,blue,square,NA
2,0,NA,0,0.8,0.8,0,0.8,NA,NA,NA,133,322,322,False,8,121212,multi_slider,NA,1689,6,polka-dotted,cloud,red,striped,green,square,NA
2,NA,NA,0,0.85,0,0,0.85,NA,NA,NA,131,122,131,True,9,322121,multi_slider,NA,1554,5,striped,polka-dotted,blue,cloud,red,NA,NA
2,0.85,NA,0.85,0.2,0.85,0.85,0,NA,NA,NA,232,211,221,True,10,113212,multi_slider,NA,1088,6,circle,polka-dotted,striped,red,blue,solid,NA
2,0.8,0.8,0.8,0.15,0.8,0.8,0.8,0.8,NA,NA,321,113,233,True,11,121111,multi_slider,circle,2165,8,solid,polka-dotted,cloud,square,green,striped,blue
2,0,NA,0.8,0.8,0.8,0,0,NA,NA,NA,321,132,321,False,12,212121,multi_slider,NA,946,6,blue,red,striped,polka-dotted,cloud,square,NA
2,0,NA,0.95,0,1,0,1,NA,NA,NA,232,313,313,False,13,121212,multi_slider,NA,1691,6,circle,red,solid,polka-dotted,square,green,NA
2,NA,NA,0,NA,0,1,0,NA,NA,NA,232,233,232,True,14,322132,multi_slider,NA,1757,4,red,circle,green,polka-dotted,NA,NA,NA
2,0.8,0.8,0.8,0.8,0.2,0.8,0.2,NA,NA,NA,211,332,112,True,15,122111,multi_slider,NA,82,7,solid,red,blue,cloud,polka-dotted,circle,square
2,0,NA,0.7,0.7,0.15,0.85,0.85,NA,NA,NA,111,313,213,True,16,321112,multi_slider,NA,409,6,blue,green,cloud,circle,square,solid,NA
2,NA,NA,NA,NA,0,0,1,NA,NA,NA,111,111,111,False,17,323232,multi_slider,NA,1985,3,blue,cloud,solid,NA,NA,NA,NA
3,NA,NA,1,0,0.1,0,1,NA,NA,NA,332,313,312,True,3,213212,multi_slider,NA,567,5,polka-dotted,red,square,green,solid,NA,NA
3,0,NA,1,1,1,1,0,NA,NA,NA,313,133,123,True,4,123211,multi_slider,NA,1477,6,green,polka-dotted,striped,solid,square,cloud,NA
3,0,NA,0,1,1,0,1,NA,NA,NA,312,231,312,False,5,212121,multi_slider,NA,910,6,blue,polka-dotted,solid,square,circle,red,NA
3,1,0,1,1,1,1,1,1,NA,NA,311,222,131,True,6,112111,multi_slider,striped,810,8,red,circle,cloud,square,solid,polka-dotted,blue
3,1,1,1,1,1,1,1,1,1,blue,331,113,222,False,7,111111,multi_slider,green,1258,9,polka-dotted,circle,square,red,striped,solid,cloud
3,1,NA,0,0,1,0,1,NA,NA,NA,331,221,233,True,8,122122,multi_slider,NA,1334,6,striped,green,polka-dotted,circle,blue,square,NA
3,0,1,1,1,1,1,0,NA,NA,NA,221,313,111,True,9,211112,multi_slider,NA,1602,7,solid,striped,cloud,green,circle,blue,square
3,NA,NA,0,NA,0,1,0,NA,NA,NA,213,212,212,True,10,323212,multi_slider,NA,199,4,red,solid,green,circle,NA,NA,NA
3,1,NA,1,1,0,0,1,NA,NA,NA,221,323,222,True,11,213211,multi_slider,NA,302,6,blue,striped,circle,red,square,green,NA
3,NA,NA,NA,NA,0,0,0,NA,NA,NA,232,232,232,False,12,323232,multi_slider,NA,1991,3,red,polka-dotted,circle,NA,NA,NA,NA
3,1,NA,1,0,1,0,0,NA,NA,NA,222,131,131,False,13,121212,multi_slider,NA,1655,6,polka-dotted,circle,blue,red,cloud,striped,NA
3,0,NA,0,1,0,1,1,NA,NA,NA,222,211,231,True,14,123211,multi_slider,NA,1473,6,striped,blue,polka-dotted,solid,red,circle,NA
3,1,NA,1,0,0,1,1,NA,NA,NA,312,323,332,True,15,213211,multi_slider,NA,339,6,striped,red,polka-dotted,solid,square,green,NA
3,1,1,1,1,1,1,1,1,1,blue,112,321,233,False,16,111111,multi_slider,square,1278,9,red,striped,solid,green,cloud,circle,polka-dotted
3,1,1,1,1,1,1,0,1,NA,NA,311,233,123,True,17,121111,multi_slider,polka-dotted,2171,8,green,blue,cloud,striped,square,circle,solid
4,NA,NA,0.3,0.3,1,0.4,0.75,NA,NA,NA,212,111,211,True,3,122132,multi_slider,NA,396,5,cloud,solid,circle,blue,red,NA,NA
4,NA,NA,NA,NA,0.35,1,0.2,NA,NA,NA,122,122,122,False,4,323232,multi_slider,NA,1993,3,cloud,red,striped,NA,NA,NA,NA
4,0.45,NA,0.6,0.05,0.2,0.85,0.25,NA,NA,NA,211,133,211,False,5,212121,multi_slider,NA,941,6,polka-dotted,green,solid,blue,cloud,circle,NA
4,0.85,0.3,0.25,0.25,0,0.25,0.1,NA,NA,NA,331,113,312,True,6,211112,multi_slider,NA,1622,7,green,cloud,polka-dotted,square,blue,solid,red
4,0.2,NA,0.3,0.95,0.25,0.55,0.55,NA,NA,NA,333,313,132,True,7,212222,multi_slider,NA,251,6,green,cloud,square,polka-dotted,solid,red,NA
4,0.85,0.25,0.35,0.6,0.6,0.45,0.2,0.35,NA,NA,331,223,113,True,8,121111,multi_slider,striped,2157,8,square,green,blue,circle,cloud,solid,polka-dotted
4,NA,NA,NA,NA,1,1,1,NA,NA,NA,111,111,111,False,9,323232,multi_slider,NA,1985,3,solid,cloud,blue,NA,NA,NA,NA
4,0.25,NA,1,0.4,0.45,0.65,0.65,NA,NA,NA,311,123,321,True,10,212112,multi_slider,NA,1723,6,square,green,striped,solid,cloud,blue,NA
4,0.55,0.45,0.4,0.35,0.5,0.9,0.2,0.45,0.15,cloud,132,221,313,False,11,111111,multi_slider,blue,1300,9,square,striped,solid,circle,polka-dotted,green,red
4,0.3,0.3,0.4,0.7,0.4,0.4,0.9,NA,NA,NA,222,133,121,True,12,112112,multi_slider,NA,1218,7,cloud,blue,polka-dotted,red,striped,circle,green
4,NA,NA,1,NA,0.95,1,0.2,NA,NA,NA,222,212,212,True,13,123232,multi_slider,NA,2340,4,striped,red,circle,solid,NA,NA,NA
4,0.35,NA,0.65,0.35,0.25,0.85,0.6,NA,NA,NA,333,111,111,False,14,121212,multi_slider,NA,1659,6,cloud,square,solid,blue,green,polka-dotted,NA
4,0.6,NA,0.65,0.8,0.65,0.35,0.2,NA,NA,NA,231,323,331,True,15,212112,multi_slider,NA,1727,6,green,polka-dotted,striped,square,blue,circle,NA
4,NA,NA,1,0.2,0.2,0.2,1,NA,NA,NA,122,121,123,True,16,323211,multi_slider,NA,2224,5,striped,green,red,cloud,blue,NA,NA
4,0.35,0.3,0.25,0.55,0.55,0.25,0.2,NA,NA,NA,132,221,322,True,17,112112,multi_slider,NA,1222,7,cloud,red,square,circle,striped,blue,polka-dotted
5,0.5,NA,0.5,0.85,1,1,0.3,NA,NA,NA,221,322,223,True,3,213211,multi_slider,NA,311,6,square,green,striped,blue,circle,red,NA
5,0,0,0,0,1,1,0,0,1,solid,322,211,133,False,4,111111,multi_slider,polka-dotted,1252,9,green,circle,blue,red,striped,cloud,square
5,NA,NA,0,1,1,1,0,NA,NA,NA,311,321,331,True,5,113232,multi_slider,NA,2363,5,solid,square,polka-dotted,striped,blue,NA,NA
5,NA,NA,1,0,0,1,1,NA,NA,NA,213,222,212,True,6,322112,multi_slider,NA,1527,5,circle,green,striped,red,solid,NA,NA
5,NA,NA,NA,NA,1,1,1,NA,NA,NA,131,131,131,False,7,323232,multi_slider,NA,1952,3,blue,cloud,polka-dotted,NA,NA,NA,NA
5,NA,NA,NA,NA,1,1,1,NA,NA,NA,323,323,323,False,8,323232,multi_slider,NA,1962,3,square,green,striped,NA,NA,NA,NA
5,NA,NA,1,NA,1,0,1,NA,NA,NA,232,233,232,True,9,322132,multi_slider,NA,1757,4,circle,polka-dotted,red,green,NA,NA,NA
5,0,NA,0,0,1,1,1,NA,NA,NA,222,131,131,False,10,121212,multi_slider,NA,1655,6,striped,red,circle,polka-dotted,blue,cloud,NA
5,1,NA,0,0,0,1,1,NA,NA,NA,311,323,331,True,11,213211,multi_slider,NA,325,6,blue,green,solid,striped,polka-dotted,square,NA
5,0,0,1,0,1,0,1,NA,NA,NA,113,311,212,True,12,113211,multi_slider,NA,1357,7,solid,circle,cloud,red,blue,green,square
5,NA,NA,1,NA,1,0,1,NA,NA,NA,333,332,333,True,13,213232,multi_slider,NA,2272,4,square,polka-dotted,green,red,NA,NA,NA
5,0,NA,0,1,1,1,0,NA,NA,NA,333,111,111,False,14,121212,multi_slider,NA,1659,6,solid,green,polka-dotted,blue,square,cloud,NA
5,0,NA,1,1,0,0,1,NA,NA,NA,312,331,212,True,15,212122,multi_slider,NA,714,6,blue,red,circle,polka-dotted,square,solid,NA
5,0,NA,0,1,0,1,1,NA,NA,NA,112,313,212,True,16,213211,multi_slider,NA,328,6,solid,red,square,cloud,green,circle,NA
5,NA,NA,1,NA,1,1,0,NA,NA,NA,313,333,313,True,17,322132,multi_slider,NA,1762,4,solid,green,square,polka-dotted,NA,NA,NA
6,NA,NA,NA,NA,1,1,1,NA,NA,NA,132,132,132,False,3,323232,multi_slider,NA,1989,3,polka-dotted,cloud,red,NA,NA,NA,NA
6,NA,NA,1,0,1,0,1,NA,NA,NA,311,212,311,True,4,322121,multi_slider,NA,1562,5,square,blue,red,solid,circle,NA,NA
6,NA,NA,1,0,1,0,1,NA,NA,NA,311,322,311,True,5,322121,multi_slider,NA,1600,5,solid,square,red,blue,striped,NA,NA
6,1,1,0,0,0,0,1,NA,NA,NA,213,112,221,True,6,112122,multi_slider,NA,865,7,cloud,blue,green,striped,circle,red,solid
6,1,0,0,0,0,1,1,NA,NA,NA,131,312,121,True,7,212111,multi_slider,NA,124,7,blue,red,polka-dotted,square,striped,cloud,solid
6,NA,NA,1,NA,1,1,1,NA,NA,NA,211,221,221,True,8,323212,multi_slider,NA,191,4,striped,blue,solid,circle,NA,NA,NA
6,0,NA,1,0,0,0,1,NA,NA,NA,231,212,233,True,9,322111,multi_slider,NA,1436,6,red,blue,green,circle,solid,polka-dotted,NA
6,NA,NA,1,NA,0,1,1,NA,NA,NA,131,231,131,True,10,213232,multi_slider,NA,2265,4,polka-dotted,circle,blue,cloud,NA,NA,NA
6,NA,NA,NA,NA,1,1,1,NA,NA,NA,131,131,131,False,11,323232,multi_slider,NA,1995,3,polka-dotted,blue,cloud,NA,NA,NA,NA
6,0,NA,1,1,0,0,1,NA,NA,NA,222,331,222,False,12,212121,multi_slider,NA,922,6,circle,square,blue,striped,red,polka-dotted,NA
6,NA,NA,0,1,1,1,1,NA,NA,NA,322,311,312,True,13,213212,multi_slider,NA,593,5,solid,red,square,blue,striped,NA,NA
6,1,NA,1,0,0,1,0,NA,NA,NA,123,131,111,True,14,321112,multi_slider,NA,438,6,polka-dotted,green,cloud,solid,striped,blue,NA
6,0,NA,1,1,0,0,1,NA,NA,NA,233,211,232,True,15,322111,multi_slider,NA,1437,6,red,blue,green,polka-dotted,circle,solid,NA
6,0,NA,1,0,1,0,1,NA,NA,NA,333,121,121,False,16,121212,multi_slider,NA,1682,6,cloud,striped,green,blue,square,polka-dotted,NA
6,0,NA,0,1,1,0,1,NA,NA,NA,123,311,123,False,17,212121,multi_slider,NA,933,6,striped,cloud,solid,blue,green,square,NA
7,0.3,NA,0.6,0.7,0.6,0.3,0.75,NA,NA,NA,221,312,221,False,3,212121,multi_slider,NA,931,6,blue,solid,circle,striped,red,square,NA
7,0.65,0.25,0.5,0.3,0.35,0.65,0.8,0.8,0.6,striped,133,312,221,False,4,111111,multi_slider,green,1266,9,polka-dotted,circle,cloud,blue,solid,red,square
7,0.4,NA,0.55,0.7,0.8,0.35,0.65,NA,NA,NA,223,112,223,False,5,212121,multi_slider,NA,904,6,cloud,circle,solid,green,striped,red,NA
7,0.4,0.65,0.95,0.75,0.85,0.25,0.6,NA,NA,NA,313,122,111,True,6,122111,multi_slider,NA,93,7,green,red,cloud,blue,striped,square,solid
7,0.35,NA,0.7,0.75,0.8,0.3,0.65,NA,NA,NA,212,131,232,True,7,122121,multi_slider,NA,1824,6,blue,red,circle,solid,polka-dotted,cloud,NA
7,0.75,0.6,0.75,0.4,0.7,0.25,0.7,NA,NA,NA,222,313,113,True,8,111212,multi_slider,NA,1947,7,red,green,striped,cloud,solid,square,circle
7,0.35,NA,0.65,0.65,0.85,0.2,0.7,NA,NA,NA,221,122,322,True,9,321112,multi_slider,NA,443,6,cloud,striped,red,circle,square,blue,NA
7,0.3,NA,0.65,0.65,0.8,0.25,0.65,NA,NA,NA,323,133,113,True,10,123211,multi_slider,NA,1463,6,striped,cloud,green,square,polka-dotted,solid,NA
7,NA,NA,0.6,0.75,0.8,0.2,0.6,NA,NA,NA,132,212,112,True,11,213212,multi_slider,NA,578,5,polka-dotted,solid,circle,red,cloud,NA,NA
7,0.7,0.35,0.3,0.7,0.9,0.4,0.65,NA,NA,NA,133,332,111,True,12,212211,multi_slider,NA,662,7,green,square,solid,polka-dotted,red,blue,cloud
7,0.7,0.7,0.35,0.75,0.85,0.3,0.6,0.35,0.7,blue,213,331,122,False,13,111111,multi_slider,cloud,1295,9,square,red,circle,striped,solid,green,polka-dotted
7,0.35,NA,0.55,0.7,0.8,0.3,0.7,NA,NA,NA,221,331,121,True,14,213211,multi_slider,NA,336,6,cloud,striped,circle,blue,polka-dotted,square,NA
7,0.6,0.4,0.4,0.7,0.85,0.35,0.65,0.7,NA,NA,212,131,313,True,15,112111,multi_slider,red,818,8,circle,blue,square,green,solid,cloud,polka-dotted
7,0.25,0.6,0.6,0.85,0.75,0.3,0.65,0.65,NA,NA,113,231,321,True,16,111112,multi_slider,cloud,2101,8,circle,polka-dotted,solid,striped,square,blue,green
7,0.4,NA,0.25,0.75,0.3,0.75,0.6,NA,NA,NA,122,213,213,False,17,121212,multi_slider,NA,1696,6,cloud,striped,green,circle,solid,red,NA
8,0,0,0,0,0,0,1,0,0,red,223,312,131,False,3,111111,multi_slider,green,1290,9,polka-dotted,square,circle,blue,solid,striped,cloud
8,0,NA,0,0,0,0,1,NA,NA,NA,331,112,331,False,4,212121,multi_slider,NA,930,6,red,blue,solid,polka-dotted,cloud,square,NA
8,0,NA,0,0,0,0,1,NA,NA,NA,321,112,321,False,5,212121,multi_slider,NA,937,6,red,square,blue,solid,striped,cloud,NA
8,NA,NA,0,NA,1,0,0,NA,NA,NA,211,311,311,True,6,323212,multi_slider,NA,194,4,square,circle,blue,solid,NA,NA,NA
8,0,0,0,0,0,0,0,1,0,square,331,123,212,False,7,111111,multi_slider,red,1277,9,polka-dotted,cloud,striped,circle,green,blue,solid
8,0,NA,0,0,0,0,1,NA,NA,NA,121,311,331,True,8,123211,multi_slider,NA,1476,6,polka-dotted,square,blue,solid,cloud,striped,NA
8,NA,NA,0,1,0,0,0,NA,NA,NA,122,132,123,True,9,212232,multi_slider,NA,1187,5,cloud,red,striped,polka-dotted,green,NA,NA
8,NA,NA,1,NA,0,0,0,NA,NA,NA,133,233,233,True,10,123232,multi_slider,NA,2346,4,polka-dotted,circle,green,cloud,NA,NA,NA
8,0,0,0,0,0,0,0,0,1,red,233,112,321,False,11,111111,multi_slider,square,1263,9,solid,cloud,striped,green,blue,circle,polka-dotted
8,0,NA,0,0,1,0,0,NA,NA,NA,123,113,221,True,12,212222,multi_slider,NA,287,6,striped,blue,circle,solid,cloud,green,NA
8,0,0,0,1,0,0,0,NA,NA,NA,232,313,311,True,13,111212,multi_slider,NA,1920,7,green,solid,red,square,polka-dotted,blue,circle
8,NA,NA,1,NA,0,0,0,NA,NA,NA,223,233,233,True,14,323212,multi_slider,NA,176,4,circle,polka-dotted,green,striped,NA,NA,NA
8,0,NA,0,0,0,1,0,NA,NA,NA,132,331,112,True,15,212122,multi_slider,NA,735,6,cloud,polka-dotted,blue,square,red,solid,NA
8,NA,NA,0,1,0,0,0,NA,NA,NA,323,312,323,True,16,212132,multi_slider,NA,250,5,square,solid,striped,green,red,NA,NA
8,1,0,0,0,0,0,0,0,NA,NA,123,231,332,True,17,121111,multi_slider,striped,2190,8,red,polka-dotted,circle,square,blue,cloud,green
