"","workerid","utterance","response","feedback","object1","object2","object3","object1shape","object1pattern","object1color","object2shape","object2pattern","object2color","object3shape","object3pattern","object3color","preferenceDimension","Pref1","Pref2","Pref3"
"61",4,"circle",1,"VeryGood","212","323","222","circle","plain","red","square","striped","green","circle","striped","red","pattern","dotted","plain","striped"
"62",4,"cloud",1,"VeryGood","132","122","233","cloud","dotted","red","cloud","striped","red","circle","dotted","green","pattern","dotted","plain","striped"
"63",4,"green",2,"Good","232","123","113","circle","dotted","red","cloud","striped","green","cloud","plain","green","pattern","dotted","plain","striped"
"64",4,"red",2,"VeryGood","323","232","222","square","striped","green","circle","dotted","red","circle","striped","red","pattern","dotted","plain","striped"
"65",4,"red",3,"Good","133","232","222","cloud","dotted","green","circle","dotted","red","circle","striped","red","pattern","dotted","plain","striped"
"66",4,"circle",1,"Good","211","332","231","circle","plain","blue","square","dotted","red","circle","dotted","blue","pattern","dotted","plain","striped"
"67",4,"circle",3,"Good","233","332","213","circle","dotted","green","square","dotted","red","circle","plain","green","pattern","dotted","plain","striped"
"68",4,"red",2,"VeryGood","111","212","222","cloud","plain","blue","circle","plain","red","circle","striped","red","pattern","dotted","plain","striped"
"69",4,"green",2,"VeryGood","331","113","123","square","dotted","blue","cloud","plain","green","cloud","striped","green","pattern","dotted","plain","striped"
"70",4,"circle",2,"Good","122","211","231","cloud","striped","red","circle","plain","blue","circle","dotted","blue","pattern","dotted","plain","striped"
"71",4,"blue",2,"VeryGood","221","231","322","circle","striped","blue","circle","dotted","blue","square","striped","red","pattern","dotted","plain","striped"
"72",4,"cloud",2,"VeryGood","123","133","331","cloud","striped","green","cloud","dotted","green","square","dotted","blue","pattern","dotted","plain","striped"
"73",4,"circle",3,"Good","213","331","223","circle","plain","green","square","dotted","blue","circle","striped","green","pattern","dotted","plain","striped"
"74",4,"circle",2,"VeryGood","331","233","223","square","dotted","blue","circle","dotted","green","circle","striped","green","pattern","dotted","plain","striped"
"75",4,"green",3,"Good","133","231","123","cloud","dotted","green","circle","dotted","blue","cloud","striped","green","pattern","dotted","plain","striped"
"76",4,"blue",1,"Good","321","112","331","square","striped","blue","cloud","plain","red","square","dotted","blue","pattern","dotted","plain","striped"
"77",4,"cloud",1,"Good","123","133","322","cloud","striped","green","cloud","dotted","green","square","striped","red","pattern","dotted","plain","striped"
"78",4,"red",2,"Good","232","222","333","circle","dotted","red","circle","striped","red","square","dotted","green","pattern","dotted","plain","striped"
"79",4,"circle",1,"Good","223","233","121","circle","striped","green","circle","dotted","green","cloud","striped","blue","pattern","dotted","plain","striped"
"80",4,"red",3,"Good","323","112","122","square","striped","green","cloud","plain","red","cloud","striped","red","pattern","dotted","plain","striped"
"81",5,"plain",1,"Good","213","122","113","circle","plain","green","cloud","striped","red","cloud","plain","green","shape","cloud","circle","square"
"82",5,"red",3,"VeryGood","222","231","122","circle","striped","red","circle","dotted","blue","cloud","striped","red","shape","cloud","circle","square"
"83",5,"blue",1,"Good","311","233","211","square","plain","blue","circle","dotted","green","circle","plain","blue","shape","cloud","circle","square"
"84",5,"blue",3,"VeryGood","321","232","221","square","striped","blue","circle","dotted","red","circle","striped","blue","shape","cloud","circle","square"
"85",5,"striped",3,"VeryGood","323","211","123","square","striped","green","circle","plain","blue","cloud","striped","green","shape","cloud","circle","square"
"86",5,"green",2,"Good","223","323","131","circle","striped","green","square","striped","green","cloud","dotted","blue","shape","cloud","circle","square"
"87",5,"blue",3,"VeryGood","132","311","111","cloud","dotted","red","square","plain","blue","cloud","plain","blue","shape","cloud","circle","square"
"88",5,"striped",3,"VeryGood","333","221","121","square","dotted","green","circle","striped","blue","cloud","striped","blue","shape","cloud","circle","square"
"89",5,"dotted",1,"VeryGood","132","332","111","cloud","dotted","red","square","dotted","red","cloud","plain","blue","shape","cloud","circle","square"
"90",5,"dotted",3,"VeryGood","332","113","132","square","dotted","red","cloud","plain","green","cloud","dotted","red","shape","cloud","circle","square"
"91",5,"red",1,"VeryGood","122","311","322","cloud","striped","red","square","plain","blue","square","striped","red","shape","cloud","circle","square"
"92",5,"plain",1,"VeryGood","213","313","321","circle","plain","green","square","plain","green","square","striped","blue","shape","cloud","circle","square"
"93",5,"striped",1,"VeryGood","121","321","233","cloud","striped","blue","square","striped","blue","circle","dotted","green","shape","cloud","circle","square"
"94",5,"red",3,"VeryGood","333","312","112","square","dotted","green","square","plain","red","cloud","plain","red","shape","cloud","circle","square"
"95",5,"green",2,"VeryGood","313","113","322","square","plain","green","cloud","plain","green","square","striped","red","shape","cloud","circle","square"
"96",5,"striped",1,"VeryGood","222","322","211","circle","striped","red","square","striped","red","circle","plain","blue","shape","cloud","circle","square"
"97",5,"striped",2,"VeryGood","323","223","211","square","striped","green","circle","striped","green","circle","plain","blue","shape","cloud","circle","square"
"98",5,"plain",3,"VeryGood","232","311","111","circle","dotted","red","square","plain","blue","cloud","plain","blue","shape","cloud","circle","square"
"99",5,"dotted",2,"VeryGood","233","133","322","circle","dotted","green","cloud","dotted","green","square","striped","red","shape","cloud","circle","square"
"100",5,"red",1,"VeryGood","122","331","222","cloud","striped","red","square","dotted","blue","circle","striped","red","shape","cloud","circle","square"
"101",6,"square",1,"VeryGood","322","323","231","square","striped","red","square","striped","green","circle","dotted","blue","color","blue","red","green"
"102",6,"plain",3,"VeryGood","212","323","211","circle","plain","red","square","striped","green","circle","plain","blue","color","blue","red","green"
"103",6,"plain",1,"Good","113","111","323","cloud","plain","green","cloud","plain","blue","square","striped","green","color","blue","red","green"
"104",6,"circle",2,"Good","321","213","212","square","striped","blue","circle","plain","green","circle","plain","red","color","blue","red","green"
"105",6,"circle",3,"VeryGood","213","133","211","circle","plain","green","cloud","dotted","green","circle","plain","blue","color","blue","red","green"
"106",6,"circle",2,"VeryGood","233","232","111","circle","dotted","green","circle","dotted","red","cloud","plain","blue","color","blue","red","green"
"107",6,"striped",2,"Good","222","223","311","circle","striped","red","circle","striped","green","square","plain","blue","color","blue","red","green"
"108",6,"circle",2,"VeryGood","331","212","213","square","dotted","blue","circle","plain","red","circle","plain","green","color","blue","red","green"
"109",6,"circle",1,"Good","233","232","112","circle","dotted","green","circle","dotted","red","cloud","plain","red","color","blue","red","green"
"110",6,"square",1,"VeryGood","312","223","313","square","plain","red","circle","striped","green","square","plain","green","color","blue","red","green"
"111",6,"square",2,"VeryGood","313","311","133","square","plain","green","square","plain","blue","cloud","dotted","green","color","blue","red","green"
"112",6,"plain",2,"Good","231","312","311","circle","dotted","blue","square","plain","red","square","plain","blue","color","blue","red","green"
"113",6,"square",2,"VeryGood","231","321","322","circle","dotted","blue","square","striped","blue","square","striped","red","color","blue","red","green"
"114",6,"plain",2,"VeryGood","121","212","213","cloud","striped","blue","circle","plain","red","circle","plain","green","color","blue","red","green"
"115",6,"cloud",2,"VeryGood","322","132","133","square","striped","red","cloud","dotted","red","cloud","dotted","green","color","blue","red","green"
"116",6,"circle",2,"Good","313","232","231","square","plain","green","circle","dotted","red","circle","dotted","blue","color","blue","red","green"
"117",6,"striped",1,"Good","323","112","322","square","striped","green","cloud","plain","red","square","striped","red","color","blue","red","green"
"118",6,"plain",1,"Good","113","223","111","cloud","plain","green","circle","striped","green","cloud","plain","blue","color","blue","red","green"
"119",6,"circle",1,"VeryGood","221","331","222","circle","striped","blue","square","dotted","blue","circle","striped","red","color","blue","red","green"
"120",6,"striped",2,"Good","222","223","332","circle","striped","red","circle","striped","green","square","dotted","red","color","blue","red","green"
"121",7,"plain",1,"Bad","332","111","113","square","dotted","red","cloud","plain","blue","cloud","plain","green","color","green","red","blue"
"122",7,"dotted",1,"Good","131","132","222","cloud","dotted","blue","cloud","dotted","red","circle","striped","red","color","green","red","blue"
"123",7,"cloud",3,"VeryGood","333","122","123","square","dotted","green","cloud","striped","red","cloud","striped","green","color","green","red","blue"
"124",7,"cloud",2,"Good","223","111","113","circle","striped","green","cloud","plain","blue","cloud","plain","green","color","green","red","blue"
"125",7,"circle",2,"Good","232","231","111","circle","dotted","red","circle","dotted","blue","cloud","plain","blue","color","green","red","blue"
"126",7,"dotted",2,"Good","113","331","333","cloud","plain","green","square","dotted","blue","square","dotted","green","color","green","red","blue"
"127",7,"plain",2,"Bad","211","333","212","circle","plain","blue","square","dotted","green","circle","plain","red","color","green","red","blue"
"128",7,"circle",2,"VeryGood","131","212","211","cloud","dotted","blue","circle","plain","red","circle","plain","blue","color","green","red","blue"
"129",7,"dotted",3,"VeryGood","231","312","233","circle","dotted","blue","square","plain","red","circle","dotted","green","color","green","red","blue"
"130",7,"dotted",2,"VeryGood","331","333","222","square","dotted","blue","square","dotted","green","circle","striped","red","color","green","red","blue"
"131",7,"dotted",3,"VeryGood","221","132","133","circle","striped","blue","cloud","dotted","red","cloud","dotted","green","color","green","red","blue"
"132",7,"plain",2,"VeryGood","333","113","111","square","dotted","green","cloud","plain","green","cloud","plain","blue","color","green","red","blue"
"133",7,"plain",2,"VeryGood","132","212","211","cloud","dotted","red","circle","plain","red","circle","plain","blue","color","green","red","blue"
"134",7,"circle",2,"VeryGood","212","213","322","circle","plain","red","circle","plain","green","square","striped","red","color","green","red","blue"
"135",7,"dotted",1,"VeryGood","233","113","232","circle","dotted","green","cloud","plain","green","circle","dotted","red","color","green","red","blue"
"136",7,"circle",1,"VeryGood","232","323","231","circle","dotted","red","square","striped","green","circle","dotted","blue","color","green","red","blue"
"137",7,"plain",2,"VeryGood","232","112","111","circle","dotted","red","cloud","plain","red","cloud","plain","blue","color","green","red","blue"
"138",7,"cloud",2,"VeryGood","131","132","212","cloud","dotted","blue","cloud","dotted","red","circle","plain","red","color","green","red","blue"
"139",7,"striped",2,"VeryGood","113","322","321","cloud","plain","green","square","striped","red","square","striped","blue","color","green","red","blue"
"140",7,"circle",1,"VeryGood","213","212","123","circle","plain","green","circle","plain","red","cloud","striped","green","color","green","red","blue"
"141",8,"square",2,"VeryGood","211","313","333","circle","plain","blue","square","plain","green","square","dotted","green","pattern","striped","plain","dotted"
"142",8,"square",2,"Good","123","331","321","cloud","striped","green","square","dotted","blue","square","striped","blue","pattern","striped","plain","dotted"
"143",8,"green",1,"Good","113","123","311","cloud","plain","green","cloud","striped","green","square","plain","blue","pattern","striped","plain","dotted"
"144",8,"green",3,"Good","123","321","113","cloud","striped","green","square","striped","blue","cloud","plain","green","pattern","striped","plain","dotted"
"145",8,"square",1,"Good","332","233","322","square","dotted","red","circle","dotted","green","square","striped","red","pattern","striped","plain","dotted"
"146",8,"blue",1,"Good","311","321","223","square","plain","blue","square","striped","blue","circle","striped","green","pattern","striped","plain","dotted"
"147",8,"circle",3,"Good","222","121","212","circle","striped","red","cloud","striped","blue","circle","plain","red","pattern","striped","plain","dotted"
"148",8,"red",2,"VeryGood","121","312","332","cloud","striped","blue","square","plain","red","square","dotted","red","pattern","striped","plain","dotted"
"149",8,"circle",2,"VeryGood","323","222","232","square","striped","green","circle","striped","red","circle","dotted","red","pattern","striped","plain","dotted"
"150",8,"cloud",2,"VeryGood","131","111","322","cloud","dotted","blue","cloud","plain","blue","square","striped","red","pattern","striped","plain","dotted"
"151",8,"green",1,"Good","213","223","312","circle","plain","green","circle","striped","green","square","plain","red","pattern","striped","plain","dotted"
"152",8,"blue",1,"VeryGood","311","331","113","square","plain","blue","square","dotted","blue","cloud","plain","green","pattern","striped","plain","dotted"
"153",8,"green",1,"VeryGood","213","112","233","circle","plain","green","cloud","plain","red","circle","dotted","green","pattern","striped","plain","dotted"
"154",8,"green",1,"Good","313","323","211","square","plain","green","square","striped","green","circle","plain","blue","pattern","striped","plain","dotted"
"155",8,"circle",3,"VeryGood","132","233","213","cloud","dotted","red","circle","dotted","green","circle","plain","green","pattern","striped","plain","dotted"
"156",8,"green",2,"VeryGood","133","113","321","cloud","dotted","green","cloud","plain","green","square","striped","blue","pattern","striped","plain","dotted"
"157",8,"circle",3,"VeryGood","233","131","213","circle","dotted","green","cloud","dotted","blue","circle","plain","green","pattern","striped","plain","dotted"
"158",8,"green",3,"Good","311","223","213","square","plain","blue","circle","striped","green","circle","plain","green","pattern","striped","plain","dotted"
"159",8,"red",3,"Good","121","322","312","cloud","striped","blue","square","striped","red","square","plain","red","pattern","striped","plain","dotted"
"160",8,"square",2,"VeryGood","332","312","213","square","dotted","red","square","plain","red","circle","plain","green","pattern","striped","plain","dotted"
"161",9,"plain",2,"Good","123","312","112","cloud","striped","green","square","plain","red","cloud","plain","red","shape","circle","cloud","square"
"162",9,"red",3,"VeryGood","312","131","112","square","plain","red","cloud","dotted","blue","cloud","plain","red","shape","circle","cloud","square"
"163",9,"red",1,"Good","322","333","222","square","striped","red","square","dotted","green","circle","striped","red","shape","circle","cloud","square"
"164",9,"blue",3,"Good","211","323","311","circle","plain","blue","square","striped","green","square","plain","blue","shape","circle","cloud","square"
"165",9,"plain",3,"Good","221","213","313","circle","striped","blue","circle","plain","green","square","plain","green","shape","circle","cloud","square"
"166",9,"dotted",2,"Good","323","332","232","square","striped","green","square","dotted","red","circle","dotted","red","shape","circle","cloud","square"
"167",9,"green",3,"VeryGood","321","313","113","square","striped","blue","square","plain","green","cloud","plain","green","shape","circle","cloud","square"
"168",9,"red",1,"Good","312","321","212","square","plain","red","square","striped","blue","circle","plain","red","shape","circle","cloud","square"
"169",9,"dotted",1,"Good","133","111","233","cloud","dotted","green","cloud","plain","blue","circle","dotted","green","shape","circle","cloud","square"
"170",9,"striped",2,"VeryGood","321","121","212","square","striped","blue","cloud","striped","blue","circle","plain","red","shape","circle","cloud","square"
"171",9,"plain",3,"VeryGood","231","312","112","circle","dotted","blue","square","plain","red","cloud","plain","red","shape","circle","cloud","square"
"172",9,"blue",2,"Good","222","111","211","circle","striped","red","cloud","plain","blue","circle","plain","blue","shape","circle","cloud","square"
"173",9,"plain",2,"Good","231","113","213","circle","dotted","blue","cloud","plain","green","circle","plain","green","shape","circle","cloud","square"
"174",9,"green",2,"Good","331","313","213","square","dotted","blue","square","plain","green","circle","plain","green","shape","circle","cloud","square"
"175",9,"blue",3,"Good","113","231","331","cloud","plain","green","circle","dotted","blue","square","dotted","blue","shape","circle","cloud","square"
"176",9,"dotted",2,"VeryGood","333","133","112","square","dotted","green","cloud","dotted","green","cloud","plain","red","shape","circle","cloud","square"
"177",9,"striped",1,"Good","323","112","223","square","striped","green","cloud","plain","red","circle","striped","green","shape","circle","cloud","square"
"178",9,"dotted",2,"Good","212","331","231","circle","plain","red","square","dotted","blue","circle","dotted","blue","shape","circle","cloud","square"
"179",9,"striped",3,"Good","131","223","123","cloud","dotted","blue","circle","striped","green","cloud","striped","green","shape","circle","cloud","square"
"180",9,"blue",1,"Good","331","313","231","square","dotted","blue","square","plain","green","circle","dotted","blue","shape","circle","cloud","square"
"181",10,"plain",1,"Good","311","111","222","square","plain","blue","cloud","plain","blue","circle","striped","red","shape","cloud","square","circle"
"182",10,"green",3,"Good","221","113","213","circle","striped","blue","cloud","plain","green","circle","plain","green","shape","cloud","square","circle"
"183",10,"plain",1,"Good","313","131","113","square","plain","green","cloud","dotted","blue","cloud","plain","green","shape","cloud","square","circle"
"184",10,"dotted",3,"VeryGood","331","312","131","square","dotted","blue","square","plain","red","cloud","dotted","blue","shape","cloud","square","circle"
"185",10,"dotted",2,"VeryGood","112","133","233","cloud","plain","red","cloud","dotted","green","circle","dotted","green","shape","cloud","square","circle"
"186",10,"red",3,"VeryGood","123","232","132","cloud","striped","green","circle","dotted","red","cloud","dotted","red","shape","cloud","square","circle"
"187",10,"green",3,"Good","211","323","223","circle","plain","blue","square","striped","green","circle","striped","green","shape","cloud","square","circle"
"188",10,"dotted",3,"VeryGood","231","213","331","circle","dotted","blue","circle","plain","green","square","dotted","blue","shape","cloud","square","circle"
"189",10,"blue",3,"VeryGood","133","221","121","cloud","dotted","green","circle","striped","blue","cloud","striped","blue","shape","cloud","square","circle"
"190",10,"dotted",1,"VeryGood","131","213","231","cloud","dotted","blue","circle","plain","green","circle","dotted","blue","shape","cloud","square","circle"
"191",10,"red",1,"VeryGood","122","111","322","cloud","striped","red","cloud","plain","blue","square","striped","red","shape","cloud","square","circle"
"192",10,"plain",2,"Good","132","213","313","cloud","dotted","red","circle","plain","green","square","plain","green","shape","cloud","square","circle"
"193",10,"dotted",3,"VeryGood","231","322","331","circle","dotted","blue","square","striped","red","square","dotted","blue","shape","cloud","square","circle"
"194",10,"red",3,"VeryGood","232","213","132","circle","dotted","red","circle","plain","green","cloud","dotted","red","shape","cloud","square","circle"
"195",10,"green",1,"VeryGood","123","131","223","cloud","striped","green","cloud","dotted","blue","circle","striped","green","shape","cloud","square","circle"
"196",10,"green",3,"VeryGood","111","223","123","cloud","plain","blue","circle","striped","green","cloud","striped","green","shape","cloud","square","circle"
"197",10,"plain",2,"Good","311","211","223","square","plain","blue","circle","plain","blue","circle","striped","green","shape","cloud","square","circle"
"198",10,"striped",1,"VeryGood","122","211","322","cloud","striped","red","circle","plain","blue","square","striped","red","shape","cloud","square","circle"
"199",10,"plain",3,"VeryGood","211","122","311","circle","plain","blue","cloud","striped","red","square","plain","blue","shape","cloud","square","circle"
"200",10,"red",1,"Good","212","312","331","circle","plain","red","square","plain","red","square","dotted","blue","shape","cloud","square","circle"
"201",11,"plain",2,"Good","333","213","211","square","dotted","green","circle","plain","green","circle","plain","blue","color","blue","red","green"
"202",11,"striped",2,"Good","322","323","111","square","striped","red","square","striped","green","cloud","plain","blue","color","blue","red","green"
"203",11,"cloud",1,"Good","132","323","131","cloud","dotted","red","square","striped","green","cloud","dotted","blue","color","blue","red","green"
"204",11,"dotted",1,"Good","333","121","332","square","dotted","green","cloud","striped","blue","square","dotted","red","color","blue","red","green"
"205",11,"cloud",3,"Good","111","322","113","cloud","plain","blue","square","striped","red","cloud","plain","green","color","blue","red","green"
"206",11,"square",2,"Good","123","332","331","cloud","striped","green","square","dotted","red","square","dotted","blue","color","blue","red","green"
"207",11,"square",1,"VeryGood","322","211","323","square","striped","red","circle","plain","blue","square","striped","green","color","blue","red","green"
"208",11,"dotted",2,"Good","313","132","131","square","plain","green","cloud","dotted","red","cloud","dotted","blue","color","blue","red","green"
"209",11,"striped",2,"VeryGood","222","221","112","circle","striped","red","circle","striped","blue","cloud","plain","red","color","blue","red","green"
"210",11,"striped",3,"VeryGood","123","313","121","cloud","striped","green","square","plain","green","cloud","striped","blue","color","blue","red","green"
"211",11,"dotted",1,"VeryGood","132","133","213","cloud","dotted","red","cloud","dotted","green","circle","plain","green","color","blue","red","green"
"212",11,"circle",2,"VeryGood","133","211","213","cloud","dotted","green","circle","plain","blue","circle","plain","green","color","blue","red","green"
"213",11,"cloud",3,"Good","122","312","123","cloud","striped","red","square","plain","red","cloud","striped","green","color","blue","red","green"
"214",11,"circle",1,"VeryGood","232","233","113","circle","dotted","red","circle","dotted","green","cloud","plain","green","color","blue","red","green"
"215",11,"dotted",2,"VeryGood","132","131","321","cloud","dotted","red","cloud","dotted","blue","square","striped","blue","color","blue","red","green"
"216",11,"circle",2,"VeryGood","113","221","222","cloud","plain","green","circle","striped","blue","circle","striped","red","color","blue","red","green"
"217",11,"striped",2,"Good","311","223","222","square","plain","blue","circle","striped","green","circle","striped","red","color","blue","red","green"
"218",11,"square",2,"VeryGood","312","311","123","square","plain","red","square","plain","blue","cloud","striped","green","color","blue","red","green"
"219",11,"circle",3,"Good","212","323","213","circle","plain","red","square","striped","green","circle","plain","green","color","blue","red","green"
"220",11,"striped",1,"VeryGood","221","222","111","circle","striped","blue","circle","striped","red","cloud","plain","blue","color","blue","red","green"
"221",12,"cloud",1,"Good","111","231","112","cloud","plain","blue","circle","dotted","blue","cloud","plain","red","color","red","green","blue"
"222",12,"plain",2,"Bad","112","332","113","cloud","plain","red","square","dotted","red","cloud","plain","green","color","red","green","blue"
"223",12,"dotted",3,"VeryGood","131","323","132","cloud","dotted","blue","square","striped","green","cloud","dotted","red","color","red","green","blue"
"224",12,"plain",2,"Good","221","313","312","circle","striped","blue","square","plain","green","square","plain","red","color","red","green","blue"
"225",12,"dotted",2,"VeryGood","331","333","213","square","dotted","blue","square","dotted","green","circle","plain","green","color","red","green","blue"
