"","X.1","X","workerid","pref1","order0","simPreference0","simulatedAnswer","numFeatures","normResponse0","simRank1","targetFeature","Answer.time_in_minutes","simPreference2","obj1","obj2","pref0","guessRank0","certainty","order2","evalNum","simRank0","targetFeatureNum","normResponse2","sex","order1","guessRank2","normResponse1","blockNr","obj3","simRank2","simPreference1","utterance","uttCode","response1","pref2","featuresPresent","response0","targetUttCode","guessRank1","response2","item","trialNum","education","enjoyment","language","gender","comments","age","assess","uttFeat","targetOC27","obj1OC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post1_1","Post1_2","Post1_3","Post1_4","Post1_5","Post1_6","Post1_7","Post1_8","Post1_9","Post2_1","Post2_2","Post2_3","Post2_4","Post2_5","Post2_6","Post2_7","Post2_8","Post2_9","CCode","logLik"
"41",41,41,2,"red",221,1,311,4,0.466666666666667,"green","color",8.2745,0.5,311,221,"blue","blue",1,313,3,"blue",3,0.266666666666667,"female",311,"red",0.266666666666667,2,313,"red",0,"solid","22a2b",0.4,"green","['circle', 'square', 'solid', 'striped']",0.7,"22a2b-2b","green",0.4,11482,0,2,2,"English","Other","Very cool game, perfect for me to get my brain going for the morning! You guys ROCK!",27,"Yes",2,3,3,5,21,NA,NA,NA,NA,NA,NA,0.46667,0.26667,0.26667,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.32503,0.51953,0.15545,212122,0
"45",45,45,2,"circle",211,0,211,3,0.275862068965517,"square","shape",8.2745,0.5,111,211,"cloud","circle",0.6,111,3,"circle",1,0.275862068965517,"female",313,"cloud",0.448275862068965,3,313,"cloud",1,"blue","321",0.65,"square","['solid', 'blue', 'green']",0.4,"321-3","square",0.4,11400,0,2,2,"English","Other","Very cool game, perfect for me to get my brain going for the morning! You guys ROCK!",27,"Yes",3,2,1,2,21,0.27586,0.44828,0.27586,NA,NA,NA,NA,NA,NA,0,0.66667,0.33333,0,0,0,0,0,0,0.19947,0.46719,0.33333,0,0,0,0,0,0,213211,0
"49",49,49,3,"circle",233,0.5,313,4,0.344827586206897,"cloud","shape",7.7028,1,212,313,"cloud","square",0.7,313,3,"square",1,0.551724137931034,"female",212,"circle",0.103448275862069,0,233,"circle",0,"green","22b2b",0.15,"square","['solid', 'polka-dotted', 'red', 'green']",0.5,"22b2b-2","cloud",0.8,25000,0,4,2,"English","Male",NA,49,"Yes",3,21,11,21,26,0.34483,0.10345,0.55172,NA,NA,NA,NA,NA,NA,0.5,0,0.5,0,0,0,0,0,0,0.48128,0.17525,0.34347,0,0,0,0,0,0,212212,0
"53",53,53,3,"striped",222,0,222,4,0.27027027027027,"polka-dotted","texture",7.7028,0.5,211,222,"solid","striped",0.65,233,3,"striped",2,0.27027027027027,"female",211,"solid",0.459459459459459,1,233,"solid",1,"circle","311",0.85,"polka-dotted","['circle', 'blue', 'red', 'green']",0.5,"311-3","polka-dotted",0.5,23790,0,4,2,"English","Male",NA,49,"Yes",1,14,2,14,26,NA,NA,NA,0.27027,0.45946,0.27027,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0.2226,0.5548,0.2226,0,0,0,321111,0
"57",57,57,3,"red",111,0.5,123,5,0.137931034482759,"blue","color",7.7028,1,111,332,"blue","blue",0.8,332,2,"green",3,0.517241379310345,"female",123,"red",0.344827586206897,2,123,"red",0,"cloud","211",0.5,"green","['cloud', 'square', 'solid', 'striped', 'polka-dotted']",0.2,"211-3","green",0.75,14662,0,4,2,"English","Male",NA,49,"Yes",1,22,1,18,22,NA,NA,NA,NA,NA,NA,0.13793,0.34483,0.51724,0,0,0,0,0,0,0,0.33333,0.66667,0,0,0,0,0,0,0.19089,0.33333,0.47578,211111,0
"61",61,61,3,"circle",211,0.5,311,2,0.25,"cloud","shape",7.7028,1,111,211,"cloud","square",0.9,111,3,"square",1,0.5,"female",311,"circle",0.25,3,311,"circle",0,"blue","331",0.5,"square","['solid', 'blue']",0.5,"331-3","cloud",1,0,0,4,2,"English","Male",NA,49,"Yes",3,3,1,2,3,0.25,0.25,0.5,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0.2226,0.2226,0.5548,0,0,0,0,0,0,323211,0
"65",65,65,4,"striped",323,0,332,4,0.208333333333333,"striped","texture",9.34245,1,132,332,"solid","polka-dotted",0.65,132,3,"polka-dotted",2,0.791666666666667,"female",332,"solid",0,0,323,"solid",0.5,"square","22a2b",0,"polka-dotted","['cloud', 'square', 'red', 'green']",0.25,"22a2b-2a","striped",0.95,19221,0,3,1,"english","Female","thank you",58,"Yes",1,18,16,18,24,NA,NA,NA,0.20833,0,0.79167,NA,NA,NA,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.52112,0.13932,0.33956,0,0,0,212222,0
"69",69,69,4,"striped",122,1,312,4,0.666666666666667,"polka-dotted","texture",9.34245,0.5,331,312,"solid","solid",0.4,331,3,"solid",2,0.333333333333333,"female",312,"striped",0,1,122,"striped",0,"red","22b1",0,"polka-dotted","['cloud', 'square', 'blue', 'red']",1,"22b1-3","polka-dotted",0.5,2831,0,3,1,"english","Female","thank you",58,"Yes",3,12,9,12,13,NA,NA,NA,0.66667,0,0.33333,NA,NA,NA,0,0,0,0.66667,0,0.33333,0,0,0,0,0,0,0.48843,0.17823,0.33333,0,0,0,212211,0
"73",73,73,4,"striped",313,0,323,2,0.277777777777778,"polka-dotted","texture",9.34245,0.5,313,323,"solid","striped",0.55,333,3,"striped",2,0.277777777777778,"female",323,"solid",0.444444444444444,2,333,"solid",1,"square","331",0.8,"polka-dotted","['square', 'green']",0.5,"331-3","polka-dotted",0.5,28730,0,3,1,"english","Female","thank you",58,"Yes",1,24,21,24,27,NA,NA,NA,0.27778,0.44444,0.27778,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0.21095,0.5781,0.21095,0,0,0,323211,0
"77",77,77,4,"red",212,1,213,4,0.303030303030303,"green","color",9.34245,0.5,212,122,"blue","blue",0.6,213,3,"blue",3,0.606060606060606,"female",122,"red",0.0909090909090909,3,213,"red",0,"circle","22a2b",0.15,"green","['cloud', 'circle', 'solid', 'striped']",0.5,"22a2b-2b","green",1,10452,0,3,1,"english","Female","thank you",58,"Yes",1,20,11,13,20,NA,NA,NA,NA,NA,NA,0.30303,0.09091,0.60606,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.48053,0.16742,0.35206,212112,0
"81",81,81,5,"striped",112,0.5,112,4,0.517241379310345,"solid","texture",6.62686666666667,0,131,112,"solid","striped",0.75,133,3,"striped",2,0.137931034482759,"female",131,"polka-dotted",0.344827586206897,0,133,"polka-dotted",1,"cloud","321",0.5,"polka-dotted","['cloud', 'blue', 'red', 'green']",0.75,"321-2","solid",0.2,20660,0,3,2,"English","Female",NA,34,"Yes",1,10,7,10,25,NA,NA,NA,0.51724,0.34483,0.13793,NA,NA,NA,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.25759,0.5808,0.1616,0,0,0,321211,0
"85",85,85,5,"striped",331,1,313,4,0.5,"striped","texture",6.62686666666667,0,331,313,"solid","solid",0.6,123,2,"solid",2,0.333333333333333,"female",313,"striped",0.166666666666667,1,123,"polka-dotted",0.5,"green","22b1",0.25,"polka-dotted","['cloud', 'square', 'blue', 'green']",0.75,"22b1-3","polka-dotted",0.5,15281,0,3,2,"English","Female",NA,34,"Yes",3,21,9,21,22,NA,NA,NA,0.5,0.16667,0.33333,NA,NA,NA,0,0,0,0.66667,0,0.33333,0,0,0,0,0,0,0.40966,0.25701,0.33333,0,0,0,212211,0
"89",89,89,5,"circle",123,1,123,3,0.444444444444444,"square","shape",6.62686666666667,0.5,321,123,"cloud","cloud",0.65,321,3,"cloud",1,0.277777777777778,"female",223,"circle",0.277777777777778,2,223,"circle",0,"striped","321",0.5,"square","['striped', 'blue', 'green']",0.8,"321-3","square",0.5,17550,0,3,2,"English","Female",NA,34,"Yes",2,22,6,22,23,0.44444,0.27778,0.27778,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0.44351,0.27824,0.27824,0,0,0,0,0,0,322111,0
"93",93,93,5,"striped",223,0,223,4,0.3125,"polka-dotted","texture",6.62686666666667,0.5,311,231,"solid","striped",0.6,231,3,"striped",2,0.1875,"female",311,"solid",0.5,3,223,"solid",1,"circle","22b1",0.8,"polka-dotted","['circle', 'square', 'blue', 'green']",0.5,"22b1-3","polka-dotted",0.3,15631,0,3,2,"English","Female",NA,34,"Yes",1,23,3,8,23,NA,NA,NA,0.3125,0.5,0.1875,NA,NA,NA,0,0,0,0.33333,0.66667,0,0,0,0,0,0,0,0.33333,0.40966,0.25701,0,0,0,211211,0
"97",97,97,6,"striped",112,0,122,3,0.142857142857143,"striped","texture",6.78405,1,112,212,"solid","polka-dotted",0.3,122,3,"polka-dotted",2,0.321428571428571,"male",212,"solid",0.535714285714286,0,122,"solid",0.5,"cloud","322b",0.75,"polka-dotted","['cloud', 'circle', 'red']",0.2,"322b-2","striped",0.45,2741,0,3,1,"English","Female",NA,42,"Yes",1,13,10,11,13,NA,NA,NA,0.14286,0.53571,0.32143,NA,NA,NA,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.237,0.26785,0.49515,0,0,0,213212,0
"101",101,101,6,"red",113,0.5,112,2,0.0967741935483871,"blue","color",6.78405,0,111,112,"blue","green",0.35,112,0,"red",3,0.451612903225806,"male",111,"red",0.451612903225806,1,113,"green",1,"solid","331",0.7,"green","['cloud', 'solid']",0.15,"331-3","blue",0.7,8520,0,3,1,"English","Female",NA,42,"Yes",2,10,1,10,19,NA,NA,NA,NA,NA,NA,0.09677,0.45161,0.45161,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.31462,0.37076,0.31462,323211,0
"105",105,105,6,"striped",132,0,321,4,0.225806451612903,"striped","texture",6.78405,1,311,321,"solid","striped",0.55,321,2,"polka-dotted",2,0.225806451612903,"male",311,"solid",0.548387096774194,2,132,"solid",0.5,"blue","22a1",0.85,"polka-dotted","['cloud', 'square', 'blue', 'red']",0.35,"22a1-3","polka-dotted",0.35,4671,0,3,1,"English","Female",NA,42,"Yes",3,6,3,6,16,NA,NA,NA,0.22581,0.54839,0.22581,NA,NA,NA,0,0,0,0,0.66667,0.33333,0,0,0,0,0,0,0.30603,0.36064,0.33333,0,0,0,212111,0
"109",109,109,6,"circle",322,0,322,3,0.636363636363636,"circle","shape",6.78405,1,222,322,"cloud","cloud",0.45,222,1,"square",1,0.181818181818182,"male",223,"circle",0.181818181818182,3,223,"cloud",0.5,"striped","322b",0.2,"square","['striped', 'red', 'green']",0.7,"322b-2","square",0.2,16440,0,3,1,"English","Female",NA,42,"Yes",2,15,14,15,23,0.63636,0.18182,0.18182,NA,NA,NA,NA,NA,NA,0.5,0,0.5,0,0,0,0,0,0,0.59334,0.18668,0.21999,0,0,0,0,0,0,322112,0
"113",113,113,7,"red",233,0,233,5,0.0952380952380952,"green","color",10.8658833333333,0.5,121,331,"blue","green",0.95,121,1,"red",3,0.809523809523809,"female",331,"red",0.0952380952380952,0,233,"blue",1,"polka-dotted","22b1",0.1,"green","['cloud', 'circle', 'square', 'striped', 'polka-dotted']",0.1,"22b1-2","blue",0.85,23312,0,3,1,"English","Female",NA,42,"Yes",2,26,4,9,26,NA,NA,NA,NA,NA,NA,0.09524,0.09524,0.80952,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.08894,0.49431,0.41674,211211,0
"117",117,117,7,"red",211,1,211,2,1,"green","color",10.8658833333333,0.5,211,212,"blue","blue",1,212,3,"blue",3,0,"female",213,"red",0,1,213,"red",0,"circle","331",0,"green","['circle', 'solid']",1,"331-3","green",0,10150,0,3,1,"English","Female",NA,42,"Yes",1,2,2,11,20,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.76514,0.11743,0.11743,323211,0
"121",121,121,7,"striped",133,1,133,4,0,"polka-dotted","texture",10.8658833333333,0.5,222,223,"solid","polka-dotted",1,223,2,"solid",2,1,"female",222,"striped",0,2,133,"striped",0,"cloud","22a2b",0,"polka-dotted","['cloud', 'circle', 'red', 'green']",0,"22a2b-2a","solid",1,22681,0,3,1,"English","Female",NA,42,"Yes",1,25,14,23,25,NA,NA,NA,0,0,1,NA,NA,NA,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0.43041,0.16557,0.40402,0,0,0,122112,0
"125",125,125,7,"red",112,1,112,4,0,"red","color",10.8658833333333,0,112,312,"blue","blue",1,312,2,"blue",3,0,"female",133,"red",1,3,133,"green",0.5,"cloud","22a2b",1,"green","['cloud', 'square', 'solid', 'polka-dotted']",0,"22a2b-2a","green",0,20882,0,3,1,"English","Female",NA,42,"Yes",1,10,10,12,25,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.55385,0.37449,0.07166,212222,0
"129",129,129,8,"striped",333,0.5,211,5,1,"solid","texture",7.14875,1,211,121,"solid","polka-dotted",0.75,121,3,"polka-dotted",2,0,"male",211,"striped",0,0,333,"striped",0,"blue","211",0,"polka-dotted","['cloud', 'circle', 'square', 'blue', 'green']",1,"211-3","solid",0,26041,0,2,2,"english","Male",NA,56,"Yes",3,2,2,4,27,NA,NA,NA,1,0,0,NA,NA,NA,0,0,0,0.66667,0,0.33333,0,0,0,0,0,0,0.5764,0.11039,0.31321,0,0,0,211111,0
"133",133,133,8,"striped",321,1,311,4,0.666666666666667,"striped","texture",7.14875,0,311,321,"solid","solid",0.75,122,2,"solid",2,0.333333333333333,"male",311,"striped",0,1,122,"polka-dotted",0.5,"square","22a2b",0,"polka-dotted","['cloud', 'square', 'blue', 'red']",1,"22a2b-2b","polka-dotted",0.5,2321,0,2,2,"english","Male",NA,56,"Yes",1,3,3,6,13,NA,NA,NA,0.66667,0,0.33333,NA,NA,NA,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.40285,0.11409,0.48306,0,0,0,212112,0
"137",137,137,8,"red",331,0.5,133,4,0.333333333333333,"blue","color",7.14875,0,331,133,"blue","red",0.5,133,3,"red",3,0.333333333333333,"male",233,"green",0.333333333333333,2,233,"green",1,"cloud","321",0.5,"green","['cloud', 'circle', 'square', 'polka-dotted']",0.5,"321-2","blue",0.5,25841,0,2,2,"english","Male",NA,56,"Yes",1,25,9,25,26,NA,NA,NA,NA,NA,NA,0.33333,0.33333,0.33333,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0.2915,0.36328,0.34522,113221,0
"141",141,141,8,"circle",131,0.5,321,4,0.25,"cloud","shape",7.14875,1,211,321,"cloud","square",0.8,211,3,"square",1,0.5,"male",321,"circle",0.25,3,131,"circle",0,"blue","311",0.5,"square","['solid', 'striped', 'polka-dotted', 'blue']",0.5,"311-3","cloud",1,310,0,2,2,"english","Male",NA,56,"Yes",3,6,2,6,7,0.25,0.25,0.5,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0.13847,0.13847,0.72305,0,0,0,0,0,0,321111,0
"145",145,145,9,"red",211,1,313,4,0,"red","color",5.35473333333333,0,211,113,"blue","blue",1,313,2,"blue",3,1,"female",113,"red",0,0,313,"green",0.5,"square","321",0,"green","['cloud', 'circle', 'square', 'solid']",0,"321-2","green",1,12941,0,3,1,"English","Female",NA,50,"Yes",1,21,2,19,21,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0.33333,0.33333,0.33333,113221,0
"149",149,149,9,"red",322,0,322,4,0.25,"green","color",5.35473333333333,0.5,221,312,"blue","red",1,221,3,"red",3,0.25,"female",312,"blue",0.5,1,322,"blue",1,"striped","22a2b",1,"green","['circle', 'square', 'solid', 'striped']",0.5,"22a2b-2a","green",0.5,4232,0,3,1,"English","Female",NA,50,"Yes",2,15,5,12,15,NA,NA,NA,NA,NA,NA,0.25,0.5,0.25,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.15895,0.32194,0.5191,212222,0
"153",153,153,9,"red",313,0,313,4,0.333333333333333,"red","color",5.35473333333333,1,111,212,"blue","red",1,111,2,"green",3,0.333333333333333,"female",212,"blue",0.333333333333333,2,313,"blue",0.5,"solid","311",0.5,"green","['cloud', 'circle', 'square', 'solid']",0.5,"311-3","green",0.5,11851,0,3,1,"English","Female",NA,50,"Yes",2,21,1,11,21,NA,NA,NA,NA,NA,NA,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23442,0.23442,0.53115,321111,0
"157",157,157,9,"striped",211,0.5,231,3,0.333333333333333,"solid","texture",5.35473333333333,1,211,121,"solid","polka-dotted",0.5,231,3,"polka-dotted",2,0.333333333333333,"female",121,"striped",0.333333333333333,3,231,"striped",0,"circle","321",0.5,"polka-dotted","['cloud', 'circle', 'blue']",0.5,"321-3","solid",0.5,391,0,3,1,"English","Female",NA,50,"Yes",1,8,2,4,8,NA,NA,NA,0.33333,0.33333,0.33333,NA,NA,NA,0,0,0,0,0.33333,0.66667,0,0,0,0,0,0,0.20414,0.33333,0.46253,0,0,0,213211,0
"161",161,161,10,"circle",322,1,322,4,0,"square","shape",7.04311666666667,0.5,211,221,"cloud","cloud",0.1,211,3,"cloud",1,0.869565217391304,"female",221,"circle",0.130434782608696,0,322,"circle",0,"red","22a2b",0.15,"square","['solid', 'striped', 'blue', 'red']",0,"22a2b-2a","square",1,3710,0,3,2,"english","Male",NA,34,"Yes",3,15,2,5,15,0,0.13043,0.86957,NA,NA,NA,NA,NA,NA,0.33333,0.33333,0.33333,0,0,0,0,0,0,0.38942,0.24778,0.3628,0,0,0,0,0,0,122112,0
"165",165,165,10,"red",121,1,121,4,0.586206896551724,"green","color",7.04311666666667,0.5,121,112,"blue","blue",0.85,133,3,"blue",3,0.206896551724138,"female",112,"red",0.206896551724138,1,133,"red",0,"striped","311",0.3,"green","['cloud', 'solid', 'striped', 'polka-dotted']",0.85,"311-3","green",0.3,20631,0,3,2,"english","Male",NA,34,"Yes",2,4,4,10,25,NA,NA,NA,NA,NA,NA,0.58621,0.2069,0.2069,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0.42267,0.28867,0.28867,113211,0
"169",169,169,10,"circle",233,1,122,4,0.566666666666667,"square","shape",7.04311666666667,0.5,122,222,"cloud","cloud",1,122,3,"cloud",1,0.333333333333333,"female",222,"circle",0.1,2,233,"circle",0,"striped","22a2b",0.15,"square","['striped', 'polka-dotted', 'red', 'green']",0.85,"22a2b-2b","square",0.5,23900,0,3,2,"english","Male",NA,34,"Yes",2,13,13,14,26,0.56667,0.1,0.33333,NA,NA,NA,NA,NA,NA,0.5,0,0.5,0,0,0,0,0,0,0.37042,0.13912,0.49046,0,0,0,0,0,0,212112,0
"173",173,173,10,"red",113,1,123,4,0.333333333333333,"green","color",7.04311666666667,0.5,132,113,"blue","blue",0.5,132,3,"blue",3,0.333333333333333,"female",123,"red",0.333333333333333,3,123,"red",0,"striped","321",0.5,"green","['cloud', 'solid', 'striped', 'polka-dotted']",0.5,"321-2","green",0.5,14981,0,3,2,"english","Male",NA,34,"Yes",2,22,16,19,22,NA,NA,NA,NA,NA,NA,0.33333,0.33333,0.33333,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0.40315,0.25652,0.34033,113221,0
"177",177,177,11,"red",231,0.5,231,5,0.459459459459459,"blue","color",8.78896666666667,0,231,313,"blue","blue",0.2,223,1,"red",3,0.27027027027027,"male",313,"red",0.27027027027027,0,223,"green",1,"circle","22b1",0.5,"green","['circle', 'square', 'solid', 'striped', 'polka-dotted']",0.85,"22b1-2","green",0.5,17372,0,3,1,"English","Male",NA,37,"Yes",1,8,8,21,23,NA,NA,NA,NA,NA,NA,0.45946,0.27027,0.27027,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.3076,0.48635,0.20604,211211,0
"181",181,181,11,"red",331,1,311,3,0.459459459459459,"red","color",8.78896666666667,0,311,331,"blue","blue",0.7,333,3,"blue",3,0.27027027027027,"male",311,"green",0.27027027027027,1,333,"green",0.5,"solid","322b",0.5,"green","['square', 'solid', 'polka-dotted']",0.85,"322b-2","red",0.5,26301,0,3,1,"English","Male",NA,37,"Yes",2,3,3,9,27,NA,NA,NA,NA,NA,NA,0.45946,0.27027,0.27027,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0.33333,0.33333,0.33333,123221,0
"185",185,185,11,"circle",133,1,323,4,0.263157894736842,"square","shape",8.78896666666667,0.5,213,323,"cloud","cloud",0.7,323,3,"cloud",1,0.473684210526316,"male",213,"circle",0.263157894736842,2,133,"circle",0,"striped","311",0.5,"square","['solid', 'striped', 'polka-dotted', 'green']",0.5,"311-3","square",0.9,22960,0,3,1,"English","Male",NA,37,"Yes",2,24,20,24,25,0.26316,0.26316,0.47368,NA,NA,NA,NA,NA,NA,0.33333,0.33333,0.33333,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,113211,0
