"","X","workerid","item","slide_number","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","target","obj2","obj3","utterance","itemCode","ambiguous","uttFeat","q1Feat","q2Feat","targetOC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post1_1","Post1_2","Post1_3","Post1_4","Post1_5","Post1_6","Post1_7","Post1_8","Post1_9","Post2_1","Post2_2","Post2_3","Post2_4","Post2_5","Post2_6","Post2_7","Post2_8","Post2_9","CCode"
"11",11,0,1008,16,"English","blue things",0.5,"red things",0.85,"green things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,322,221,212,"striped",212212,"True",2,3,1,15,5,11,0.33333,0.33333,0.33333,NA,NA,NA,0.27027,0.45946,0.27027,NA,0.45938,0.54062,0.45938,0.54062,NA,0.45938,0.54062,NA,NA,0.42691,0.57309,0.42691,0.57309,NA,0.42691,0.57309,NA,212212
"12",12,0,1718,17,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.35,"polka-dotted things",0.75,233,223,321,"green",212112,"True",3,1,2,26,23,6,0.33333,0.33333,0.33333,0.3125,0.21875,0.46875,NA,NA,NA,NA,0.54206,0.45794,NA,0.45794,0.54206,0.45794,NA,0.54206,NA,0.57142,0.42858,NA,0.42858,0.57142,0.42858,NA,0.57142,212112
"13",13,0,1531,18,"English","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.5,"green things",0.75,223,221,121,"striped",322112,"True",2,1,3,23,5,4,0.33333,0.33333,0.33333,NA,NA,NA,0.28571,0.28571,0.42857,0.46041,0.53959,NA,NA,1,NA,0.46041,NA,0.53959,0.42818,0.57182,NA,NA,1,NA,0.42818,NA,0.57182,322112
"14",14,0,652,19,"English","blue things",0.5,"red things",0.75,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,112,133,311,"cloud",212211,"True",1,3,2,10,25,3,NA,NA,NA,0.33333,0.33333,0.33333,0.28571,0.42857,0.28571,0.55307,NA,0.44693,0.55307,NA,0.44693,0.22346,0.55307,0.22346,0.57694,NA,0.42306,0.57694,NA,0.42306,0.30303,0.39394,0.30303,212211
"15",15,0,1148,20,"English","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.75,"green things",0.3,232,333,333,"polka-dotted",321212,"True",2,1,3,17,27,27,0.33333,0.33333,0.33333,NA,NA,NA,0.32258,0.48387,0.19355,NA,0.54065,0.45935,NA,NA,1,NA,0.54065,0.45935,NA,0.56971,0.43029,NA,NA,1,NA,0.56971,0.43029,321212
"16",16,1,552,6,"english","solid things",0.4,"striped things",0.6,"polka-dotted things",0.65,"blue things",0,"red things",0.5,"green things",1,133,131,331,"cloud",213212,"True",1,2,3,25,7,9,NA,NA,NA,0.24242,0.36364,0.39394,0,0.33333,0.66667,0.88185,NA,0.11815,NA,NA,1,0.11815,NA,0.88185,0.89702,NA,0.10298,NA,NA,1,0.10298,NA,0.89702,213212
"17",17,1,1859,7,"english","solid things",0,"striped things",0.6,"polka-dotted things",0.95,"blue things",0.5,"red things",0.5,"green things",0.5,133,313,313,"cloud",123212,"False",1,2,3,25,21,21,NA,NA,NA,0,0.3871,0.6129,0.33333,0.33333,0.33333,0.88185,NA,0.11815,0.11815,NA,0.88185,NA,NA,1,0.89702,NA,0.10298,0.10298,NA,0.89702,NA,NA,1,123212
"18",18,1,1690,8,"english","clouds",1,"circles",1,"squares",0.4,"blue things",1,"red things",0.5,"green things",0.05,211,123,123,"solid",121212,"False",2,1,3,2,22,22,0.41667,0.41667,0.16667,NA,NA,NA,0.64516,0.32258,0.03226,0.09667,0.90333,NA,0.90333,0.09667,NA,0.90333,NA,0.09667,0.07334,0.92666,NA,0.92666,0.07334,NA,0.92666,NA,0.07334,121212
"19",19,1,1417,9,"english","clouds",0,"circles",0,"squares",1,"solid things",1,"striped things",0.5,"polka-dotted things",0.5,313,333,123,"green",322111,"True",3,1,2,21,27,22,0,0,1,0.5,0.25,0.25,NA,NA,NA,0.09905,NA,0.90095,0.90095,0.04952,0.04952,NA,NA,1,0.10298,NA,0.89702,0.91666,0.04167,0.04167,NA,NA,1,322111
"20",20,1,1733,10,"english","solid things",0,"striped things",1,"polka-dotted things",0.5,"clouds",0,"circles",1,"squares",0.5,223,213,112,"green",212112,"True",3,2,1,23,20,10,0,0.66667,0.33333,0,0.66667,0.33333,NA,NA,NA,0.12405,0.87595,NA,0.12405,0.87595,NA,NA,0.12405,0.87595,0.10984,0.89016,NA,0.10984,0.89016,NA,NA,0.10984,0.89016,212112
"21",21,1,733,11,"english","solid things",0.5,"striped things",0.5,"polka-dotted things",1,"blue things",0.75,"red things",0.5,"green things",0.5,131,132,221,"cloud",212122,"True",1,2,3,7,16,5,NA,NA,NA,0.25,0.25,0.5,0.42857,0.28571,0.28571,0.91262,0.08738,NA,NA,0.08738,0.91262,0.91262,0.08738,NA,0.93904,0.06096,NA,NA,0.06096,0.93904,0.93904,0.06096,NA,212122
"22",22,1,341,12,"english","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",1,"circles",0.5,"squares",0,132,332,222,"polka-dotted",213211,"True",2,3,1,16,18,14,0.66667,0.33333,0,NA,NA,NA,0.33333,0.33333,0.33333,0.89773,0.05113,0.05113,NA,0.10227,0.89773,NA,1,NA,0.875,0.0625,0.0625,NA,0.09692,0.90308,NA,1,NA,213211
"23",23,1,1919,13,"english","clouds",1,"circles",0.2,"squares",0.5,"solid things",1,"striped things",0.55,"polka-dotted things",0,113,231,232,"green",111212,"False",3,1,2,19,8,17,0.58824,0.11765,0.29412,0.64516,0.35484,0,NA,NA,NA,0.88428,0.11572,NA,0.88428,NA,0.11572,0.05786,0.05786,0.88428,0.90127,0.09873,NA,0.90127,NA,0.09873,0.08333,0.08333,0.83333,111212
"24",24,1,2300,14,"english","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,132,132,131,"red",213232,"False",3,2,1,16,16,7,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,1,NA,NA,NA,NA,1,0.11276,0.88724,NA,1,NA,NA,NA,NA,1,0.09692,0.90308,NA,213232
"25",25,1,1196,15,"english","blue things",0.5,"red things",0,"green things",0.7,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,223,222,323,"circle",212232,"True",1,3,2,23,14,24,NA,NA,NA,0.33333,0.33333,0.33333,0.41667,0,0.58333,NA,0.88185,0.11815,NA,1,NA,NA,0.11815,0.88185,NA,0.89702,0.10298,NA,1,NA,NA,0.10298,0.89702,213222
"26",26,1,267,16,"english","solid things",0.5,"striped things",0.2,"polka-dotted things",0.8,"clouds",0,"circles",0.5,"squares",0.35,233,123,232,"green",212222,"True",3,2,1,26,22,17,0,0.58824,0.41176,0.33333,0.13333,0.53333,NA,NA,NA,0.11405,0.88595,NA,NA,0.11405,0.88595,NA,0.11405,0.88595,0.09651,0.90349,NA,NA,0.09651,0.90349,NA,0.09651,0.90349,212222
"27",27,1,178,17,"english","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0,"red things",0.5,"green things",1,323,321,321,"striped",323212,"True",2,1,3,24,6,6,0.33333,0.33333,0.33333,NA,NA,NA,0,0.33333,0.66667,NA,NA,1,NA,1,NA,0.11815,NA,0.88185,NA,NA,1,NA,1,NA,0.10298,NA,0.89702,323212
"28",28,1,1095,18,"english","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0,"red things",0.5,"green things",1,123,321,221,"cloud",113212,"False",1,2,3,22,6,5,NA,NA,NA,0.33333,0.33333,0.33333,0,0.33333,0.66667,0.88185,0.05907,0.05907,NA,1,NA,0.11815,NA,0.88185,0.83333,0.08333,0.08333,NA,1,NA,0.10298,NA,0.89702,113212
"29",29,1,2090,19,"english","solid things",0,"striped things",1,"polka-dotted things",0,"clouds",1,"circles",0,"squares",0,121,211,331,"blue",321111,"True",3,2,1,4,2,9,1,0,0,0,1,0,NA,NA,NA,0.87595,0.06203,0.06203,0.06203,0.87595,0.06203,1,NA,NA,0.72222,0.13889,0.13889,0.13889,0.72222,0.13889,1,NA,NA,321111
"30",30,1,676,20,"english","clouds",0,"circles",0.5,"squares",0.5,"blue things",0,"red things",0,"green things",1,333,132,321,"polka-dotted",212211,"True",2,1,3,27,16,6,0,0.5,0.5,NA,NA,NA,0,0,1,0.12405,NA,0.87595,NA,0.12405,0.87595,0.06203,0.06203,0.87595,0.10298,NA,0.89702,NA,0.10298,0.89702,0.10417,0.10417,0.79167,212211
"31",31,2,1527,6,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,213,212,222,"circle",322112,"True",1,2,3,20,11,14,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,1,NA,0.75508,0.24492,NA,NA,0.24492,0.75508,NA,1,NA,0.76601,0.23399,NA,NA,0.23399,0.76601,322112
"32",32,2,392,7,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,112,312,322,"cloud",122132,"False",1,3,2,10,12,15,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.75915,NA,0.24085,0.75915,0.24085,NA,NA,1,NA,0.76979,NA,0.23021,0.76979,0.23021,NA,NA,1,NA,123221
"33",33,2,1156,8,"English","solid things",0.05,"striped things",0.05,"polka-dotted things",0.9,"clouds",0.5,"circles",0.5,"squares",0.5,232,222,231,"red",212232,"True",3,2,1,17,14,8,0.33333,0.33333,0.33333,0.05,0.05,0.9,NA,NA,NA,NA,1,NA,NA,0.26118,0.73882,0.26118,0.73882,NA,NA,1,NA,NA,0.26003,0.73997,0.26003,0.73997,NA,213222
"34",34,2,1981,9,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,211,211,211,"circle",323232,"False",1,3,2,2,2,2,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,323232
"35",35,2,646,10,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,223,221,332,"green",112121,"False",3,2,1,23,5,18,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,NA,0.77151,0.22849,NA,0.77151,0.22849,0.11424,0.11424,0.77151,NA,0.78906,0.21094,NA,0.78906,0.21094,0.1318,0.1318,0.73639,112121
"36",36,2,1284,11,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,223,111,332,"green",111111,"False",3,1,2,23,1,18,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.10632,0.78737,0.10632,0.10632,0.78737,0.10632,0.10632,0.10632,0.78737,0.05119,0.89762,0.05119,0.05119,0.89762,0.05119,0.05119,0.05119,0.89762,111111
"37",37,2,307,12,"English","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",0.95,"circles",0.5,"squares",0.05,131,331,211,"polka-dotted",213211,"True",2,3,1,7,9,2,0.63333,0.33333,0.03333,NA,NA,NA,0.33333,0.33333,0.33333,0.75309,0.12346,0.12346,0.24691,NA,0.75309,1,NA,NA,0.75357,0.12321,0.12321,0.24707,NA,0.75293,1,NA,NA,213211
"38",38,2,2250,13,"English","clouds",0.95,"circles",0,"squares",0.05,"blue things",0.5,"red things",0.5,"green things",0.5,131,231,331,"polka-dotted",323211,"True",2,1,3,7,8,9,0.95,0,0.05,NA,NA,NA,0.33333,0.33333,0.33333,0.7387,0.13065,0.13065,NA,NA,1,1,NA,NA,0.70079,0.1496,0.1496,NA,NA,1,1,NA,NA,323211
"39",39,2,437,14,"English","solid things",0.95,"striped things",0.05,"polka-dotted things",0.05,"blue things",0.5,"red things",0.05,"green things",0.95,213,232,222,"circle",321112,"True",1,2,3,20,17,14,NA,NA,NA,0.90476,0.04762,0.04762,0.33333,0.03333,0.63333,NA,1,NA,0.73082,0.13459,0.13459,NA,0.26918,0.73082,NA,1,NA,0.70833,0.14583,0.14583,NA,0.26021,0.73979,321211
"40",40,2,1114,15,"English","solid things",0.05,"striped things",0.9,"polka-dotted things",0.5,"clouds",0.9,"circles",0.5,"squares",0,122,312,312,"red",321212,"True",3,2,1,13,12,12,0.64286,0.35714,0,0.03448,0.62069,0.34483,NA,NA,NA,0.72638,NA,0.27362,0.27362,0.72638,NA,NA,1,NA,0.72139,NA,0.27861,0.27861,0.72139,NA,NA,1,NA,321212
"41",41,2,1525,16,"English","blue things",0.95,"red things",0.5,"green things",0.05,"clouds",0.95,"circles",0.5,"squares",0.1,111,113,313,"solid",322112,"True",2,3,1,1,19,21,0.6129,0.32258,0.06452,NA,NA,NA,0.63333,0.33333,0.03333,0.75508,NA,0.24492,1,NA,NA,0.75508,NA,0.24492,0.76601,NA,0.23399,1,NA,NA,0.76601,NA,0.23399,322112
"42",42,2,1427,17,"English","solid things",0.05,"striped things",0.95,"polka-dotted things",0.5,"blue things",0,"red things",0,"green things",0.95,123,121,112,"cloud",322111,"True",1,2,3,22,4,10,NA,NA,NA,0.03333,0.63333,0.33333,0,0,1,1,NA,NA,0.27375,0.72625,NA,0.13687,0.13687,0.72625,1,NA,NA,0.26021,0.73979,NA,0.15377,0.15377,0.69246,322111
"43",43,2,185,18,"English","solid things",0.05,"striped things",0.5,"polka-dotted things",0.9,"clouds",0.5,"circles",0.5,"squares",0.5,331,311,311,"blue",323212,"True",3,2,1,9,3,3,0.33333,0.33333,0.33333,0.03448,0.34483,0.62069,NA,NA,NA,NA,NA,1,0.26118,NA,0.73882,1,NA,NA,NA,NA,1,0.26003,NA,0.73997,1,NA,NA,323212
"44",44,2,1630,19,"English","clouds",0,"circles",0.95,"squares",0,"blue things",0.95,"red things",0.5,"green things",0.05,221,123,313,"striped",211112,"True",2,1,3,5,22,21,0,1,0,NA,NA,NA,0.63333,0.33333,0.03333,0.13687,0.72625,0.13687,0.27375,0.72625,NA,0.72625,NA,0.27375,0.15377,0.69246,0.15377,0.26021,0.73979,NA,0.73979,NA,0.26021,211211
"45",45,2,1249,20,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,323,122,111,"green",112112,"False",3,2,1,24,13,1,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.22849,NA,0.77151,0.22849,0.77151,NA,0.11424,0.11424,0.77151,0.21094,NA,0.78906,0.21094,0.78906,NA,0.1318,0.1318,0.73639,112112
"46",46,3,1501,6,"English","clouds",0.8,"circles",0.55,"squares",0.5,"blue things",0.8,"red things",0.1,"green things",0.5,121,321,322,"striped",322112,"True",2,1,3,4,6,15,0.43243,0.2973,0.27027,NA,NA,NA,0.57143,0.07143,0.35714,0.72756,NA,0.27244,NA,1,NA,0.72756,0.27244,NA,0.77738,NA,0.22262,NA,1,NA,0.77738,0.22262,NA,322112
"47",47,3,1592,7,"English","blue things",0.55,"red things",0.95,"green things",0.1,"clouds",0.05,"circles",0.95,"squares",0.5,232,232,133,"polka-dotted",322121,"True",2,3,1,17,17,25,0.03333,0.63333,0.33333,NA,NA,NA,0.34375,0.59375,0.0625,0.31268,0.68732,NA,NA,NA,1,NA,0.68732,0.31268,0.26648,0.73352,NA,NA,NA,1,NA,0.73352,0.26648,322121
"48",48,3,79,8,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,323,121,112,"square",122111,"False",1,3,2,24,4,10,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.24327,NA,0.75673,0.24327,0.75673,NA,0.12163,0.12163,0.75673,0.21127,NA,0.78873,0.21127,0.78873,NA,0.22824,0.22824,0.54351,122111
"49",49,3,1750,9,"English","blue things",0,"red things",0.9,"green things",0.45,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,232,231,321,"circle",212112,"True",1,3,2,17,8,6,NA,NA,NA,0.33333,0.33333,0.33333,0,0.66667,0.33333,NA,0.72775,0.27225,NA,0.27225,0.72775,0.27225,0.72775,NA,NA,0.77761,0.22239,NA,0.22239,0.77761,0.22239,0.77761,NA,212112
"50",50,3,1572,10,"English","blue things",0.95,"red things",0.05,"green things",0.5,"solid things",0.95,"striped things",0,"polka-dotted things",0.5,311,311,322,"square",322121,"True",1,3,2,3,3,15,NA,NA,NA,0.65517,0,0.34483,0.63333,0.03333,0.33333,NA,NA,1,0.68732,0.31268,NA,0.68732,0.31268,NA,NA,NA,1,0.73352,0.26648,NA,0.73352,0.26648,NA,322121
"51",51,3,1491,11,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,133,111,121,"green",123211,"False",3,1,2,25,1,4,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,1,NA,NA,0.12698,0.12698,0.74603,0.25397,NA,0.74603,1,NA,NA,0.22824,0.22824,0.54351,0.22502,NA,0.77498,123211
"52",52,3,1331,12,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,122,321,312,"cloud",122122,"False",1,3,2,13,6,12,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.74948,NA,0.25052,0.25052,0.74948,NA,0.25052,0.74948,NA,0.80392,NA,0.19608,0.19608,0.80392,NA,0.19608,0.80392,NA,122122
"53",53,3,883,13,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,233,131,323,"circle",112122,"False",1,3,2,26,7,24,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.12526,0.74948,0.12526,NA,0.25052,0.74948,0.25052,NA,0.74948,0.25452,0.49097,0.25452,NA,0.19608,0.80392,0.19608,NA,0.80392,112122
"54",54,3,2313,14,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,332,232,232,"square",123232,"False",1,3,2,18,17,17,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,0.27046,0.72954,NA,NA,1,NA,1,NA,NA,0.22502,0.77498,NA,NA,1,NA,1,NA,123232
"55",55,3,273,15,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.9,"squares",0.15,233,323,231,"green",212222,"True",3,2,1,26,24,8,0.32258,0.58065,0.09677,0.33333,0.33333,0.33333,NA,NA,NA,NA,0.73396,0.26604,NA,0.26604,0.73396,0.26604,NA,0.73396,NA,0.78513,0.21487,NA,0.21487,0.78513,0.21487,NA,0.78513,212222
"56",56,3,1621,16,"English","clouds",0.95,"circles",0.15,"squares",0.5,"solid things",0.05,"striped things",0.9,"polka-dotted things",0.5,132,212,221,"red",211112,"True",3,1,2,16,11,5,0.59375,0.09375,0.3125,0.03448,0.62069,0.34483,NA,NA,NA,0.74042,0.25958,NA,0.12979,0.12979,0.74042,0.25958,0.74042,NA,0.77054,0.22946,NA,0.23016,0.23016,0.53968,0.22946,0.77054,NA,211211
"57",57,3,419,17,"English","solid things",0.05,"striped things",1,"polka-dotted things",0,"blue things",0.5,"red things",0.05,"green things",0.9,123,132,112,"cloud",321112,"True",1,2,3,22,16,10,NA,NA,NA,0.04762,0.95238,0,0.34483,0.03448,0.62069,1,NA,NA,0.14481,0.71038,0.14481,NA,0.28962,0.71038,1,NA,NA,0.33142,0.33717,0.33142,NA,0.23364,0.76636,321211
"58",58,3,169,18,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.95,"green things",0.05,322,323,323,"square",323212,"True",1,2,3,15,24,24,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.63333,0.03333,NA,NA,1,NA,1,NA,NA,0.71254,0.28746,NA,NA,1,NA,1,NA,NA,0.75919,0.24081,323212
"59",59,3,182,19,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.9,"green things",0.1,312,313,313,"square",323212,"True",1,2,3,12,21,21,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.6,0.06667,NA,NA,1,1,NA,NA,NA,0.71254,0.28746,NA,NA,1,1,NA,NA,NA,0.75919,0.24081,323212
"60",60,3,1135,20,"English","solid things",0.95,"striped things",0,"polka-dotted things",0.45,"clouds",0.5,"circles",0.05,"squares",0.9,312,222,222,"red",321212,"True",3,2,1,12,14,14,0.34483,0.03448,0.62069,0.67857,0,0.32143,NA,NA,NA,NA,0.29169,0.70831,0.70831,0.29169,NA,NA,1,NA,NA,0.24594,0.75406,0.75406,0.24594,NA,NA,1,NA,321212
"61",61,4,2003,6,"English","blue things",0,"red things",0.5,"green things",0,"solid things",0,"striped things",1,"polka-dotted things",0,322,321,312,"square",322122,"True",1,3,2,15,6,12,NA,NA,NA,0,1,0,0,1,0,NA,NA,1,7e-05,0.99993,NA,7e-05,0.99993,NA,NA,NA,1,0,1,NA,0,1,NA,322122
"62",62,4,237,7,"English","clouds",0.5,"circles",0,"squares",0,"blue things",0,"red things",0,"green things",1,113,113,233,"solid",212132,"False",2,1,3,19,19,26,1,0,0,NA,NA,NA,0,0,1,0.99993,7e-05,NA,0.99993,NA,7e-05,NA,NA,1,1,0,NA,1,NA,0,NA,NA,1,213221
"63",63,4,1583,8,"English","blue things",0,"red things",0,"green things",1,"solid things",1,"striped things",0,"polka-dotted things",0,313,313,321,"square",322121,"True",1,3,2,21,21,6,NA,NA,NA,1,0,0,0,0,1,NA,NA,1,0.99993,7e-05,NA,7e-05,NA,0.99993,NA,NA,1,1,0,NA,0,NA,1,322121
"64",64,4,1137,9,"English","clouds",0,"circles",1,"squares",0,"blue things",0,"red things",1,"green things",0,212,311,311,"solid",321212,"True",2,1,3,11,3,3,0,1,0,NA,NA,NA,0,1,0,NA,0.99993,7e-05,1,NA,NA,7e-05,0.99993,NA,NA,1,0,1,NA,NA,0,1,NA,321212
"65",65,4,655,10,"English","blue things",0,"red things",0.5,"green things",0,"solid things",0.5,"striped things",1,"polka-dotted things",0,322,333,121,"square",212211,"True",1,3,2,15,27,4,NA,NA,NA,0.33333,0.66667,0,0,1,0,7e-05,NA,0.99993,NA,0.99993,7e-05,3e-05,0.99993,3e-05,0,NA,1,NA,1,0,0,1,0,212211
"66",66,4,599,11,"English","solid things",0.05,"striped things",0.95,"polka-dotted things",0,"blue things",1,"red things",0,"green things",0,221,223,323,"circle",213212,"True",1,2,3,5,23,24,NA,NA,NA,0.05,0.95,0,1,0,0,NA,0.99993,7e-05,NA,1,NA,0.99993,NA,7e-05,NA,1,0,NA,1,NA,1,NA,0,213212
