"","X","workerid","item","slide_number","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","target","obj2","obj3","utterance","itemCode","ambiguous","uttFeat","q1Feat","q2Feat","targetOC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post_1","Post_2","Post_3","Post_4","Post_5","Post_6","Post_7","Post_8","Post_9","PostNotOpt_1","PostNotOpt_2","PostNotOpt_3","PostNotOpt_4","PostNotOpt_5","PostNotOpt_6","PostNotOpt_7","PostNotOpt_8","PostNotOpt_9","CCode","logLik"
"16",16,1,552,6,"english","solid things",0.4,"striped things",0.6,"polka-dotted things",0.65,"blue things",0,"red things",0.5,"green things",1,133,131,331,"cloud",213212,"True",1,2,3,25,7,9,NA,NA,NA,0.24242,0.36364,0.39394,0,0.33333,0.66667,0.51494,0.33333,0.15173,0.33333,0.33333,0.33333,0.03861,0.33333,0.62805,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0.33333,0.66667,213212,1.77490221043795
"17",17,1,1859,7,"english","solid things",0,"striped things",0.6,"polka-dotted things",0.95,"blue things",0.5,"red things",0.5,"green things",0.5,133,313,313,"cloud",123212,"False",1,2,3,25,21,21,NA,NA,NA,0,0.3871,0.6129,0.33333,0.33333,0.33333,0.60469,0.33333,0.06197,0.06197,0.33333,0.60469,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,123212,1.83219378108778
"18",18,1,1690,8,"english","clouds",1,"circles",1,"squares",0.4,"blue things",1,"red things",0.5,"green things",0.05,211,123,123,"solid",121212,"False",2,1,3,2,22,22,0.41667,0.41667,0.16667,NA,NA,NA,0.64516,0.32258,0.03226,0.06086,0.60581,0.33333,0.60581,0.06086,0.33333,0.60581,0.33333,0.06086,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,121212,2.32631100630552
"19",19,1,1417,9,"english","clouds",0,"circles",0,"squares",1,"solid things",1,"striped things",0.5,"polka-dotted things",0.5,313,333,123,"green",322111,"True",3,1,2,21,27,22,0,0,1,0.5,0.25,0.25,NA,NA,NA,0.07844,0.33333,0.58823,0.8741,0.06386,0.06204,0.33333,0.33333,0.33333,0,0.33333,0.66667,1,0,0,0.33333,0.33333,0.33333,322111,1.98068427258265
"20",20,1,1733,10,"english","solid things",0,"striped things",1,"polka-dotted things",0.5,"clouds",0,"circles",1,"squares",0.5,223,213,112,"green",212112,"True",3,2,1,23,20,10,0,0.66667,0.33333,0,0.66667,0.33333,NA,NA,NA,0.15437,0.5123,0.33333,0.03901,0.62765,0.33333,0.33333,0.15437,0.5123,0.33333,0.33333,0.33333,0,0.66667,0.33333,0.33333,0.33333,0.33333,212112,1.48881950795465
"21",21,1,733,11,"english","solid things",0.5,"striped things",0.5,"polka-dotted things",1,"blue things",0.75,"red things",0.5,"green things",0.5,131,132,221,"cloud",212122,"True",1,2,3,7,16,5,NA,NA,NA,0.25,0.25,0.5,0.42857,0.28571,0.28571,0.5123,0.15437,0.33333,0.33333,0.15437,0.5123,0.6091,0.05756,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0,0.33333,212122,2.41822172140131
"22",22,1,341,12,"english","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",1,"circles",0.5,"squares",0,132,332,222,"polka-dotted",213211,"True",2,3,1,16,18,14,0.66667,0.33333,0,NA,NA,NA,0.33333,0.33333,0.33333,0.81191,0.13047,0.05763,0.33333,0.15289,0.51377,0.33333,0.33333,0.33333,0.66667,0.33333,0,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,213211,1.91640545922519
"23",23,1,1919,13,"english","clouds",1,"circles",0.2,"squares",0.5,"solid things",1,"striped things",0.55,"polka-dotted things",0,113,231,232,"green",111212,"False",3,1,2,19,8,17,0.58824,0.11765,0.29412,0.64516,0.35484,0,NA,NA,NA,0.60373,0.06294,0.33333,0.60373,0.33333,0.06294,0.11982,0.11982,0.76037,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,111212,1.6607258588307
"24",24,1,2300,14,"english","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,132,132,131,"red",213232,"False",3,2,1,16,16,7,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.15401,0.51266,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,213232,2.19722457733622
"25",25,1,1196,15,"english","blue things",0.5,"red things",0,"green things",0.7,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,223,222,323,"circle",212232,"True",1,3,2,23,14,24,NA,NA,NA,0.33333,0.33333,0.33333,0.41667,0,0.58333,0.33333,0.51494,0.15173,0.33333,0.33333,0.33333,0.33333,0.05814,0.60852,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0.66667,213222,1.84612048313622
"26",26,1,267,16,"english","solid things",0.5,"striped things",0.2,"polka-dotted things",0.8,"clouds",0,"circles",0.5,"squares",0.35,233,123,232,"green",212222,"True",3,2,1,26,22,17,0,0.58824,0.41176,0.33333,0.13333,0.53333,NA,NA,NA,0.05957,0.6071,0.33333,0.33333,0.05957,0.6071,0.33333,0.15011,0.51656,0,0.66667,0.33333,0.33333,0,0.66667,0.33333,0.33333,0.33333,212222,1.75439343605184
"27",27,1,178,17,"english","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0,"red things",0.5,"green things",1,323,321,321,"striped",323212,"True",2,1,3,24,6,6,0.33333,0.33333,0.33333,NA,NA,NA,0,0.33333,0.66667,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.02782,0.33333,0.63884,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0.33333,0.66667,323212,1.76354855523289
"28",28,1,1095,18,"english","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0,"red things",0.5,"green things",1,123,321,221,"cloud",113212,"False",1,2,3,22,6,5,NA,NA,NA,0.33333,0.33333,0.33333,0,0.33333,0.66667,0.75648,0.12176,0.12176,0.33333,0.33333,0.33333,0.06423,0.33333,0.60243,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,113212,1.80266986775006
"29",29,1,2090,19,"english","solid things",0,"striped things",1,"polka-dotted things",0,"clouds",1,"circles",0,"squares",0,121,211,331,"blue",321111,"True",3,2,1,4,2,9,1,0,0,0,1,0,NA,NA,NA,0.87569,0.06215,0.06215,0.06215,0.87569,0.06215,0.33333,0.33333,0.33333,1,0,0,0,1,0,0.33333,0.33333,0.33333,321111,0.265484435365342
"30",30,1,676,20,"english","clouds",0,"circles",0.5,"squares",0.5,"blue things",0,"red things",0,"green things",1,333,132,321,"polka-dotted",212211,"True",2,1,3,27,16,6,0,0.5,0.5,NA,NA,NA,0,0,1,0.05779,0.33333,0.60887,0.33333,0.1513,0.51537,0.13024,0.0591,0.81066,0,0.33333,0.66667,0.33333,0.33333,0.33333,0.35714,0,0.64286,212211,1.00728471234135
"31",31,2,1527,6,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,213,212,222,"circle",322112,"True",1,2,3,20,11,14,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.56709,0.09958,0.33333,0.33333,0.04777,0.6189,0.33333,0.33333,0.33333,0.66667,0,0.33333,0.33333,0,0.66667,322112,2.86415393949951
"32",32,2,392,7,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,112,312,322,"cloud",122132,"False",1,3,2,10,12,15,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.34439,0.33333,0.32228,0.34218,0.32448,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,123221,2.19745969924045
"33",33,2,1156,8,"English","solid things",0.05,"striped things",0.05,"polka-dotted things",0.9,"clouds",0.5,"circles",0.5,"squares",0.5,232,222,231,"red",212232,"True",3,2,1,17,14,8,0.33333,0.33333,0.33333,0.05,0.05,0.9,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.06712,0.59955,0.32937,0.3373,0.33333,0.33333,0.33333,0.33333,0.33333,0,0.66667,0.33333,0.33333,0.33333,213222,1.7490273341861
"34",34,2,1981,9,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,211,211,211,"circle",323232,"False",1,3,2,2,2,2,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323232,2.19722457733622
"35",35,2,646,10,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,223,221,332,"green",112121,"False",3,2,1,23,5,18,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.3397,0.32697,0.33333,0.3397,0.32697,0.32548,0.33004,0.34448,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,112121,2.19746776676318
"36",36,2,1284,11,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,223,111,332,"green",111111,"False",3,1,2,23,1,18,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.32684,0.34632,0.32684,0.32684,0.34632,0.32684,0.32684,0.32684,0.34632,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,111111,2.19797432486427
"37",37,2,307,12,"English","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",0.95,"circles",0.5,"squares",0.05,131,331,211,"polka-dotted",213211,"True",2,3,1,7,9,2,0.63333,0.33333,0.03333,NA,NA,NA,0.33333,0.33333,0.33333,0.61831,0.3284,0.05329,0.32962,0.33333,0.33705,0.33333,0.33333,0.33333,0.66667,0.33333,0,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,213211,1.87200408351218
"38",38,2,2250,13,"English","clouds",0.95,"circles",0,"squares",0.05,"blue things",0.5,"red things",0.5,"green things",0.5,131,231,331,"polka-dotted",323211,"True",2,1,3,7,8,9,0.95,0,0.05,NA,NA,NA,0.33333,0.33333,0.33333,0.85298,0.07351,0.07351,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,1,0,0,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323211,1.3802005466891
"39",39,2,437,14,"English","solid things",0.95,"striped things",0.05,"polka-dotted things",0.05,"blue things",0.5,"red things",0.05,"green things",0.95,213,232,222,"circle",321112,"True",1,2,3,20,17,14,NA,NA,NA,0.90476,0.04762,0.04762,0.33333,0.03333,0.63333,0.33333,0.33333,0.33333,0.87111,0.06444,0.06444,0.33333,0.04556,0.62111,0.33333,0.33333,0.33333,1,0,0,0.33333,0,0.66667,321211,1.15677001188992
"40",40,2,1114,15,"English","solid things",0.05,"striped things",0.9,"polka-dotted things",0.5,"clouds",0.9,"circles",0.5,"squares",0,122,312,312,"red",321212,"True",3,2,1,13,12,12,0.64286,0.35714,0,0.03448,0.62069,0.34483,NA,NA,NA,0.62843,0.33333,0.03824,0.03824,0.62843,0.33333,0.33333,0.33333,0.33333,0.66667,0.33333,0,0,0.66667,0.33333,0.33333,0.33333,0.33333,321212,1.47069968561529
"41",41,2,1525,16,"English","blue things",0.95,"red things",0.5,"green things",0.05,"clouds",0.95,"circles",0.5,"squares",0.1,111,113,313,"solid",322112,"True",2,3,1,1,19,21,0.6129,0.32258,0.06452,NA,NA,NA,0.63333,0.33333,0.03333,0.56709,0.33333,0.09958,0.33333,0.33333,0.33333,0.6189,0.33333,0.04777,0.66667,0.33333,0,0.33333,0.33333,0.33333,0.66667,0.33333,0,322112,1.62234813965397
"42",42,2,1427,17,"English","solid things",0.05,"striped things",0.95,"polka-dotted things",0.5,"blue things",0,"red things",0,"green things",0.95,123,121,112,"cloud",322111,"True",1,2,3,22,4,10,NA,NA,NA,0.03333,0.63333,0.33333,0,0,1,0.33333,0.33333,0.33333,0.10397,0.5627,0.33333,0.07263,0.08461,0.84275,0.33333,0.33333,0.33333,0,0.66667,0.33333,0,0,1,322111,0.976913860438898
"43",43,2,185,18,"English","solid things",0.05,"striped things",0.5,"polka-dotted things",0.9,"clouds",0.5,"circles",0.5,"squares",0.5,331,311,311,"blue",323212,"True",3,2,1,9,3,3,0.33333,0.33333,0.33333,0.03448,0.34483,0.62069,NA,NA,NA,0.33333,0.33333,0.33333,0.04317,0.33333,0.6235,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0.33333,0.66667,0.33333,0.33333,0.33333,323212,1.8790302067225
"44",44,2,1630,19,"English","clouds",0,"circles",0.95,"squares",0,"blue things",0.95,"red things",0.5,"green things",0.05,221,123,313,"striped",211112,"True",2,1,3,5,22,21,0,1,0,NA,NA,NA,0.63333,0.33333,0.03333,0.04726,0.63983,0.31292,0.32923,0.33744,0.33333,0.59138,0.33333,0.07529,0,0.69231,0.30769,0.33333,0.33333,0.33333,0.66667,0.33333,0,211211,1.23166403487097
"45",45,2,1249,20,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,323,122,111,"green",112112,"False",3,2,1,24,13,1,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.32265,0.33333,0.34402,0.32448,0.34219,0.33333,0.32777,0.32463,0.3476,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,112112,2.1978024160746
"46",46,3,1501,6,"English","clouds",0.8,"circles",0.55,"squares",0.5,"blue things",0.8,"red things",0.1,"green things",0.5,121,321,322,"striped",322112,"True",2,1,3,4,6,15,0.43243,0.2973,0.27027,NA,NA,NA,0.57143,0.07143,0.35714,0.6134,0.33333,0.05326,0.33333,0.33333,0.33333,0.5678,0.09887,0.33333,0.66667,0.33333,0,0.33333,0.33333,0.33333,0.66667,0,0.33333,322112,2.21159980171259
"47",47,3,1592,7,"English","blue things",0.55,"red things",0.95,"green things",0.1,"clouds",0.05,"circles",0.95,"squares",0.5,232,232,133,"polka-dotted",322121,"True",2,3,1,17,17,25,0.03333,0.63333,0.33333,NA,NA,NA,0.34375,0.59375,0.0625,0.10934,0.55733,0.33333,0.33333,0.33333,0.33333,0.33333,0.55733,0.10934,0,0.66667,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0,322121,1.67331792836365
"48",48,3,79,8,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,323,121,112,"square",122111,"False",1,3,2,24,4,10,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,122111,2.19722457733622
"49",49,3,1750,9,"English","blue things",0,"red things",0.9,"green things",0.45,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,232,231,321,"circle",212112,"True",1,3,2,17,8,6,NA,NA,NA,0.33333,0.33333,0.33333,0,0.66667,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.08351,0.58316,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0.66667,0.33333,212112,1.82434399169465
"50",50,3,1572,10,"English","blue things",0.95,"red things",0.05,"green things",0.5,"solid things",0.95,"striped things",0,"polka-dotted things",0.5,311,311,322,"square",322121,"True",1,3,2,3,3,15,NA,NA,NA,0.65517,0,0.34483,0.63333,0.03333,0.33333,0.33333,0.33333,0.33333,0.55733,0.10934,0.33333,0.55733,0.10934,0.33333,0.33333,0.33333,0.33333,0.66667,0,0.33333,0.66667,0,0.33333,322121,1.57207931122222
"51",51,3,1491,11,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,133,111,121,"green",123211,"False",3,1,2,25,1,4,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,123211,2.19722457733622
"52",52,3,1331,12,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,122,321,312,"cloud",122122,"False",1,3,2,13,6,12,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,122122,2.19722457733622
"53",53,3,883,13,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,233,131,323,"circle",112122,"False",1,3,2,26,7,24,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,112122,2.19722457733622
"54",54,3,2313,14,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,332,232,232,"square",123232,"False",1,3,2,18,17,17,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,123232,2.19722457733622
"55",55,3,273,15,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.9,"squares",0.15,233,323,231,"green",212222,"True",3,2,1,26,24,8,0.32258,0.58065,0.09677,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.5985,0.06817,0.33333,0.06817,0.5985,0.33333,0.33333,0.33333,0.33333,0.66667,0,0.33333,0,0.66667,0.33333,0.33333,0.33333,212222,2.34492891548813
"56",56,3,1621,16,"English","clouds",0.95,"circles",0.15,"squares",0.5,"solid things",0.05,"striped things",0.9,"polka-dotted things",0.5,132,212,221,"red",211112,"True",3,1,2,16,11,5,0.59375,0.09375,0.3125,0.03448,0.62069,0.34483,NA,NA,NA,0.58256,0.0841,0.33333,0.05211,0.32563,0.62226,0.33333,0.33333,0.33333,0.66667,0,0.33333,0,0.30769,0.69231,0.33333,0.33333,0.33333,211211,1.85809640934861
"57",57,3,419,17,"English","solid things",0.05,"striped things",1,"polka-dotted things",0,"blue things",0.5,"red things",0.05,"green things",0.9,123,132,112,"cloud",321112,"True",1,2,3,22,16,10,NA,NA,NA,0.04762,0.95238,0,0.34483,0.03448,0.62069,0.33333,0.33333,0.33333,0.07191,0.85618,0.07191,0.33333,0.05165,0.61501,0.33333,0.33333,0.33333,0,1,0,0.33333,0,0.66667,321211,1.05596380016797
"58",58,3,169,18,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.95,"green things",0.05,322,323,323,"square",323212,"True",1,2,3,15,24,24,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.63333,0.03333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.61566,0.05101,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0,323212,1.87121533978313
