workerid,response6,response4,response5,response2,response3,response1,property1,property2,obj3,obj2,slide_number,condition,trial_type,target,utterance,item,pref1,pref2,pref3,pref4,pref5,pref6
1,0,0.25,0,0,0,0.9,color,shape,122,123,4,1/3,multi_slider,121,blue,178,blue things,red things,green things,clouds,circles,squares
1,0,1,0,0,1,0,texture,color,222,223,5,1/2,multi_slider,213,green,70,blue things,red things,green things,solid things,striped things,polka-dotted things
1,0,0.85,0,0.05,0.05,0.9,texture,color,121,121,6,1/3,multi_slider,111,blue,181,solid things,striped things,polka-dotted things,blue things,red things,green things
1,0,0.25,1,0,0.8,0.1,texture,shape,321,331,7,2/3,multi_slider,321,striped,46,clouds,circles,squares,solid things,striped things,polka-dotted things
1,0.05,0.8,0.9,0,0,0.5,shape,color,331,131,8,2/3,multi_slider,131,cloud,37,blue things,red things,green things,clouds,circles,squares
1,0.3,0,0,0.1,0.95,0.1,texture,color,323,313,9,1/3,multi_slider,333,green,152,solid things,striped things,polka-dotted things,blue things,red things,green things
1,0.05,0,0.9,0.05,1,0.9,texture,shape,223,213,10,1/3,multi_slider,233,circle,163,solid things,striped things,polka-dotted things,clouds,circles,squares
1,0,0.8,0,0.9,0.05,0.35,texture,color,313,331,11,1/2,multi_slider,321,blue,65,solid things,striped things,polka-dotted things,blue things,red things,green things
1,0.8,0.25,0.05,0.95,0,0,texture,color,222,222,12,1/3,multi_slider,232,polka-dotted,154,blue things,red things,green things,solid things,striped things,polka-dotted things
1,0.95,0,0,0,0,0.7,texture,color,331,311,13,2/3,multi_slider,331,polka-dotted,29,blue things,red things,green things,solid things,striped things,polka-dotted things
1,0,0.9,0,0.05,0,1,texture,color,211,221,14,2/3,multi_slider,211,blue,12,solid things,striped things,polka-dotted things,blue things,red things,green things
1,1,0,0,1,0,0,shape,texture,233,233,15,3/3,multi_slider,233,green,275,clouds,circles,squares,solid things,striped things,polka-dotted things
1,0,0.8,0,0,0,1,color,shape,113,111,16,2/3,multi_slider,111,cloud,11,blue things,red things,green things,clouds,circles,squares
1,0,0,0.85,0.15,0,0.85,shape,texture,332,332,17,1/1,multi_slider,122,cloud,214,clouds,circles,squares,solid things,striped things,polka-dotted things
2,0.25,0.75,0.35,0.2,0.15,0.6,shape,color,111,111,3,3/3,multi_slider,111,solid,280,blue things,red things,green things,clouds,circles,squares
2,0.1,0.1,0.7,0.25,0.85,0.2,texture,shape,223,213,4,1/3,multi_slider,233,circle,163,solid things,striped things,polka-dotted things,clouds,circles,squares
2,0.15,0.65,0.15,0.7,0.05,0.2,shape,texture,131,211,5,2/2,multi_slider,211,solid,118,clouds,circles,squares,solid things,striped things,polka-dotted things
2,0.15,0.1,0.85,0.05,0.05,0.8,shape,color,311,211,6,2/3,multi_slider,211,solid,47,blue things,red things,green things,clouds,circles,squares
2,0.05,0.75,0.1,0.15,0.2,0.75,shape,color,211,113,7,2/2,multi_slider,111,solid,128,clouds,circles,squares,blue things,red things,green things
2,0.05,0.85,0.1,0.15,0.8,0.2,shape,color,311,311,8,3/3,multi_slider,311,blue,300,clouds,circles,squares,blue things,red things,green things
2,0.85,0.1,0.1,0.15,0.95,0.35,color,texture,133,132,9,2/3,multi_slider,133,green,6,solid things,striped things,polka-dotted things,blue things,red things,green things
2,0.95,0.05,0.15,0.65,0.15,0.85,texture,shape,223,123,10,1/2,multi_slider,133,cloud,90,clouds,circles,squares,solid things,striped things,polka-dotted things
2,0.05,0.9,0.1,0.1,0.05,0.75,shape,color,211,211,11,1/3,multi_slider,111,blue,173,clouds,circles,squares,blue things,red things,green things
2,0.1,0.8,0.75,0.05,0.95,0.05,shape,texture,233,133,12,2/3,multi_slider,133,green,18,solid things,striped things,polka-dotted things,clouds,circles,squares
2,0.15,0.8,0.1,0.9,0.05,0.1,texture,color,232,232,13,1/3,multi_slider,212,solid,177,blue things,red things,green things,solid things,striped things,polka-dotted things
2,0.8,0.2,0.2,0.15,0.8,0.2,color,shape,331,131,14,1/2,multi_slider,333,square,64,blue things,red things,green things,clouds,circles,squares
2,0.9,0.1,0.1,0,0.2,0.85,color,texture,331,333,15,2/3,multi_slider,331,polka-dotted,30,blue things,red things,green things,solid things,striped things,polka-dotted things
2,0.85,0.1,0.05,0.9,0.1,0.15,texture,shape,213,313,16,1/2,multi_slider,323,green,93,solid things,striped things,polka-dotted things,clouds,circles,squares
2,0.1,0.75,0.1,0.9,0.1,0.1,texture,color,212,213,17,1/1,multi_slider,221,striped,241,solid things,striped things,polka-dotted things,blue things,red things,green things
3,0.7,0.2,0.7,0,1,0,shape,texture,323,323,3,3/3,multi_slider,323,square,263,clouds,circles,squares,solid things,striped things,polka-dotted things
3,0.5,0,0.7,0.75,0.2,0,shape,color,232,132,4,1/3,multi_slider,332,red,182,blue things,red things,green things,clouds,circles,squares
3,0.65,0.3,0.2,0.7,0.7,0.35,shape,texture,232,232,5,1/3,multi_slider,332,square,188,clouds,circles,squares,solid things,striped things,polka-dotted things
3,0.75,0.1,0.75,0.2,0.2,0.75,shape,texture,122,132,6,1/1,multi_slider,312,red,224,solid things,striped things,polka-dotted things,clouds,circles,squares
3,0.2,0.65,0.45,0.6,0.65,0.7,texture,color,131,111,7,1/1,multi_slider,122,cloud,202,solid things,striped things,polka-dotted things,blue things,red things,green things
3,0.6,0.3,0.6,0.65,0.3,0.35,shape,texture,222,312,8,2/2,multi_slider,212,red,101,clouds,circles,squares,solid things,striped things,polka-dotted things
3,0.5,0.65,0.2,0.6,0.25,0.8,color,shape,311,311,9,1/3,multi_slider,312,red,171,blue things,red things,green things,clouds,circles,squares
3,0.5,0.6,0.7,0.7,0.6,0.6,texture,shape,231,231,10,1/3,multi_slider,221,circle,175,clouds,circles,squares,solid things,striped things,polka-dotted things
3,0.8,0.05,0.8,0.25,0.65,0.3,texture,color,323,333,11,2/3,multi_slider,323,green,41,blue things,red things,green things,solid things,striped things,polka-dotted things
3,0.65,0.7,0.6,0.2,0.6,0.35,shape,color,223,122,12,2/2,multi_slider,223,green,120,blue things,red things,green things,clouds,circles,squares
3,0.75,0.65,0.6,0.25,0.1,0.6,shape,color,321,221,13,2/3,multi_slider,221,striped,1,blue things,red things,green things,clouds,circles,squares
3,0.75,0.3,0.6,0.7,0.7,0.2,texture,color,233,232,14,1/2,multi_slider,213,green,51,blue things,red things,green things,solid things,striped things,polka-dotted things
3,0.7,0.3,0.3,0.35,0.7,0.3,shape,texture,222,332,15,2/2,multi_slider,332,polka-dotted,126,solid things,striped things,polka-dotted things,clouds,circles,squares
3,0,0.7,0.65,0.3,0.7,0.65,texture,color,322,331,16,1/2,multi_slider,312,solid,100,solid things,striped things,polka-dotted things,blue things,red things,green things
3,0.75,0.7,0.55,0.7,0.7,0.65,texture,color,333,332,17,1/1,multi_slider,321,blue,210,blue things,red things,green things,solid things,striped things,polka-dotted things
4,0.5,0.5,0.5,0,0.05,0.95,shape,color,213,111,3,2/2,multi_slider,211,circle,133,blue things,red things,green things,clouds,circles,squares
4,0.5,0.05,1,0.05,0.5,1,shape,color,111,212,4,2/2,multi_slider,211,solid,149,blue things,red things,green things,clouds,circles,squares
4,0.95,0.5,0.05,0.55,1,0,color,texture,231,221,5,1/2,multi_slider,233,circle,97,blue things,red things,green things,solid things,striped things,polka-dotted things
4,0.5,0.5,0.5,0.5,0.5,0.5,texture,shape,221,231,6,1/3,multi_slider,211,solid,179,clouds,circles,squares,solid things,striped things,polka-dotted things
4,0.5,0.95,0.05,0.5,0.5,0.5,texture,color,322,312,7,2/3,multi_slider,312,square,23,blue things,red things,green things,solid things,striped things,polka-dotted things
4,0.05,1,0.1,0.05,0.5,1,shape,color,222,322,8,1/1,multi_slider,121,striped,240,blue things,red things,green things,clouds,circles,squares
4,0.5,0.5,0.5,0.5,0.5,0.5,shape,texture,121,111,9,1/1,multi_slider,331,polka-dotted,211,solid things,striped things,polka-dotted things,clouds,circles,squares
4,0.5,0.5,0.5,0.5,0.5,0.5,shape,color,131,131,10,3/3,multi_slider,131,polka-dotted,291,blue things,red things,green things,clouds,circles,squares
4,0.5,0.5,0.5,0.5,0.5,0.5,color,texture,312,321,11,1/2,multi_slider,313,green,99,solid things,striped things,polka-dotted things,blue things,red things,green things
4,0.5,0.5,0.5,0.5,0.5,0.5,color,shape,133,132,12,1/3,multi_slider,131,blue,200,blue things,red things,green things,clouds,circles,squares
4,0.5,0.5,0.5,0.5,0.5,0.5,color,texture,113,112,13,2/3,multi_slider,112,red,45,blue things,red things,green things,solid things,striped things,polka-dotted things
4,0.5,0.5,0.5,0.5,0.5,0.5,color,shape,312,212,14,1/2,multi_slider,211,blue,75,clouds,circles,squares,blue things,red things,green things
4,0.5,0.5,0.5,0,0.5,0.95,texture,color,232,221,15,2/2,multi_slider,221,circle,134,blue things,red things,green things,solid things,striped things,polka-dotted things
4,0.5,0.5,0.45,0.5,0.5,0.5,texture,color,221,221,16,3/3,multi_slider,221,blue,274,blue things,red things,green things,solid things,striped things,polka-dotted things
4,0.5,0,0.95,0.05,1,0.5,shape,color,223,122,17,2/2,multi_slider,223,striped,120,blue things,red things,green things,clouds,circles,squares
5,0.5,0.5,0.9,0.5,0.5,0.5,shape,texture,322,112,3,1/2,multi_slider,222,striped,89,solid things,striped things,polka-dotted things,clouds,circles,squares
5,0.7,0.35,0.35,0.5,0.5,0.7,shape,texture,121,231,4,1/1,multi_slider,311,blue,244,solid things,striped things,polka-dotted things,clouds,circles,squares
5,0.5,0.5,0.15,0.5,0.5,0.5,shape,texture,233,133,5,2/3,multi_slider,133,green,18,solid things,striped things,polka-dotted things,clouds,circles,squares
5,0.5,0.5,0.5,0.5,0.5,0.5,shape,texture,232,232,6,3/3,multi_slider,232,polka-dotted,265,solid things,striped things,polka-dotted things,clouds,circles,squares
5,0.5,0.5,0.5,0.5,0.5,0.85,color,texture,331,333,7,2/3,multi_slider,331,square,30,blue things,red things,green things,solid things,striped things,polka-dotted things
5,0.5,0.5,0.85,0.5,0.5,0.5,shape,texture,211,321,8,2/2,multi_slider,221,circle,132,clouds,circles,squares,solid things,striped things,polka-dotted things
5,0.5,0.5,0.5,0.5,0.5,0.5,color,texture,113,112,9,2/3,multi_slider,112,red,45,blue things,red things,green things,solid things,striped things,polka-dotted things
5,0.85,0.5,0.5,0.5,0.5,0.5,shape,color,221,221,10,1/1,multi_slider,123,green,228,clouds,circles,squares,blue things,red things,green things
5,0.5,0.5,0.5,0.5,0.85,0.5,texture,color,331,311,11,2/3,multi_slider,331,blue,29,solid things,striped things,polka-dotted things,blue things,red things,green things
5,0.5,0.8,0.5,0.5,0.5,0.5,color,shape,212,211,12,2/3,multi_slider,211,circle,43,clouds,circles,squares,blue things,red things,green things
5,0.5,0.5,0.5,0.5,0.5,0.5,texture,color,111,111,13,3/3,multi_slider,111,solid,266,solid things,striped things,polka-dotted things,blue things,red things,green things
5,0.5,0.5,0.5,0.5,0.5,0.5,shape,texture,222,122,14,1/1,multi_slider,332,polka-dotted,235,clouds,circles,squares,solid things,striped things,polka-dotted things
5,0.5,0.5,0.5,0.5,0.85,0.5,shape,texture,232,232,15,1/3,multi_slider,332,red,167,clouds,circles,squares,solid things,striped things,polka-dotted things
5,0.5,0.5,0.5,0.5,0.5,0.5,texture,color,323,331,16,2/2,multi_slider,323,striped,130,blue things,red things,green things,solid things,striped things,polka-dotted things
5,0.5,0.5,0.5,0.5,0.85,0.5,color,texture,213,212,17,2/3,multi_slider,213,solid,42,blue things,red things,green things,solid things,striped things,polka-dotted things
6,0,0,1,0.05,0,1,texture,color,123,123,3,1/1,multi_slider,112,cloud,247,solid things,striped things,polka-dotted things,blue things,red things,green things
6,0,0,0.55,0,0.05,1,shape,color,231,231,4,3/3,multi_slider,231,blue,255,blue things,red things,green things,clouds,circles,squares
6,0,0.7,0,0.9,0,0.05,texture,color,313,331,5,1/2,multi_slider,321,striped,65,solid things,striped things,polka-dotted things,blue things,red things,green things
6,0.95,0,0,0,1,0,shape,texture,222,122,6,1/1,multi_slider,332,square,235,solid things,striped things,polka-dotted things,clouds,circles,squares
6,0,0,1,0,0,1,shape,color,122,321,7,2/2,multi_slider,122,cloud,114,clouds,circles,squares,blue things,red things,green things
6,0,0,1,1,0,0,shape,texture,222,322,8,2/3,multi_slider,222,circle,40,solid things,striped things,polka-dotted things,clouds,circles,squares
6,1,0.05,0.05,0,1,0,shape,texture,221,121,9,1/1,multi_slider,331,blue,219,clouds,circles,squares,solid things,striped things,polka-dotted things
6,1,0,0.05,0,1,0,color,texture,133,132,10,2/3,multi_slider,133,green,6,blue things,red things,green things,solid things,striped things,polka-dotted things
6,0,1,0,0,0.05,1,shape,texture,113,113,11,3/3,multi_slider,113,green,253,clouds,circles,squares,solid things,striped things,polka-dotted things
6,1,0,0,1,0,0,color,texture,222,223,12,2/3,multi_slider,223,striped,2,solid things,striped things,polka-dotted things,blue things,red things,green things
6,1,0,0,0,0,1,shape,color,311,311,13,3/3,multi_slider,311,solid,300,blue things,red things,green things,clouds,circles,squares
6,0,0,1,0,0,1,texture,color,212,213,14,1/1,multi_slider,221,striped,241,blue things,red things,green things,solid things,striped things,polka-dotted things
6,1,0.05,0.05,0,0,1,shape,texture,312,312,15,3/3,multi_slider,312,solid,278,solid things,striped things,polka-dotted things,clouds,circles,squares
6,0,0,1,0,1,0,color,texture,223,221,16,2/3,multi_slider,223,striped,8,blue things,red things,green things,solid things,striped things,polka-dotted things
6,1,0,0,0,1,0,color,shape,331,131,17,1/2,multi_slider,333,green,64,blue things,red things,green things,clouds,circles,squares
7,0,0,0,0,0,0,shape,color,131,131,3,1/3,multi_slider,231,circle,190,blue things,red things,green things,clouds,circles,squares
7,0,0.8,0.5,0.55,0.65,0,shape,color,311,313,4,1/2,multi_slider,113,solid,56,blue things,red things,green things,clouds,circles,squares
7,0.95,0.05,0,0.5,0.05,0.5,texture,color,323,313,5,1/3,multi_slider,333,square,152,blue things,red things,green things,solid things,striped things,polka-dotted things
7,0.5,0.05,0.85,0.05,0.75,0,texture,color,311,312,6,1/1,multi_slider,323,square,232,blue things,red things,green things,solid things,striped things,polka-dotted things
7,0.5,0.5,0.5,0.85,0,0.5,texture,color,331,321,7,2/3,multi_slider,321,square,34,solid things,striped things,polka-dotted things,blue things,red things,green things
7,0.5,0.5,0.5,0.5,0.5,0.5,shape,color,313,112,8,2/2,multi_slider,313,square,110,blue things,red things,green things,clouds,circles,squares
7,0.5,0.5,0.5,0.5,0.5,0.5,texture,shape,112,122,9,2/3,multi_slider,122,striped,48,solid things,striped things,polka-dotted things,clouds,circles,squares
7,0.5,0.5,0.5,0.5,0.5,0.5,shape,color,231,231,10,3/3,multi_slider,231,polka-dotted,255,blue things,red things,green things,clouds,circles,squares
7,0.5,0.5,0.5,0.5,0.5,0.5,shape,color,131,131,11,3/3,multi_slider,131,polka-dotted,291,clouds,circles,squares,blue things,red things,green things
7,0.5,0.5,0.5,0.5,0.5,0.5,shape,color,121,222,12,2/2,multi_slider,222,circle,106,clouds,circles,squares,blue things,red things,green things
7,0.5,0.55,0.5,0.5,0.5,0.5,texture,color,122,122,13,3/3,multi_slider,122,red,292,blue things,red things,green things,solid things,striped things,polka-dotted things
7,0.5,0.5,0.5,0.35,0.5,0.4,texture,color,212,213,14,1/1,multi_slider,221,striped,241,solid things,striped things,polka-dotted things,blue things,red things,green things
7,0.5,0.5,0.4,0.45,0.5,0.5,texture,color,113,122,15,2/2,multi_slider,122,striped,139,solid things,striped things,polka-dotted things,blue things,red things,green things
7,0.5,0.4,0.5,0.4,0.5,0.5,shape,texture,123,213,16,2/2,multi_slider,123,cloud,144,solid things,striped things,polka-dotted things,clouds,circles,squares
7,0.5,0.5,0.5,0.05,1,0.5,texture,shape,232,222,17,2/3,multi_slider,232,circle,33,solid things,striped things,polka-dotted things,clouds,circles,squares
8,0.85,0.8,0.35,0.85,0.4,0.45,texture,shape,213,323,3,1/2,multi_slider,233,green,83,clouds,circles,squares,solid things,striped things,polka-dotted things
8,0.9,0.65,0.35,0.75,0.8,0.25,shape,texture,132,132,4,1/3,multi_slider,332,polka-dotted,196,clouds,circles,squares,solid things,striped things,polka-dotted things
8,0.9,0.1,0.65,0.2,0.8,0.8,color,texture,133,132,5,2/3,multi_slider,133,green,6,solid things,striped things,polka-dotted things,blue things,red things,green things
8,0.95,0.15,0.75,0.15,0.85,0.8,shape,texture,331,331,6,3/3,multi_slider,331,square,272,solid things,striped things,polka-dotted things,clouds,circles,squares
8,0.3,1,0.8,0.1,0.2,1,color,shape,233,133,7,1/2,multi_slider,131,cloud,71,blue things,red things,green things,clouds,circles,squares
8,0.75,0.3,0.2,0.9,0.05,0.65,texture,shape,312,312,8,1/3,multi_slider,322,square,162,solid things,striped things,polka-dotted things,clouds,circles,squares
8,0.25,0.95,0.1,0.1,0.1,0.05,color,texture,333,312,9,1/2,multi_slider,311,blue,78,solid things,striped things,polka-dotted things,blue things,red things,green things
8,0.1,0.9,0,0.1,0.2,1,texture,color,311,311,10,3/3,multi_slider,311,solid,264,blue things,red things,green things,solid things,striped things,polka-dotted things
8,0,1,0.1,0.1,0.15,1,texture,color,111,111,11,3/3,multi_slider,111,cloud,266,blue things,red things,green things,solid things,striped things,polka-dotted things
8,0.85,0.15,0.05,0.15,0.15,0.9,shape,color,223,322,12,1/2,multi_slider,123,cloud,60,clouds,circles,squares,blue things,red things,green things
8,0.15,0.15,1,0.55,0.5,0.55,texture,color,221,221,13,3/3,multi_slider,221,circle,284,blue things,red things,green things,solid things,striped things,polka-dotted things
8,0.4,0.45,0.4,0.1,0.1,1,texture,shape,222,212,14,2/3,multi_slider,212,circle,5,solid things,striped things,polka-dotted things,clouds,circles,squares
8,0.1,0.1,1,1,0.05,0.1,color,shape,331,231,15,1/2,multi_slider,232,polka-dotted,53,clouds,circles,squares,blue things,red things,green things
8,1,0.15,0.15,0.1,0.15,1,shape,color,122,122,16,1/1,multi_slider,321,blue,243,blue things,red things,green things,clouds,circles,squares
8,0.7,0.05,0.35,0.9,0.1,0,texture,shape,232,222,17,2/3,multi_slider,232,circle,33,clouds,circles,squares,solid things,striped things,polka-dotted things
