"","X.1","X","workerid","item","slide_number","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","target","obj2","obj3","utterance","itemCode","ambiguous","uttFeat","q1Feat","q2Feat","targetOC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post1_1","Post1_2","Post1_3","Post1_4","Post1_5","Post1_6","Post1_7","Post1_8","Post1_9","Post2_1","Post2_2","Post2_3","Post2_4","Post2_5","Post2_6","Post2_7","Post2_8","Post2_9","CCode","logLik","FeatTypeOrder.1","FeatTypeOrder.2","FeatTypeOrder.3","FeatValueOrders.1","FeatValueOrders.2","FeatValueOrders.3","FeatValueOrders.4","FeatValueOrders.5","FeatValueOrders.6","FeatValueOrders.7","FeatValueOrders.8","FeatValueOrders.9"
"11",  11,  11, 0,1008,16,"English","blue things",0.50,"red things",0.85,"green things",0.50,"clouds",0.50,"circles",0.50,"squares",0.50,322,221,212,"striped",212212, TRUE,2,3,1,15, 5,11,NA,NA,NA,0.6296301,0.37036986,NA,0.5000000,0.50000000,NA,0.5000000,0.5000000,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,NA,0.5090825,0.490917545,NA,0.5983560,0.401644016,NA,0.5956770,0.404322978,NA,212212,0,2,3,1,1,0,2,1,0,2,2,1,0
"12",  12,  12, 0,1718,17,"English","clouds",0.50,"circles",0.50,"squares",0.50,"solid things",0.50,"striped things",0.35,"polka-dotted things",0.75,233,223,321,"green",212112, TRUE,3,1,2,26,23, 6,NA,NA,NA,0.5000000,0.50000000,NA,0.6818182,0.31818182,NA,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,1.0000000,0.0000000,NA,0.5090825,0.490917545,NA,0.5090825,0.490917545,NA,0.5956770,0.404322978,NA,212112,0,3,1,2,2,0,1,1,2,0,2,1,0
"13",  13,  13, 0,1531,18,"English","clouds",0.50,"circles",0.50,"squares",0.50,"blue things",0.50,"red things",0.50,"green things",0.75,223,221,121,"striped",322112, TRUE,2,1,3,23, 5, 4,NA,NA,NA,0.5000000,0.50000000,NA,0.6000028,0.39999720,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,NA,1.0000000,NA,NA,0.5702607,0.429739297,NA,0.6232019,0.376798116,NA,322112,0,2,1,3,1,0,2,1,0,2,2,0,1
"14",  14,  14, 0, 652,19,"English","blue things",0.50,"red things",0.75,"green things",0.50,"solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,112,133,311,"cloud",212211, TRUE,1,3,2,10,25, 3,NA,NA,NA,0.5000000,0.50000000,NA,0.4285743,0.28571286,0.28571286,0.5000000,0.5000000,NA,1.0000000,0.0000000,NA,0.6666700,0.0000000,0.3333300,0.5090825,0.490917545,NA,0.5983560,0.401644016,NA,0.4204742,0.254222542,0.325303253,212211,0,1,2,3,0,2,1,0,2,1,1,2,0
"15",  15,  15, 0,1148,20,"English","clouds",0.50,"circles",0.50,"squares",0.50,"blue things",0.50,"red things",0.75,"green things",0.30,232,333,333,"polka-dotted",321212, TRUE,2,1,3,17,27,27,NA,NA,NA,0.5000000,0.50000000,NA,0.7142836,0.28571639,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,NA,1.0000000,NA,NA,0.6232019,0.376798116,NA,0.6232019,0.376798116,NA,321212,0,2,1,3,2,0,1,1,2,0,1,2,0
"16",  16,  16, 1, 552, 6,"english","solid things",0.40,"striped things",0.60,"polka-dotted things",0.65,"blue things",0.00,"red things",0.50,"green things",1.00,133,131,331,"cloud",213212, TRUE,1,2,3,25, 7, 9,NA,NA,NA,1.0000000,NA,NA,1.0000000,0.00000000,NA,0.5000000,0.5000000,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,0.8106831,0.189316893,NA,1.0000000,NA,NA,0.9211754,0.078824606,NA,213212,0,1,2,3,0,2,1,2,0,1,2,0,1
"17",  17,  17, 1,1859, 7,"english","solid things",0.00,"striped things",0.60,"polka-dotted things",0.95,"blue things",0.50,"red things",0.50,"green things",0.50,133,313,313,"cloud",123212,FALSE,1,2,3,25,21,21,NA,NA,NA,1.0000000,NA,NA,1.0000000,0.00000000,NA,0.5000000,0.5000000,NA,1.0000000,NA,NA,0.5000000,0.5000000,NA,0.8862256,0.113774431,NA,1.0000000,NA,NA,0.8862256,0.113774431,NA,123212,0,1,3,2,0,2,1,2,0,1,2,0,1
"18",  18,  18, 1,1690, 8,"english","clouds",1.00,"circles",1.00,"squares",0.40,"blue things",1.00,"red things",0.50,"green things",0.05,211,123,123,"solid",121212,FALSE,2,1,3, 2,22,22,NA,NA,NA,0.5000000,0.50000000,NA,0.9523781,0.04762186,NA,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,0.8862256,0.113774431,NA,0.8862256,0.113774431,NA,0.8862256,0.113774431,NA,121212,0,2,1,3,0,1,2,1,0,2,0,2,1
"19",  19,  19, 1,1417, 9,"english","clouds",0.00,"circles",0.00,"squares",1.00,"solid things",1.00,"striped things",0.50,"polka-dotted things",0.50,313,333,123,"green",322111, TRUE,3,1,2,21,27,22,NA,NA,NA,1.0000000,0.00000000,NA,0.5000000,0.25000000,0.25000000,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,0.0000000,1.0000000,NA,NA,0.8909055,0.109094455,NA,0.8846188,0.057690577,0.057690577,322111,0,3,1,2,2,0,1,2,0,1,0,2,1
"20",  20,  20, 1,1733,10,"english","solid things",0.00,"striped things",1.00,"polka-dotted things",0.50,"clouds",0.00,"circles",1.00,"squares",0.50,223,213,112,"green",212112, TRUE,3,2,1,23,20,10,NA,NA,NA,1.0000000,0.00000000,NA,1.0000000,0.00000000,NA,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,1.0000000,0.0000000,NA,0.8106831,0.189316893,NA,0.8106831,0.189316893,NA,0.9211754,0.078824606,NA,212112,0,3,1,2,2,1,0,1,0,2,1,0,2
"21",  21,  21, 1, 733,11,"english","solid things",0.50,"striped things",0.50,"polka-dotted things",1.00,"blue things",0.75,"red things",0.50,"green things",0.50,131,132,221,"cloud",212122, TRUE,1,2,3, 7,16, 5,NA,NA,NA,0.6666667,0.33333333,NA,0.6000028,0.39999720,NA,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,1.0000000,0.0000000,NA,0.8106831,0.189316893,NA,0.8106831,0.189316893,NA,0.9146354,0.085364573,NA,212122,0,1,2,3,0,1,2,2,1,0,0,1,2
"22",  22,  22, 1, 341,12,"english","blue things",0.50,"red things",0.50,"green things",0.50,"clouds",1.00,"circles",0.50,"squares",0.00,132,332,222,"polka-dotted",213211, TRUE,2,3,1,16,18,14,NA,NA,NA,1.0000000,NA,NA,0.6666700,0.00000000,0.33333000,0.5000000,0.5000000,NA,1.0000000,NA,NA,0.6666700,0.0000000,0.3333300,0.8106831,0.189316893,NA,1.0000000,NA,NA,0.8406200,0.054820000,0.104560000,213211,0,2,3,1,2,1,0,1,0,2,0,2,1
"23",  23,  23, 1,1919,13,"english","clouds",1.00,"circles",0.20,"squares",0.50,"solid things",1.00,"striped things",0.55,"polka-dotted things",0.00,113,231,232,"green",111212,FALSE,3,1,2,19, 8,17,NA,NA,NA,1.0000000,0.00000000,NA,0.8333310,0.16666903,NA,0.3333333,0.3333333,0.3333333,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,0.7957000,0.102150000,0.102150000,0.8862256,0.113774431,NA,0.8862256,0.113774431,NA,111212,0,3,2,1,2,0,1,0,2,1,0,1,2
"24",  24,  24, 1,2300,14,"english","solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,"clouds",0.50,"circles",0.50,"squares",0.50,132,132,131,"red",213232,FALSE,3,2,1,16,16, 7,NA,NA,NA,1.0000000,NA,NA,1.0000000,NA,NA,0.5000000,0.5000000,NA,1.0000000,NA,NA,1.0000000,NA,NA,0.8106831,0.189316893,NA,1.0000000,NA,NA,1.0000000,NA,NA,213232,0,3,2,1,1,0,2,2,0,1,0,1,2
"25",  25,  25, 1,1196,15,"english","blue things",0.50,"red things",0.00,"green things",0.70,"solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,223,222,323,"circle",212232, TRUE,1,3,2,23,14,24,NA,NA,NA,1.0000000,NA,NA,1.0000000,0.00000000,NA,0.5000000,0.5000000,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,0.8106831,0.189316893,NA,1.0000000,NA,NA,0.9146354,0.085364573,NA,213222,0,1,2,3,1,2,0,1,0,2,2,1,0
"26",  26,  26, 1, 267,16,"english","solid things",0.50,"striped things",0.20,"polka-dotted things",0.80,"clouds",0.00,"circles",0.50,"squares",0.35,233,123,232,"green",212222, TRUE,3,2,1,26,22,17,NA,NA,NA,0.8000030,0.19999700,NA,1.0000000,0.00000000,NA,0.5000000,0.5000000,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,NA,0.8106831,0.189316893,NA,0.9146354,0.085364573,NA,0.9146354,0.085364573,NA,212222,0,3,2,1,2,1,0,2,1,0,1,0,2
"27",  27,  27, 1, 178,17,"english","clouds",0.50,"circles",0.50,"squares",0.50,"blue things",0.00,"red things",0.50,"green things",1.00,323,321,321,"striped",323212, TRUE,2,1,3,24, 6, 6,NA,NA,NA,1.0000000,NA,NA,1.0000000,0.00000000,NA,1.0000000,NA,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,NA,NA,1.0000000,NA,NA,0.9387703,0.061229694,NA,323212,0,2,1,3,1,0,2,2,0,1,2,0,1
"28",  28,  28, 1,1095,18,"english","solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,"blue things",0.00,"red things",0.50,"green things",1.00,123,321,221,"cloud",113212,FALSE,1,2,3,22, 6, 5,NA,NA,NA,1.0000000,NA,NA,1.0000000,0.00000000,NA,0.3333333,0.3333333,0.3333333,1.0000000,NA,NA,0.5000000,0.5000000,NA,0.7957000,0.102150000,0.102150000,1.0000000,NA,NA,0.8862256,0.113774431,NA,113212,0,1,2,3,0,2,1,1,0,2,2,0,1
"29",  29,  29, 1,2090,19,"english","solid things",0.00,"striped things",1.00,"polka-dotted things",0.00,"clouds",1.00,"circles",0.00,"squares",0.00,121,211,331,"blue",321111, TRUE,3,2,1, 4, 2, 9,NA,NA,NA,1.0000000,0.00000000,0.00000000,1.0000000,0.00000000,0.00000000,1.0000000,NA,NA,1.0000000,0.0000000,0.0000000,1.0000000,0.0000000,0.0000000,1.0000000,NA,NA,0.8846188,0.057690577,0.057690577,0.8846188,0.057690577,0.057690577,321111,0,3,2,1,0,1,2,1,0,2,0,1,2
"30",  30,  30, 1, 676,20,"english","clouds",0.00,"circles",0.50,"squares",0.50,"blue things",0.00,"red things",0.00,"green things",1.00,333,132,321,"polka-dotted",212211, TRUE,2,1,3,27,16, 6,NA,NA,NA,1.0000000,0.00000000,NA,1.0000000,0.00000000,0.00000000,0.5000000,0.5000000,NA,1.0000000,0.0000000,NA,0.6666700,0.0000000,0.3333300,0.8106831,0.189316893,NA,0.9146354,0.085364573,NA,0.8406200,0.054820000,0.104560000,212211,0,2,1,3,2,1,0,2,0,1,2,1,0
"31",  31,  31, 2,1527, 6,"English","solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,"blue things",0.50,"red things",0.50,"green things",0.50,213,212,222,"circle",322112, TRUE,1,2,3,20,11,14,NA,NA,NA,0.5000000,0.50000000,NA,0.5000000,0.50000000,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,NA,1.0000000,NA,NA,0.8670687,0.132931329,NA,0.9233354,0.076664617,NA,322112,0,1,2,3,1,0,2,0,1,2,2,1,0
"32",  32,  32, 2, 392, 7,"English","blue things",0.50,"red things",0.50,"green things",0.50,"solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,112,312,322,"cloud",122132,FALSE,1,3,2,10,12,15,NA,NA,NA,1.0000000,NA,NA,0.5000000,0.50000000,NA,0.5000000,0.5000000,NA,1.0000000,NA,NA,0.5000000,0.5000000,NA,0.5251624,0.474837626,NA,1.0000000,NA,NA,0.5231452,0.476854769,NA,123221,0,1,3,2,0,2,1,1,0,2,0,1,2
"33",  33,  33, 2,1156, 8,"English","solid things",0.05,"striped things",0.05,"polka-dotted things",0.90,"clouds",0.50,"circles",0.50,"squares",0.50,232,222,231,"red",212232, TRUE,3,2,1,17,14, 8,NA,NA,NA,1.0000000,NA,NA,0.9473684,0.05263158,NA,0.5000000,0.5000000,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,0.5119474,0.488052560,NA,1.0000000,NA,NA,0.9182804,0.081719591,NA,213222,0,3,1,2,1,0,2,1,0,2,2,1,0
"34",  34,  34, 2,1981, 9,"English","blue things",0.50,"red things",0.50,"green things",0.50,"solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,211,211,211,"circle",323232,FALSE,1,3,2, 2, 2, 2,NA,NA,NA,1.0000000,NA,NA,1.0000000,NA,NA,1.0000000,NA,NA,1.0000000,NA,NA,1.0000000,NA,NA,1.0000000,NA,NA,1.0000000,NA,NA,1.0000000,NA,NA,323232,0,1,2,3,1,0,2,0,1,2,0,1,2
"35",  35,  35, 2, 646,10,"English","solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,"clouds",0.50,"circles",0.50,"squares",0.50,223,221,332,"green",112121,FALSE,3,2,1,23, 5,18,NA,NA,NA,0.5000000,0.50000000,NA,0.5000000,0.50000000,NA,0.3333333,0.3333333,0.3333333,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,0.3560800,0.321960000,0.321960000,0.5231452,0.476854769,NA,0.5231452,0.476854769,NA,112121,0,3,2,1,2,0,1,1,2,0,1,2,0
"36",  36,  36, 2,1284,11,"English","clouds",0.50,"circles",0.50,"squares",0.50,"solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,223,111,332,"green",111111,FALSE,3,1,2,23, 1,18,NA,NA,NA,0.3333333,0.33333333,0.33333333,0.3333333,0.33333333,0.33333333,0.3333333,0.3333333,0.3333333,0.3333333,0.3333333,0.3333333,0.3333333,0.3333333,0.3333333,0.3560800,0.321960000,0.321960000,0.3560800,0.321960000,0.321960000,0.3560800,0.321960000,0.321960000,111111,0,3,2,1,2,0,1,1,0,2,1,0,2
"37",  37,  37, 2, 307,12,"English","blue things",0.50,"red things",0.50,"green things",0.50,"clouds",0.95,"circles",0.50,"squares",0.05,131,331,211,"polka-dotted",213211, TRUE,2,3,1, 7, 9, 2,NA,NA,NA,1.0000000,NA,NA,0.6333363,0.03333033,0.33333333,0.5000000,0.5000000,NA,1.0000000,NA,NA,0.6666700,0.0000000,0.3333300,0.5119474,0.488052560,NA,1.0000000,NA,NA,0.6252900,0.051910000,0.322800000,213211,0,2,3,1,2,0,1,0,1,2,0,2,1
"38",  38,  38, 2,2250,13,"English","clouds",0.95,"circles",0.00,"squares",0.05,"blue things",0.50,"red things",0.50,"green things",0.50,131,231,331,"polka-dotted",323211, TRUE,2,1,3, 7, 8, 9,NA,NA,NA,1.0000000,NA,NA,0.9500000,0.00000000,0.05000000,1.0000000,NA,NA,1.0000000,NA,NA,1.0000000,0.0000000,0.0000000,1.0000000,NA,NA,1.0000000,NA,NA,0.8576000,0.071200000,0.071200000,323211,0,2,3,1,2,0,1,0,1,2,0,1,2
"39",  39,  39, 2, 437,14,"English","solid things",0.95,"striped things",0.05,"polka-dotted things",0.05,"blue things",0.50,"red things",0.05,"green things",0.95,213,232,222,"circle",321112, TRUE,1,2,3,20,17,14,NA,NA,NA,0.9500045,0.04999550,NA,0.9047600,0.04762000,0.04762000,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,0.0000000,1.0000000,NA,NA,0.9233354,0.076664617,NA,0.8576000,0.071200000,0.071200000,321211,0,1,3,2,1,0,2,2,1,0,0,2,1
"40",  40,  40, 2,1114,15,"English","solid things",0.05,"striped things",0.90,"polka-dotted things",0.50,"clouds",0.90,"circles",0.50,"squares",0.00,122,312,312,"red",321212, TRUE,3,2,1,13,12,12,NA,NA,NA,0.9473724,0.05262756,NA,1.0000000,0.00000000,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,NA,1.0000000,NA,NA,0.9233354,0.076664617,NA,0.9233354,0.076664617,NA,321212,0,3,2,1,1,0,2,1,0,2,0,2,1
"41",  41,  41, 2,1525,16,"English","blue things",0.95,"red things",0.50,"green things",0.05,"clouds",0.95,"circles",0.50,"squares",0.10,111,113,313,"solid",322112, TRUE,2,3,1, 1,19,21,NA,NA,NA,0.9047563,0.09524372,NA,0.9500045,0.04999550,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,NA,1.0000000,NA,NA,0.8670687,0.132931329,NA,0.9233354,0.076664617,NA,322112,0,2,1,3,0,1,2,0,2,1,0,2,1
"42",  42,  42, 2,1427,17,"English","solid things",0.05,"striped things",0.95,"polka-dotted things",0.50,"blue things",0.00,"red things",0.00,"green things",0.95,123,121,112,"cloud",322111, TRUE,1,2,3,22, 4,10,NA,NA,NA,0.9500045,0.04999550,NA,1.0000000,0.00000000,0.00000000,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,0.0000000,1.0000000,NA,NA,0.8670687,0.132931329,NA,0.8576000,0.071200000,0.071200000,322111,0,1,2,3,0,1,2,1,0,2,2,0,1
"43",  43,  43, 2, 185,18,"English","solid things",0.05,"striped things",0.50,"polka-dotted things",0.90,"clouds",0.50,"circles",0.50,"squares",0.50,331,311,311,"blue",323212, TRUE,3,2,1, 9, 3, 3,NA,NA,NA,1.0000000,NA,NA,0.9473724,0.05262756,NA,1.0000000,NA,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,NA,NA,1.0000000,NA,NA,0.9233354,0.076664617,NA,323212,0,3,1,2,0,1,2,2,0,1,2,0,1
"44",  44,  44, 2,1630,19,"English","clouds",0.00,"circles",0.95,"squares",0.00,"blue things",0.95,"red things",0.50,"green things",0.05,221,123,313,"striped",211112, TRUE,2,1,3, 5,22,21,NA,NA,NA,0.9500045,0.04999550,NA,1.0000000,0.00000000,0.00000000,0.5000000,0.5000000,NA,1.0000000,0.0000000,NA,0.6666700,0.0000000,0.3333300,0.5119474,0.488052560,NA,0.8748556,0.125144374,NA,0.6252900,0.051910000,0.322800000,211211,0,2,3,1,1,0,2,0,2,1,1,0,2
"45",  45,  45, 2,1249,20,"English","solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,"clouds",0.50,"circles",0.50,"squares",0.50,323,122,111,"green",112112,FALSE,3,2,1,24,13, 1,NA,NA,NA,0.5000000,0.50000000,NA,0.5000000,0.50000000,NA,0.3333333,0.3333333,0.3333333,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,0.3560800,0.321960000,0.321960000,0.5231452,0.476854769,NA,0.5251624,0.474837626,NA,112112,0,3,2,1,2,1,0,1,0,2,2,0,1
"46",  46,  46, 3,1501, 6,"English","clouds",0.80,"circles",0.55,"squares",0.50,"blue things",0.80,"red things",0.10,"green things",0.50,121,321,322,"striped",322112, TRUE,2,1,3, 4, 6,15,NA,NA,NA,0.8888872,0.11111284,NA,0.6153835,0.38461648,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,NA,1.0000000,NA,NA,0.8544407,0.145559272,NA,0.9148154,0.085184574,NA,322112,0,2,3,1,1,0,2,0,1,2,0,2,1
"47",  47,  47, 3,1592, 7,"English","blue things",0.55,"red things",0.95,"green things",0.10,"clouds",0.05,"circles",0.95,"squares",0.50,232,232,133,"polka-dotted",322121, TRUE,2,3,1,17,17,25,NA,NA,NA,0.9500045,0.04999550,NA,0.9047619,0.09523810,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,NA,1.0000000,NA,NA,0.8544407,0.145559272,NA,0.8544407,0.145559272,NA,322121,0,2,1,3,2,0,1,1,0,2,1,2,0
"48",  48,  48, 3,  79, 8,"English","blue things",0.50,"red things",0.50,"green things",0.50,"solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,323,121,112,"square",122111,FALSE,1,3,2,24, 4,10,NA,NA,NA,0.5000000,0.50000000,NA,0.3333333,0.33333333,0.33333333,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,0.3333333,0.3333333,0.3333333,0.5000000,0.500000000,NA,0.5000000,0.500000000,NA,0.3333333,0.333333333,0.333333333,122111,0,1,2,3,2,0,1,1,0,2,2,0,1
"49",  49,  49, 3,1750, 9,"English","blue things",0.00,"red things",0.90,"green things",0.45,"solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,232,231,321,"circle",212112, TRUE,1,3,2,17, 8, 6,NA,NA,NA,0.5000000,0.50000000,NA,1.0000000,0.00000000,NA,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,1.0000000,0.0000000,NA,0.5000000,0.500000000,NA,0.5000000,0.500000000,NA,0.8627207,0.137279314,NA,212112,0,1,2,3,1,2,0,2,1,0,1,0,2
"50",  50,  50, 3,1572,10,"English","blue things",0.95,"red things",0.05,"green things",0.50,"solid things",0.95,"striped things",0.00,"polka-dotted things",0.50,311,311,322,"square",322121, TRUE,1,3,2, 3, 3,15,NA,NA,NA,1.0000000,0.00000000,NA,0.9500045,0.04999550,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,NA,1.0000000,NA,NA,0.8544407,0.145559272,NA,0.8544407,0.145559272,NA,322121,0,1,2,3,2,0,1,0,1,2,0,1,2
